design,model_id,scope,rows,points,profiles,n,mae,rmse,bias,r2,reference_b1_mae,improvement_vs_b1_percent,reference_b6_mae,improvement_vs_b6_percent
leave_profile_out,B7_two_regime_imm,accelerating_plus_volatile_or_gap,32,24,9,32,13.264326166453042,19.220514224898157,-4.066124096216072,0.8636493909891163,13.725532728791402,3.3602088272385116,15.506038150036606,14.457026107460411
leave_profile_out,B1_persistence_last_rate,accelerating_plus_volatile_or_gap,32,24,9,32,13.725532728791402,19.32764923249711,-9.982662191122186,0.8621251200366037,13.725532728791402,0.0,15.506038150036606,11.48265858768702
leave_profile_out,B6_adaptive_kalman,accelerating_plus_volatile_or_gap,32,24,9,32,15.506038150036606,21.55937743438594,-11.940695903335278,0.8284465294884966,13.725532728791402,-12.972213584907504,15.506038150036606,0.0
leave_profile_out,B5_fixed_kalman,accelerating_plus_volatile_or_gap,32,24,9,32,18.5292864104004,25.038858994823922,-15.221082983223969,0.768603840950343,13.725532728791402,-34.99866836885966,15.506038150036606,-19.497232182139683
leave_zone_out,B1_persistence_last_rate,accelerating_plus_volatile_or_gap,38,27,9,38,12.92016845111194,18.11874961297255,-8.333907224533338,0.8810191698738649,12.92016845111194,0.0,18.000882954456664,28.22480717306614
leave_zone_out,B7_two_regime_imm,accelerating_plus_volatile_or_gap,38,27,9,38,14.026295518245611,20.24955225336263,-7.1413039979475466,0.8513888491509265,12.92016845111194,-8.561243387182587,18.000882954456664,22.079958223532714
leave_zone_out,B5_fixed_kalman,accelerating_plus_volatile_or_gap,38,27,9,38,16.71566455659044,23.149744172980604,-13.040422545030616,0.8057715073130677,12.92016845111194,-29.376521829727782,18.000882954456664,7.1397519839327055
leave_zone_out,B6_adaptive_kalman,accelerating_plus_volatile_or_gap,38,27,9,38,18.000882954456664,25.64978236681229,-14.875941756036015,0.7615551664231411,12.92016845111194,-39.323902955053704,18.000882954456664,0.0
rolling_origin,B7_two_regime_imm,accelerating_plus_volatile_or_gap,56,38,12,56,11.942204673909693,19.119459162010255,-5.4017313113126955,0.8662546865859693,12.076812147956154,1.114594417776401,13.151592311825377,9.195750668367754
rolling_origin,B1_persistence_last_rate,accelerating_plus_volatile_or_gap,56,38,12,56,12.076812147956154,18.687354458729754,-7.614072457185702,0.8722317303586231,12.076812147956154,0.0,13.151592311825377,8.172243621807102
rolling_origin,B6_adaptive_kalman,accelerating_plus_volatile_or_gap,56,38,12,56,13.151592311825377,19.973139717359732,-9.71295127808451,0.8540446406070141,12.076812147956154,-8.899535330199827,13.151592311825377,0.0
rolling_origin,B5_fixed_kalman,accelerating_plus_volatile_or_gap,56,38,12,56,16.71491899695586,24.226563622408946,-13.603759512661956,0.7852609635690186,12.076812147956154,-38.40505915118209,13.151592311825377,-27.094260532441258
temporal_holdout,B7_two_regime_imm,accelerating_plus_volatile_or_gap,31,23,9,31,13.487032520467999,19.629095172332782,-5.0050305002698146,0.8590079200857341,13.949967592815721,3.3185386938542814,16.44468620766343,17.98546746253588
temporal_holdout,B1_persistence_last_rate,accelerating_plus_volatile_or_gap,31,23,9,31,13.949967592815721,19.588973377095463,-10.63848317033178,0.8595837055730896,13.949967592815721,0.0,16.44468620766343,15.170363139462882
temporal_holdout,B6_adaptive_kalman,accelerating_plus_volatile_or_gap,31,23,9,31,16.44468620766343,22.494707882176876,-13.26681597378425,0.8148367174115803,13.949967592815721,-17.88332910631633,16.44468620766343,0.0
temporal_holdout,B5_fixed_kalman,accelerating_plus_volatile_or_gap,31,23,9,31,18.794391024919708,25.39407135453302,-15.773396665378906,0.7640288945823193,13.949967592815721,-34.727130366947094,16.44468620766343,-14.288535442903653
