design,transition_segment,rows,points,profiles,transition_probability_mean,transition_probability_median,transition_probability_q90,transition_probability_ge_0_5_rate,regime_entropy_mean,mae
leave_profile_out,accelerating,18,15,6,0.43202247152847767,0.3830755797288824,0.9996808484195627,0.5,0.4085110178021438,12.393470153963907
leave_profile_out,decelerating,12,12,5,0.2350189365528025,0.09582007987722752,0.8753293380861843,0.16666666666666666,0.3839050880704999,3.9487424699535203
leave_profile_out,stable,86,75,14,0.10779396320878655,0.035505178029945676,0.3319310756783155,0.046511627906976744,0.35868719197653975,4.4494166790165925
leave_profile_out,volatile_or_gap,14,14,9,0.3392963501093417,0.16713147450848945,0.8662033028313004,0.35714285714285715,0.40716564390866367,14.383998182510505
leave_zone_out,accelerating,20,14,5,0.3400364061190248,0.09968333105803376,0.9556888839819755,0.35,0.3680990302511848,14.663104664974497
leave_zone_out,decelerating,15,15,5,0.3112186184443493,0.17545871803867216,0.8562121988820408,0.2,0.5864228592689593,3.33685794842454
leave_zone_out,stable,77,71,14,0.1283820473387577,0.0682684505388152,0.38796375355341844,0.03896103896103896,0.41459500246532666,4.354510677867239
leave_zone_out,volatile_or_gap,18,17,9,0.2862818650703554,0.09765359830461567,0.8204988745116811,0.2777777777777778,0.42888441006786926,13.318729799657957
rolling_origin,accelerating,34,25,7,0.4538330600892231,0.3568085359156424,0.9968301152212586,0.4411764705882353,0.4451471665818577,10.809476611719983
rolling_origin,decelerating,14,14,7,0.16938168875285337,0.09587641935531643,0.2282654798039907,0.07142857142857142,0.44485266654646327,6.624806833721464
rolling_origin,stable,148,77,14,0.09694918710824728,0.03107614442098495,0.28014195059185315,0.04054054054054054,0.3326548144081729,4.180765689314391
rolling_origin,volatile_or_gap,22,20,12,0.32468697124812046,0.11728237625727168,0.9048672419047192,0.3181818181818182,0.4110600332882062,13.692784406384696
temporal_holdout,accelerating,17,14,5,0.4252612649985905,0.4123888601665492,0.9995974722718487,0.47058823529411764,0.4158993978561106,12.878184476932852
temporal_holdout,decelerating,11,11,4,0.16974845244017803,0.07943531511065811,0.18876814913853235,0.09090909090909091,0.3972596833016823,3.7195562470828567
temporal_holdout,stable,88,75,14,0.10674184501886277,0.03540181116843136,0.3258987824137341,0.045454545454545456,0.3577137283190082,4.452677094837849
temporal_holdout,volatile_or_gap,14,14,9,0.4119498594580247,0.2839905609028858,0.9438368577025213,0.42857142857142855,0.4245484903111762,14.226348001903535
