tuning_context,student_t_df,inner_folds,validation_rows,volatile_or_gap_rows,overall_mae,reference_b7_overall_mae,overall_normalized_mae,volatile_or_gap_mae,reference_b7_volatile_or_gap_mae,volatile_or_gap_normalized_mae,tuning_score,inner_fold_contract_sha256,all_inner_folds_forward_only,selected
outer::train_tail_2023-11-07,3.0,3,114,7,7.0366955033495815,6.208246115347444,1.1334433868454605,7.74602767267331,3.312627840843189,2.338333203980334,1.7358882954128974,2d10840a510c6c2f6f33cc9ffe507e7ed239f327245deb3954627fecd3091053,True,False
outer::train_tail_2023-11-07,5.0,3,114,7,7.126911697310591,6.208246115347444,1.1479750584778055,8.29480963006073,3.312627840843189,2.5039968353189312,1.8259859468983684,2d10840a510c6c2f6f33cc9ffe507e7ed239f327245deb3954627fecd3091053,True,False
outer::train_tail_2023-11-07,10.0,3,114,7,6.883159790753299,6.208246115347444,1.1087124548328386,5.669031509760104,3.312627840843189,1.7113396922719581,1.4100260735523984,2d10840a510c6c2f6f33cc9ffe507e7ed239f327245deb3954627fecd3091053,True,False
outer::train_tail_2023-11-07,30.0,3,114,7,6.72629518875813,6.208246115347444,1.083445318337173,3.3745217165751575,3.312627840843189,1.018684222528364,1.0510647704327685,2d10840a510c6c2f6f33cc9ffe507e7ed239f327245deb3954627fecd3091053,True,True
outer::rolling_01,3.0,3,116,8,5.520769708245988,4.895162681250887,1.1278010696950396,6.335414061617756,5.858979540251914,1.081316979875536,1.1045590247852877,1df6f218b83ca1ed59a7fc9c5d4cee09df57819885caf779aa0d717a4e0056ff,True,False
outer::rolling_01,5.0,3,116,8,5.367633121893274,4.895162681250887,1.096517822063812,6.2915709345172095,5.858979540251914,1.0738339144715114,1.0851758682676618,1df6f218b83ca1ed59a7fc9c5d4cee09df57819885caf779aa0d717a4e0056ff,True,False
outer::rolling_01,10.0,3,116,8,5.2293468543836825,4.895162681250887,1.0682682466126743,6.162895204809715,5.858979540251914,1.0518717743371286,1.0600700104749015,1df6f218b83ca1ed59a7fc9c5d4cee09df57819885caf779aa0d717a4e0056ff,True,False
outer::rolling_01,30.0,3,116,8,4.939075862109502,4.895162681250887,1.0089707296198365,6.007189332650745,5.858979540251914,1.025296178520613,1.0171334540702248,1df6f218b83ca1ed59a7fc9c5d4cee09df57819885caf779aa0d717a4e0056ff,True,True
outer::rolling_02,3.0,3,192,18,6.054013187895045,5.67049563384986,1.067633868150041,7.582147571946657,8.350458510222289,0.9079917662802471,0.9878128172151441,cb4b643efa33111ef4116d3de6a662e1a51b71324621893ac988d0161745c16a,True,False
outer::rolling_02,5.0,3,192,18,5.9332823496164755,5.67049563384986,1.046342812469146,7.897398741695227,8.350458510222289,0.9457443243418975,0.9960435684055218,cb4b643efa33111ef4116d3de6a662e1a51b71324621893ac988d0161745c16a,True,False
outer::rolling_02,10.0,3,192,18,5.855490933927492,5.67049563384986,1.0326241852605103,7.845426689935443,8.350458510222289,0.939520468287028,0.9860723267737691,cb4b643efa33111ef4116d3de6a662e1a51b71324621893ac988d0161745c16a,True,True
outer::rolling_02,30.0,3,192,18,5.731496821053496,5.67049563384986,1.0107576464461927,8.528537882585097,8.350458510222289,1.0213256999175326,1.0160416731818627,cb4b643efa33111ef4116d3de6a662e1a51b71324621893ac988d0161745c16a,True,False
outer::rolling_03,3.0,3,115,13,7.913478114292862,7.423581875988439,1.0659918953529686,8.872254938144765,10.191903191309319,0.870519938386991,0.9682559168699798,6ff45d834ebed053260e1ece17178e38cbecb0d46ebc7fa369ae55a004609a0d,True,True
outer::rolling_03,5.0,3,115,13,7.925957368943873,7.423581875988439,1.0676729241150242,9.338602624318952,10.191903191309319,0.9162766216502155,0.9919747728826198,6ff45d834ebed053260e1ece17178e38cbecb0d46ebc7fa369ae55a004609a0d,True,False
outer::rolling_03,10.0,3,115,13,7.786967967902621,7.423581875988439,1.0489502369590014,9.332561888384948,10.191903191309319,0.9156839221493848,0.9823170795541931,6ff45d834ebed053260e1ece17178e38cbecb0d46ebc7fa369ae55a004609a0d,True,False
outer::rolling_03,30.0,3,115,13,7.707891640070096,7.423581875988439,1.03829819200907,10.356074308024024,10.191903191309319,1.016107994123678,1.0272030930663738,6ff45d834ebed053260e1ece17178e38cbecb0d46ebc7fa369ae55a004609a0d,True,False
outer::rolling_04,3.0,3,190,15,6.474307900293951,5.913931570294943,1.0947552949063055,8.629962232477956,7.774530343459538,1.11003004055905,1.1023926677326776,040444b0b2704946955ca104c9cdd36a9af2ed3b9a73610fa61e479fcc6f2273,True,False
outer::rolling_04,5.0,3,190,15,6.517442935025618,5.913931570294943,1.1020490950152433,9.30614225794052,7.774530343459538,1.1970037863148195,1.1495264406650314,040444b0b2704946955ca104c9cdd36a9af2ed3b9a73610fa61e479fcc6f2273,True,False
outer::rolling_04,10.0,3,190,15,6.396006778066994,5.913931570294943,1.0815151819127338,8.095787758890637,7.774530343459538,1.0413217778102009,1.0614184798614672,040444b0b2704946955ca104c9cdd36a9af2ed3b9a73610fa61e479fcc6f2273,True,False
outer::rolling_04,30.0,3,190,15,6.29459869000469,5.913931570294943,1.0643678600580702,7.924477103453882,7.774530343459538,1.019286921957992,1.0418273910080311,040444b0b2704946955ca104c9cdd36a9af2ed3b9a73610fa61e479fcc6f2273,True,True
outer::rolling_05,3.0,3,114,7,7.0366955033495815,6.208246115347444,1.1334433868454605,7.74602767267331,3.312627840843189,2.338333203980334,1.7358882954128974,2d10840a510c6c2f6f33cc9ffe507e7ed239f327245deb3954627fecd3091053,True,False
outer::rolling_05,5.0,3,114,7,7.126911697310591,6.208246115347444,1.1479750584778055,8.29480963006073,3.312627840843189,2.5039968353189312,1.8259859468983684,2d10840a510c6c2f6f33cc9ffe507e7ed239f327245deb3954627fecd3091053,True,False
outer::rolling_05,10.0,3,114,7,6.883159790753299,6.208246115347444,1.1087124548328386,5.669031509760104,3.312627840843189,1.7113396922719581,1.4100260735523984,2d10840a510c6c2f6f33cc9ffe507e7ed239f327245deb3954627fecd3091053,True,False
outer::rolling_05,30.0,3,114,7,6.72629518875813,6.208246115347444,1.083445318337173,3.3745217165751575,3.312627840843189,1.018684222528364,1.0510647704327685,2d10840a510c6c2f6f33cc9ffe507e7ed239f327245deb3954627fecd3091053,True,True
outer::train_leave_profile_out_P-D01,3.0,3,107,7,7.08118969346342,6.178161525690956,1.1461645449082802,7.857089892281458,3.3754003950220977,2.3277504807633407,1.7369575128358106,880524fdd13d9369170383e55d7208310dc1d859b2ae83e4cdf24b0c06fe5122,True,False
outer::train_leave_profile_out_P-D01,5.0,3,107,7,7.170785023560841,6.178161525690956,1.1606664852872832,8.347440449732721,3.3754003950220977,2.4730223004189917,1.8168443928531375,880524fdd13d9369170383e55d7208310dc1d859b2ae83e4cdf24b0c06fe5122,True,False
outer::train_leave_profile_out_P-D01,10.0,3,107,7,6.832760648320752,6.178161525690956,1.105953708058254,6.055747192424598,3.3754003950220977,1.794082622421733,1.4500181652399935,880524fdd13d9369170383e55d7208310dc1d859b2ae83e4cdf24b0c06fe5122,True,False
outer::train_leave_profile_out_P-D01,30.0,3,107,7,6.635953789054785,6.178161525690956,1.0740984614047673,2.949927548033018,3.3754003950220977,0.8739489254025834,0.9740236934036753,880524fdd13d9369170383e55d7208310dc1d859b2ae83e4cdf24b0c06fe5122,True,True
outer::train_leave_profile_out_P-H01,3.0,3,101,5,6.33126983200478,5.873249646579726,1.0779841166281399,3.784843753663702,3.5151302820907255,1.076729295908929,1.0773567062685343,ee05d936bab758e4d1c544dbdf832308eb9ed2967dabfe2bf767d7564b4bb78f,True,False
outer::train_leave_profile_out_P-H01,5.0,3,101,5,6.2702729662478935,5.873249646579726,1.0675985772032308,3.717745247180475,3.5151302820907255,1.0576408123824186,1.0626196947928248,ee05d936bab758e4d1c544dbdf832308eb9ed2967dabfe2bf767d7564b4bb78f,True,False
outer::train_leave_profile_out_P-H01,10.0,3,101,5,6.256943533999688,5.873249646579726,1.0653290615091433,3.6639357178639393,3.5151302820907255,1.0423328365754647,1.053830949042304,ee05d936bab758e4d1c544dbdf832308eb9ed2967dabfe2bf767d7564b4bb78f,True,False
outer::train_leave_profile_out_P-H01,30.0,3,101,5,6.31830329685396,5.873249646579726,1.0757763890614476,3.622596795770451,3.5151302820907255,1.0305725549426312,1.0531744720020395,ee05d936bab758e4d1c544dbdf832308eb9ed2967dabfe2bf767d7564b4bb78f,True,True
outer::train_leave_profile_out_P-H02,3.0,3,94,5,5.601864872865596,5.114023547193327,1.0953928587090698,9.310198960219587,3.2281750361157906,2.8840440360451516,1.9897184473771108,ba4dc47aab1600da0729a1adb8a12d1c86df75be52bf8ad10ce317c30f874749,True,False
outer::train_leave_profile_out_P-H02,5.0,3,94,5,5.7826002036166555,5.114023547193327,1.1307339808378976,10.131417990326677,3.2281750361157906,3.138435145857833,2.134584563347865,ba4dc47aab1600da0729a1adb8a12d1c86df75be52bf8ad10ce317c30f874749,True,False
outer::train_leave_profile_out_P-H02,10.0,3,94,5,5.704012261519494,5.114023547193327,1.115366835698276,6.399937825334173,3.2281750361157906,1.982525034650759,1.5489459351745176,ba4dc47aab1600da0729a1adb8a12d1c86df75be52bf8ad10ce317c30f874749,True,False
