design,fold_id,held_out_group,rows,student_t_df,robust_updates,downweighted_updates,downweighted_update_rate,weighted_mean_influence_weight,minimum_influence_weight,maximum_standardized_innovation_squared
internal_temporal,train_tail_2023-11-07,,88,30.0,4488,897,0.1998663101604278,0.9775551933164845,0.05,816.3525322014214
train_leave_profile_out,train_leave_profile_out_P-D01,P-D01,7,30.0,426,110,0.25821596244131456,0.9602541198881319,0.2827526760977652,79.63645128961173
train_leave_profile_out,train_leave_profile_out_P-H01,P-H01,7,30.0,348,102,0.29310344827586204,0.9536271053942992,0.07681291386130282,373.57797200578966
train_leave_profile_out,train_leave_profile_out_P-H02,P-H02,7,30.0,390,109,0.2794871794871795,0.9655151726093907,0.40838163686699097,45.909387693885556
train_leave_profile_out,train_leave_profile_out_P-H03,P-H03,7,30.0,480,118,0.24583333333333332,0.9727922895536787,0.05,822.9664118978128
train_leave_profile_out,train_leave_profile_out_P-H04,P-H04,6,30.0,384,152,0.3958333333333333,0.9408277522573908,0.07065282465666091,408.7651895114632
train_leave_profile_out,train_leave_profile_out_P-H05,P-H05,3,30.0,132,18,0.13636363636363635,0.9909703472142783,0.7600824571260059,10.78504866066241
train_leave_profile_out,train_leave_profile_out_P-H06,P-H06,6,30.0,258,20,0.07751937984496124,0.997456917947322,0.8701783636510356,5.624880248610516
train_leave_profile_out,train_leave_profile_out_P-H07,P-H07,7,30.0,222,37,0.16666666666666666,0.9880676457014406,0.724649449590311,12.779305245489684
train_leave_profile_out,train_leave_profile_out_P-V01,P-V01,6,30.0,336,50,0.1488095238095238,0.9895635583596596,0.4484502450227985,39.12695520642208
train_leave_profile_out,train_leave_profile_out_P-V02,P-V02,7,30.0,402,97,0.24129353233830847,0.9826521343651318,0.6071675825581665,21.056744283659462
train_leave_profile_out,train_leave_profile_out_P-V03,P-V03,7,30.0,336,39,0.11607142857142858,0.9944365776058565,0.8555570957836363,6.233701003444961
train_leave_profile_out,train_leave_profile_out_P-V04,P-V04,7,30.0,288,23,0.0798611111111111,0.997040127794162,0.9166442289749978,3.819009622375041
train_leave_profile_out,train_leave_profile_out_P-V05,P-V05,4,30.0,162,12,0.07407407407407407,0.997016518458999,0.91099761816697,4.028629034591223
train_leave_profile_out,train_leave_profile_out_P-V06,P-V06,7,30.0,324,27,0.08333333333333333,0.9914613169149253,0.32793419879725244,64.53115934140789
train_leave_zone_out,train_leave_zone_out_GEO_NE,GEO_NE,33,30.0,1362,132,0.09691629955947137,0.9940737202636661,0.32696924139431105,64.81014136927735
train_leave_zone_out,train_leave_zone_out_GEO_NW,GEO_NW,8,30.0,444,78,0.17567567567567569,0.9892496799889776,0.7189852630495852,13.116321840190583
train_leave_zone_out,train_leave_zone_out_GEO_SE,GEO_SE,8,30.0,504,117,0.23214285714285715,0.9741805709125869,0.05,822.5702538368746
train_leave_zone_out,train_leave_zone_out_GEO_SW,GEO_SW,39,30.0,2178,634,0.2910927456382002,0.9615249137014424,0.0713601388114915,404.4161953200672
train_rolling_origin,rolling_01,,90,30.0,3420,609,0.1780701754385965,0.9827459699931518,0.0769092024388727,373.072701535798
train_rolling_origin,rolling_02,,12,10.0,462,109,0.23593073593073594,0.937536308743929,0.05,376.1631393580497
train_rolling_origin,rolling_03,,88,3.0,3936,797,0.20248983739837398,0.9293911590039715,0.05,379.1629310074495
train_rolling_origin,rolling_04,,14,30.0,786,181,0.23027989821882952,0.9746919415484534,0.05,816.3644705411982
train_rolling_origin,rolling_05,,88,30.0,4488,897,0.1998663101604278,0.9775551933164845,0.05,816.3525322014214
