design,model_id,origins,temporal_units,profile_units,zone_units,point_trajectories,iid_row_count_claimed
internal_temporal,B1_persistence_last_rate,88,1,14,4,88,False
internal_temporal,B5_fixed_kalman,88,1,14,4,88,False
internal_temporal,B6_adaptive_kalman,88,1,14,4,88,False
internal_temporal,B7_two_regime_imm,88,1,14,4,88,False
internal_temporal,B8_student_t_robust_imm,88,1,14,4,88,False
train_leave_profile_out,B1_persistence_last_rate,88,1,14,4,88,False
train_leave_profile_out,B5_fixed_kalman,88,1,14,4,88,False
train_leave_profile_out,B6_adaptive_kalman,88,1,14,4,88,False
train_leave_profile_out,B7_two_regime_imm,88,1,14,4,88,False
train_leave_profile_out,B8_student_t_robust_imm,88,1,14,4,88,False
train_leave_zone_out,B1_persistence_last_rate,88,1,14,4,88,False
train_leave_zone_out,B5_fixed_kalman,88,1,14,4,88,False
train_leave_zone_out,B6_adaptive_kalman,88,1,14,4,88,False
train_leave_zone_out,B7_two_regime_imm,88,1,14,4,88,False
train_leave_zone_out,B8_student_t_robust_imm,88,1,14,4,88,False
train_rolling_origin,B1_persistence_last_rate,292,5,14,4,98,False
train_rolling_origin,B5_fixed_kalman,292,5,14,4,98,False
train_rolling_origin,B6_adaptive_kalman,292,5,14,4,98,False
train_rolling_origin,B7_two_regime_imm,292,5,14,4,98,False
train_rolling_origin,B8_student_t_robust_imm,292,5,14,4,98,False
