training_campaigns,training_rows,model_id,family,audit_target_date,audit_rows,hyperparameters_retuned,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction
5,217,B1_persistence_last_rate,persistence,2023-11-07,88,False,88,6.104172770658447,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,5.788317097879457,9.446109430848567,6.104172770658447,0.0,0.652929017761695,True,0.625,0.625
5,217,B3_profile_robust_trend,profile_robust_trend,2023-11-07,88,False,88,8.323925585119087,5.804035871862555,13.291856808545269,-0.41206918503955364,0.41206918503955364,15.932025254514125,23.738426701102146,72.54711741184246,0.8597913215932208,7.760341749442574,12.146561214464084,6.104172770658447,-0.36364514863185926,0.8903634874717005,True,0.5568181818181818,0.625
5,217,B5_fixed_kalman,fixed_kalman,2023-11-07,88,False,88,7.194351417200139,4.096651250384224,12.969706758703834,-0.8303176357725096,0.8303176357725096,12.69544292525629,26.857107389041722,73.30311679054536,0.8665053375669348,6.11768310604861,10.584408129281776,6.104172770658447,-0.17859564063814903,0.7695392939800824,True,0.5795454545454546,0.625
5,217,B6_adaptive_kalman,adaptive_kalman,2023-11-07,88,False,88,6.781303016453992,4.146619788916774,12.104677250195847,-0.48408628025848616,0.48408628025848616,12.134547941792306,21.276615640143085,72.74420010156587,0.8837186631380222,5.887222957368545,10.052742576745038,6.104172770658447,-0.11092907609862812,0.7253578304599846,True,0.5795454545454546,0.625
5,217,B7_two_regime_imm,imm_damped_acceleration,2023-11-07,88,False,88,6.01359264185854,3.5698244416013067,11.358109733379509,0.5020106791250645,0.5020106791250645,11.07082650429994,20.24002192982606,75.19699075955526,0.8976198626097419,5.40401805609524,9.64446665385691,6.104172770658447,0.014839050630301331,0.6432401710091363,True,0.6136363636363636,0.625
5,217,B8_student_t_robust_imm,imm_student_t_robust_observation,2023-11-07,88,False,88,5.805216763856513,3.566255614158262,10.934067745488237,0.33113577560286434,0.33113577560286434,10.5437265805122,17.11349800624586,75.02178563501448,0.9051216532804134,5.172665819482554,9.213678934085141,6.104172770658447,0.048975679102491454,0.6209513757110933,True,0.6363636363636364,0.625
5,217,M1_ridge,ridge,2023-11-07,88,False,88,7.168850524701563,4.311774294840296,12.595306552684614,0.8457320641978469,0.8457320641978469,11.618646779662283,19.24896895800932,71.5950020889079,0.8741013504016968,6.502302049776375,11.07332228344294,6.104172770658447,-0.17441802420154473,0.7668116069835452,True,0.6022727272727273,0.625
5,217,M2_extra_trees,extra_trees,2023-11-07,88,False,88,6.776929995790895,4.262489356719845,11.38672306014817,0.825030925575247,0.825030925575247,12.260811534303098,21.01468657444737,71.15462718957235,0.8971033812040123,6.407667301096216,10.39484387012247,6.104172770658447,-0.11021267752548858,0.7248900730432987,True,0.6136363636363636,0.625
9,423,B1_persistence_last_rate,persistence,2023-11-07,88,False,88,6.104172770658447,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,5.788317097879457,9.446109430848567,6.104172770658447,0.0,0.9049950068052359,True,0.625,0.625
9,423,B3_profile_robust_trend,profile_robust_trend,2023-11-07,88,False,88,8.379558993311212,5.804035871862555,13.404262295998144,-0.48102881434214173,0.48102881434214173,16.586438885796507,24.49396306745739,72.54711741184246,0.8574098838513653,7.8034512403649,12.252602282500847,6.104172770658447,-0.3727591449557419,1.2423401717311715,True,0.5568181818181818,0.625
