design,model_id,scope,group,rows,groups,mae
spatiotemporal_leave_profile_out,B1_persistence_last_rate,pooled_micro,all,266,14,6.696015897348676
spatiotemporal_leave_profile_out,B1_persistence_last_rate,equal_profile_macro,all_equal_weight,266,14,6.592413248179321
spatiotemporal_leave_profile_out,B1_persistence_last_rate,worst_profile,P-H04,20,1,22.237554125255702
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-D01,21,1,8.301217665873763
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-H01,20,1,7.570160946818165
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-H02,20,1,8.29074601342246
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-H03,19,1,4.726430252143265
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-H04,20,1,22.237554125255702
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-H05,13,1,7.497871858222248
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-H06,17,1,2.899583199575215
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-H07,19,1,4.435774795777108
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-V01,18,1,3.6787783223780712
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-V02,21,1,7.665416732119075
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-V03,21,1,3.87929716611751
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-V04,21,1,4.9084442302126785
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-V05,17,1,2.791866062116169
spatiotemporal_leave_profile_out,B1_persistence_last_rate,by_profile,P-V06,19,1,3.4106441044790863
spatiotemporal_leave_profile_out,B3_profile_robust_trend,pooled_micro,all,266,14,8.081574008544825
spatiotemporal_leave_profile_out,B3_profile_robust_trend,equal_profile_macro,all_equal_weight,266,14,7.877664429990646
spatiotemporal_leave_profile_out,B3_profile_robust_trend,worst_profile,P-H04,20,1,21.183607464982394
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-D01,21,1,14.460091123950676
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-H01,20,1,10.998117623069875
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-H02,20,1,13.968548039960243
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-H03,19,1,4.9215271323544565
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-H04,20,1,21.183607464982394
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-H05,13,1,7.1791368800631075
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-H06,17,1,2.921073768992122
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-H07,19,1,4.986001324847453
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-V01,18,1,3.671812885570077
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-V02,21,1,8.171468050713205
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-V03,21,1,5.064658965955677
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-V04,21,1,5.691009255741576
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-V05,17,1,3.047999160695117
spatiotemporal_leave_profile_out,B3_profile_robust_trend,by_profile,P-V06,19,1,4.022250342973082
spatiotemporal_leave_profile_out,B5_fixed_kalman,pooled_micro,all,266,14,6.5702130503287455
spatiotemporal_leave_profile_out,B5_fixed_kalman,equal_profile_macro,all_equal_weight,266,14,6.451064266610866
spatiotemporal_leave_profile_out,B5_fixed_kalman,worst_profile,P-H04,20,1,18.51985500330855
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-D01,21,1,9.758743940112641
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-H01,20,1,6.7180364585379255
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-H02,20,1,13.368109602450994
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-H03,19,1,6.1932818473740365
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-H04,20,1,18.51985500330855
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-H05,13,1,6.631825199966641
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-H06,17,1,2.490496469406928
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-H07,19,1,3.5377752005159753
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-V01,18,1,3.6387212353228517
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-V02,21,1,6.0298333290027575
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-V03,21,1,3.1675126764507633
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-V04,21,1,4.0997882219046256
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-V05,17,1,2.3067577781730977
spatiotemporal_leave_profile_out,B5_fixed_kalman,by_profile,P-V06,19,1,3.8541627700243386
spatiotemporal_leave_profile_out,B6_adaptive_kalman,pooled_micro,all,266,14,6.2465992013027485
spatiotemporal_leave_profile_out,B6_adaptive_kalman,equal_profile_macro,all_equal_weight,266,14,6.146918513271417
spatiotemporal_leave_profile_out,B6_adaptive_kalman,worst_profile,P-H04,20,1,17.65614839154538
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-D01,21,1,8.79106154647023
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H01,20,1,6.413543062702831
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H02,20,1,11.804236154141197
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H03,19,1,6.007073743376705
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H04,20,1,17.65614839154538
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H05,13,1,6.691933355577727
spatiotemporal_leave_profile_out,B6_adaptive_kalman,by_profile,P-H06,17,1,2.478958692114253
