model_id,family,environment_id,feature_view,model_spec_sha256,benchmark_plan_sha256,fold_manifest_sha256,seed,design,fold_id,sample_id,point_id,profile_id,zone_id,current_date,target_date,forecast_horizon_days,last_rate_mm_y,current_standard_uncertainty_mm,sigma_rate_mm_y,n_history,missing_campaigns_since_previous,transition_segment,is_transition,y_true,y_pred,fit_seconds,inference_seconds,peak_ram_mb,peak_vram_mb,artifact_size_bytes,parameter_count,tree_count,rule_count,selected_parameter_sha256,selected_parameter_json,provenance_role,effective_iterations,ensemble_member_count,aggregation,training_campaigns,training_rows,hyperparameters_retuned
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-D01-W001::C020::C022,P-D01-W001,P-D01,GEO_SW,2023-05-16,2023-11-07,175,148.9165757,0.692627443,2.0935001525125907,13,1,stable,False,145.5029506619999,148.9165757,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-D01-W002::C020::C022,P-D01-W002,P-D01,GEO_SW,2023-05-16,2023-11-07,175,48.90749102,0.7118145782,2.145690143379841,14,1,stable,False,33.775272145285726,48.90749102,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-D01-W003::C020::C022,P-D01-W003,P-D01,GEO_SW,2023-05-16,2023-11-07,175,5.898387469,0.7237034749,2.177914395342049,12,1,stable,False,-2.245238710714238,5.898387469,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-D01-W004::C020::C022,P-D01-W004,P-D01,GEO_SW,2023-05-16,2023-11-07,175,4.963150185,0.7336514969,2.204339023542831,12,1,stable,False,-2.5910348695713803,4.963150185,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-D01-W005::C020::C022,P-D01-W005,P-D01,GEO_SW,2023-05-16,2023-11-07,175,44.80542188,0.7330044692,2.201861297475294,14,1,stable,False,34.85124083142868,44.80542188,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-D01-W006::C020::C022,P-D01-W006,P-D01,GEO_SW,2023-05-16,2023-11-07,175,129.027225,0.7215619349,2.169064539694271,14,1,accelerating,True,148.3317664122858,129.027225,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-D01-W007::C020::C022,P-D01-W007,P-D01,GEO_SW,2023-05-16,2023-11-07,175,21.04167045,0.6984619879,2.1040888897216545,14,1,stable,False,10.274484587142869,21.04167045,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-H01-W001::C020::C022,P-H01-W001,P-H01,GEO_SW,2023-05-16,2023-11-07,175,24.3416034,0.7665286347,2.4271803198424218,12,0,accelerating,True,18.634224943285727,24.3416034,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-H01-W002::C020::C022,P-H01-W002,P-H01,GEO_SW,2023-05-16,2023-11-07,175,139.7444448,0.8057611867,2.562274088962944,12,0,accelerating,True,138.53816872285708,139.7444448,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
B1_persistence_last_rate,persistence,b6_cpu,SAFE_ALL,ac7010f31091c2f98f5daadd8791f9c16891a9d35a86fe14d1e703de2dc9a3df,d143f1c057f176f49c78d9433e4305557339854d1c1faaad77bc356aca8fd926,1bacb8ab8b81eb9f8755508e195d9b85cbf1bdda8578a3495988818b723e0883,42117,diagnostic_learning_curve,learning_5_campaigns,P-H01-W003::C020::C022,P-H01-W003,P-H01,GEO_SW,2023-05-16,2023-11-07,175,76.81229971,0.8339949087,2.6656794648086968,12,0,accelerating,True,78.69617350371435,76.81229971,0.0004707000043708831,4.069998976774514e-05,192.95703125,0.0,0,1,0,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",diagnostic_audit_tail,,1,single_seed,5,217,False
