outer_fold_id,model_id,candidate_index,parameter_sha256,parameter_json,status,failure,inner_folds,inner_rows,inner_mae,inner_crps,inner_b1_mae,transition_rows,transition_mae,transition_b1_mae,transition_guardrail_status,probabilistic_mae_guardrail_passed,probabilistic_score_available,eligible,selected,selection_status,median_effective_iterations
lpo_2022-10-18_P-D01,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,99,4.919156389180637,3.7899663099954384,5.405794546898475,23,8.770060995348345,9.594976544112583,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H01,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,109,4.96070506816961,3.867251148854144,5.369745513538177,25,8.074304998588843,8.445012370019304,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H02,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,110,5.181033616815143,4.0473539262262195,5.454635433819443,26,8.682517494427294,8.760434441721863,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H03,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,106,5.2387053947050095,4.111846559353199,5.505862464601764,24,10.7344196216879,10.505223714558898,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H04,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,97,4.65051877077221,3.6463862695334295,4.563072215461959,23,8.918311559848448,7.803768430150629,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-H05,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,109,5.3866141061490325,4.2378189652247364,5.691970129222275,24,9.415588466040637,9.33282187084196,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H06,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,109,5.510584244365917,4.314571835014615,5.7295087417511406,25,9.155223381876613,8.993270433359298,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H07,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,110,5.125659295920987,4.0313902805467015,5.321448347968328,26,9.136852415862798,8.927076651414758,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-V01,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,110,5.346878385869323,4.219494171411081,5.619714417232589,28,10.03428632211268,10.141593923833126,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-V02,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,110,5.334180125874064,4.208291066640427,5.668866760051237,30,9.563081082785128,9.552763453087042,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-V03,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,109,5.38007666686788,4.2496104035892905,5.628020805288883,25,9.155774782140561,8.993270433359298,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-V04,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,111,5.405601184115686,4.246531732591315,5.620407755711701,25,9.15507789332725,8.993270433359298,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-V05,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,110,5.424778099404893,4.264958194275457,5.704546797493029,25,9.153393770301522,8.993270433359298,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-V06,B6_adaptive_kalman,0,48fd523b6d436a7bf26136e40707f63a9bb9eb93bac224a213abc55aa600da4d,"{""acceleration_clip_ratio"":4.0,""acceleration_gain"":0.0,""acceleration_weight"":0.75,""adaptation_quantile"":0.8,""gap_weight"":0.25,""initial_velocity_variance"":400.0,""maximum_feature_ratio"":4.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""process_scale_max"":10.0,""process_scale_min"":1.0,""q_base"":10.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""volatility_weight"":0.5}",COMPLETE,,3,109,5.448848077775845,4.284495830093467,5.761411781828966,27,9.412776696026116,9.364206469207094,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
