outer_fold_id,model_id,candidate_index,parameter_sha256,parameter_json,status,failure,inner_folds,inner_rows,inner_mae,inner_crps,inner_b1_mae,transition_rows,transition_mae,transition_b1_mae,transition_guardrail_status,probabilistic_mae_guardrail_passed,probabilistic_score_available,eligible,selected,selection_status,median_effective_iterations
lpo_2022-10-18_P-D01,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,99,4.70353672366332,3.5910981441115486,5.405794546898475,23,8.767774623509556,9.594976544112583,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H01,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,109,4.686284847239938,3.5731166867132576,5.369745513538177,25,7.3894450620959855,8.445012370019304,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H02,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,110,4.9247572791349,3.7727893263096606,5.454635433819443,26,8.188973844025513,8.760434441721863,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H03,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,106,4.696713430801702,3.595047263828887,5.505862464601764,24,8.914833130247914,10.505223714558898,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H04,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,97,4.208040408589507,3.2118323795105557,4.563072215461959,23,7.932728012134463,7.803768430150629,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H05,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,109,5.000362219133728,3.8450889322586046,5.691970129222275,24,8.31916683187774,9.33282187084196,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H06,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,109,5.155434059288423,3.953117466035834,5.7295087417511406,25,8.12452902893983,8.993270433359298,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-H07,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,110,4.792251831684755,3.6947548005642856,5.321448347968328,26,8.226264686783,8.927076651414758,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-V01,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,110,5.019354270882819,3.874052640688813,5.619714417232589,28,9.182974218830012,10.141593923833126,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
lpo_2022-10-18_P-V02,B7_two_regime_imm,0,549d213d1928f93aec31f15da59301a1b3d90cfb3ea14b365d90482a8380b0b7,"{""acceleration_clip_ratio"":4.0,""acceleration_measurement_scale_multiplier"":1.0,""acceleration_scale_quantile"":0.8,""covariance_jitter"":1e-08,""initial_acceleration_variance"":2500.0,""initial_position_variance"":4.0,""initial_transition_probability"":0.1,""initial_velocity_variance"":400.0,""likelihood_variance_floor"":1e-10,""minimum_acceleration_measurement_variance"":25.0,""minimum_measurement_variance"":0.01,""minimum_rate_measurement_variance"":1.0,""p_stable_stay"":0.99,""p_transition_stay"":0.75,""q_stable"":0.5,""q_transition"":200.0,""rate_measurement_variance_multiplier"":4.0,""raw_sigma_floor_mm_y"":1.0,""stable_acceleration_retention_per_year"":0.2,""transition_acceleration_retention_per_year"":0.95}",COMPLETE,,3,110,4.958407337223376,3.8368349594360187,5.668866760051237,30,8.76610429426512,9.552763453087042,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
