outer_fold_id,model_id,candidate_index,parameter_sha256,parameter_json,status,failure,inner_folds,inner_rows,inner_mae,inner_crps,inner_b1_mae,transition_rows,transition_mae,transition_b1_mae,transition_guardrail_status,probabilistic_mae_guardrail_passed,probabilistic_score_available,eligible,selected,selection_status,median_effective_iterations
lpo_2022-10-18_P-D01,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,99,5.650818975010672,,5.405794546898475,23,12.142277533941835,9.594976544112583,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-H01,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,109,5.297123011161219,,5.369745513538177,25,10.276289378840183,8.445012370019304,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-H02,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,110,5.976669588760994,,5.454635433819443,26,12.185268008465128,8.760434441721863,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-H03,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,106,6.216184143521171,,5.505862464601764,24,15.109915114287153,10.505223714558898,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-H04,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,97,5.3986590931885186,,4.563072215461959,23,12.67496791978142,7.803768430150629,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-H05,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,109,6.265955304281224,,5.691970129222275,24,13.557854994953217,9.33282187084196,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-H06,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,109,6.431882599793631,,5.7295087417511406,25,13.003979714274784,8.993270433359298,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-H07,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,110,6.195782470044221,,5.321448347968328,26,13.15831550502112,8.927076651414758,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-V01,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,110,6.232567274489542,,5.619714417232589,28,13.376749631982408,10.141593923833126,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
lpo_2022-10-18_P-V02,M2_extra_trees,0,4a613b0e56b1296e4108af16b517e370657f6ff5371c0a84a9fa905915e3316e,"{""bootstrap"":false,""max_depth"":8,""max_features"":0.75,""min_samples_leaf"":4,""n_estimators"":300,""n_jobs"":1}",COMPLETE,,3,110,6.2812012702339555,,5.668866760051237,30,12.842832355691012,9.552763453087042,FAIL_TRANSITION_GUARDRAIL,True,True,False,True,FROZEN_COMPARATOR_FIXED_SPEC,
