outer_fold_id,model_id,candidate_index,parameter_sha256,parameter_json,status,failure,inner_folds,inner_rows,inner_mae,inner_crps,inner_b1_mae,transition_rows,transition_mae,transition_b1_mae,transition_guardrail_status,probabilistic_mae_guardrail_passed,probabilistic_score_available,eligible,selected,selection_status,median_effective_iterations
rolling_origin_2021-05-18,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,111,6.521251593714805,,6.521251593714805,29,9.563718964395301,9.563718964395301,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2021-07-13,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,180,5.3463586566178165,,5.3463586566178165,45,7.405224533824608,7.405224533824608,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2021-11-02,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,110,5.388572394150334,,5.388572394150334,28,6.423245253982816,6.423245253982816,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2022-03-01,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,187,5.589386294271756,,5.589386294271756,60,6.601388429505467,6.601388429505467,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2022-05-17,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,117,6.148306518052798,,6.148306518052798,39,7.154912105640262,7.154912105640262,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2022-07-19,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,194,5.336089923564329,,5.336089923564329,52,7.2165938149920965,7.2165938149920965,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2022-10-18,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,116,5.511659980307867,,5.511659980307867,28,9.05739289274045,9.05739289274045,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2023-01-17,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,192,6.508072969351645,,6.508072969351645,52,11.854127946903876,11.854127946903876,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2023-05-16,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,115,8.266656935847925,,8.266656935847925,38,14.158025560094906,14.158025560094906,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2023-07-25,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,190,7.074236805584106,,7.074236805584106,61,12.47689684929711,12.47689684929711,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2023-11-07,B1_persistence_last_rate,0,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,"{""fallback"":""train_target_median""}",COMPLETE,,3,114,7.384354803537826,,7.384354803537826,40,12.733520834237448,12.733520834237448,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
