outer_fold_id,inner_fold_id,model_id,seed,parameter_sha256,sample_id,point_id,profile_id,zone_id,current_date,target_date,forecast_horizon_days,current_standard_uncertainty_mm,y_true,y_pred,b1_prediction,absolute_error,b1_absolute_error,transition_segment,is_transition,probabilistic_score,provenance_role,selected_effective_iterations
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-D01-W001::C008::C009,P-D01-W001,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.160798797,47.27803044107135,16.89546956,16.89546956,30.382560881071353,30.382560881071353,stable,False,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-D01-W002::C008::C009,P-D01-W002,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.190305509,89.0662707660715,66.46323011,66.46323011,22.6030406560715,22.6030406560715,volatile_or_gap,True,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-D01-W005::C008::C009,P-D01-W005,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.225971399,42.41228038571448,30.27102401,30.27102401,12.14125637571448,12.14125637571448,stable,False,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-D01-W006::C008::C009,P-D01-W006,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.21121964,29.23191671607172,25.68797193,25.68797193,3.5439447860717195,3.5439447860717195,decelerating,True,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-D01-W007::C008::C009,P-D01-W007,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.179483642,46.16659904107145,32.95709782,32.95709782,13.209501221071449,13.209501221071449,decelerating,True,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-H03-W001::C008::C009,P-H03-W001,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.130338411,65.67874278035706,60.44983503,60.44983503,5.2289077503570525,5.2289077503570525,volatile_or_gap,True,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-H03-W002::C008::C009,P-H03-W002,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.175988156,53.90724749999999,53.24664352,53.24664352,0.6606039799999905,0.6606039799999905,stable,False,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-H03-W004::C008::C009,P-H03-W004,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.202381777,72.36759298928557,59.60905329,59.60905329,12.75853969928557,12.75853969928557,volatile_or_gap,True,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-H03-W005::C008::C009,P-H03-W005,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.203535027,67.11570846071425,65.46520959,65.46520959,1.6504988707142445,1.6504988707142445,stable,False,,inner_validation,
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,B1_persistence_last_rate,42117,7bdd7ea4b74b81759458fee2ddf737f6c5c125e1b6432a1a80aaa59d4d24d19c,P-H03-W006::C008::C009,P-H03-W006,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.198786711,73.73400889285719,67.52342595,67.52342595,6.210582942857187,6.210582942857187,decelerating,True,,inner_validation,
