outer_fold_id,model_id,candidate_index,parameter_sha256,parameter_json,status,failure,inner_folds,inner_rows,inner_mae,inner_crps,inner_b1_mae,transition_rows,transition_mae,transition_b1_mae,transition_guardrail_status,probabilistic_mae_guardrail_passed,probabilistic_score_available,eligible,selected,selection_status,median_effective_iterations
rolling_origin_2021-05-18,Z05_gaussian_gee,0,88328b7f9a89d0943cf46137aae04dfdd6e075aa6804a97dc85a0a849acc1cf6,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""AR1""}",COMPLETE,,3,111,7.423980087343651,5.518648762817821,6.521251593714805,29,11.206201539337759,9.563718964395301,FAIL_TRANSITION_GUARDRAIL,False,True,False,False,NOT_SELECTED,
rolling_origin_2021-05-18,Z05_gaussian_gee,1,d138619421e84928cb83585cf70a2808db461ec91e30f581ae2d21f4a9e514c8,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""Exchangeable""}",FAILED_FIT_OR_PREDICT,RuntimeError: Gaussian GEE did not converge within 200 iterations,0,0,,,,0,,,UNAVAILABLE_FAILED_CANDIDATE,,,False,False,,
rolling_origin_2021-05-18,Z05_gaussian_gee,2,5760b6e8f1b395557c8dd64b04349ee73cd475a405267f39003b50004c2b32c0,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""Independence""}",COMPLETE,,3,111,6.998679691312349,5.256963296670809,6.521251593714805,29,11.059582482925766,9.563718964395301,FAIL_TRANSITION_GUARDRAIL,False,True,False,True,DIAGNOSTIC_FALLBACK_NO_ELIGIBLE_CANDIDATE,
rolling_origin_2021-07-13,Z05_gaussian_gee,0,88328b7f9a89d0943cf46137aae04dfdd6e075aa6804a97dc85a0a849acc1cf6,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""AR1""}",COMPLETE,,3,180,6.307479700897476,4.524933300797643,5.3463586566178165,45,8.168393051301553,7.405224533824608,FAIL_TRANSITION_GUARDRAIL,False,True,False,False,NOT_SELECTED,
rolling_origin_2021-07-13,Z05_gaussian_gee,1,d138619421e84928cb83585cf70a2808db461ec91e30f581ae2d21f4a9e514c8,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""Exchangeable""}",FAILED_FIT_OR_PREDICT,RuntimeError: Gaussian GEE did not converge within 200 iterations,0,0,,,,0,,,UNAVAILABLE_FAILED_CANDIDATE,,,False,False,,
rolling_origin_2021-07-13,Z05_gaussian_gee,2,5760b6e8f1b395557c8dd64b04349ee73cd475a405267f39003b50004c2b32c0,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""Independence""}",COMPLETE,,3,180,5.3913987986287975,3.8494808433948693,5.3463586566178165,45,7.067873070622383,7.405224533824608,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2021-11-02,Z05_gaussian_gee,0,88328b7f9a89d0943cf46137aae04dfdd6e075aa6804a97dc85a0a849acc1cf6,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""AR1""}",COMPLETE,,3,110,6.179902240506989,4.396401608784021,5.388572394150334,28,6.400785441956657,6.423245253982816,PASS,False,True,False,False,NOT_SELECTED,
rolling_origin_2021-11-02,Z05_gaussian_gee,1,d138619421e84928cb83585cf70a2808db461ec91e30f581ae2d21f4a9e514c8,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""Exchangeable""}",COMPLETE,,3,110,5.394994441812567,3.7939569271336357,5.388572394150334,28,5.54841839163123,6.423245253982816,PASS,True,True,True,False,NOT_SELECTED,
rolling_origin_2021-11-02,Z05_gaussian_gee,2,5760b6e8f1b395557c8dd64b04349ee73cd475a405267f39003b50004c2b32c0,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""Independence""}",COMPLETE,,3,110,5.302423602580821,3.7247627560542607,5.388572394150334,28,5.5892434045172825,6.423245253982816,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2022-03-01,Z05_gaussian_gee,0,88328b7f9a89d0943cf46137aae04dfdd6e075aa6804a97dc85a0a849acc1cf6,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""AR1""}",COMPLETE,,3,187,6.423581039427685,4.816009657418159,5.589386294271756,60,8.13637642734379,6.601388429505467,FAIL_TRANSITION_GUARDRAIL,False,True,False,False,NOT_SELECTED,
rolling_origin_2022-03-01,Z05_gaussian_gee,1,d138619421e84928cb83585cf70a2808db461ec91e30f581ae2d21f4a9e514c8,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""Exchangeable""}",COMPLETE,,3,187,5.716040348834495,4.263219466167079,5.589386294271756,60,7.1138344901469095,6.601388429505467,PASS,True,True,True,False,NOT_SELECTED,
rolling_origin_2022-03-01,Z05_gaussian_gee,2,5760b6e8f1b395557c8dd64b04349ee73cd475a405267f39003b50004c2b32c0,"{""family"":""Gaussian"",""link"":""identity"",""time_scale"":""fractional_years"",""working_correlation"":""Independence""}",COMPLETE,,3,187,5.536752453970895,4.122151614932975,5.589386294271756,60,6.783045519762756,6.601388429505467,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
