outer_fold_id,inner_fold_id,model_id,seed,parameter_sha256,sample_id,point_id,profile_id,zone_id,current_date,target_date,forecast_horizon_days,current_standard_uncertainty_mm,y_true,y_pred,b1_prediction,absolute_error,b1_absolute_error,transition_segment,is_transition,probabilistic_score,provenance_role,selected_effective_iterations
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-D01-W001::C008::C009,P-D01-W001,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.160798797,47.27803044107135,19.012392911769666,16.89546956,28.265637529301685,30.382560881071353,stable,False,22.339120481522354,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-D01-W002::C008::C009,P-D01-W002,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.190305509,89.0662707660715,57.61599755198431,66.46323011,31.45027321408719,22.6030406560715,volatile_or_gap,True,30.53859736285654,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-D01-W005::C008::C009,P-D01-W005,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.225971399,42.41228038571448,33.494556651920554,30.27102401,8.917723733793927,12.14125637571448,stable,False,5.9248240700138375,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-D01-W006::C008::C009,P-D01-W006,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.21121964,29.23191671607172,31.82100558212339,25.68797193,2.5890888660516715,3.5439447860717195,decelerating,True,1.909229748234681,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-D01-W007::C008::C009,P-D01-W007,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.179483642,46.16659904107145,34.67252578508514,32.95709782,11.494073255986308,13.209501221071449,decelerating,True,7.426435768386725,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-H03-W001::C008::C009,P-H03-W001,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.130338411,65.67874278035706,53.95372067561839,60.44983503,11.725022104738663,5.2289077503570525,volatile_or_gap,True,7.714161203109975,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-H03-W002::C008::C009,P-H03-W002,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.175988156,53.90724749999999,45.70033244434556,53.24664352,8.206915055654427,0.6606039799999905,stable,False,4.125985238364434,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-H03-W004::C008::C009,P-H03-W004,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.202381777,72.36759298928557,56.01630442839478,59.60905329,16.351288560890787,12.75853969928557,volatile_or_gap,True,12.73953622291669,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-H03-W005::C008::C009,P-H03-W005,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.203535027,67.11570846071425,55.05314752072615,65.46520959,12.062560939988096,1.6504988707142445,stable,False,8.003006298529181,inner_validation,264
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z07_quantile_hist_gradient_boosting,42117,364e8b90bab92d0cad86bcfdf8d91409f146816b3f3aa44d64e09e4d1477d697,P-H03-W006::C008::C009,P-H03-W006,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.198786711,73.73400889285719,65.00035844773683,67.52342595,8.733650445120361,6.210582942857187,decelerating,True,5.7087080406787605,inner_validation,264
