outer_fold_id,inner_fold_id,model_id,seed,parameter_sha256,sample_id,point_id,profile_id,zone_id,current_date,target_date,forecast_horizon_days,current_standard_uncertainty_mm,y_true,y_pred,b1_prediction,absolute_error,b1_absolute_error,transition_segment,is_transition,probabilistic_score,provenance_role,selected_effective_iterations
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-D01-W001::C008::C009,P-D01-W001,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.160798797,47.27803044107135,17.504396302195804,16.89546956,29.773634138875547,30.382560881071353,stable,False,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-D01-W002::C008::C009,P-D01-W002,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.190305509,89.0662707660715,55.442648232326746,66.46323011,33.62362253374475,22.6030406560715,volatile_or_gap,True,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-D01-W005::C008::C009,P-D01-W005,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.225971399,42.41228038571448,31.934456894231072,30.27102401,10.47782349148341,12.14125637571448,stable,False,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-D01-W006::C008::C009,P-D01-W006,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.21121964,29.23191671607172,33.32716908552172,25.68797193,4.095252369449998,3.5439447860717195,decelerating,True,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-D01-W007::C008::C009,P-D01-W007,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.179483642,46.16659904107145,35.50061196902097,32.95709782,10.665987072050477,13.209501221071449,decelerating,True,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-H03-W001::C008::C009,P-H03-W001,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.130338411,65.67874278035706,57.91086557578,60.44983503,7.767877204577054,5.2289077503570525,volatile_or_gap,True,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-H03-W002::C008::C009,P-H03-W002,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.175988156,53.90724749999999,51.460466260252694,53.24664352,2.4467812397472954,0.6606039799999905,stable,False,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-H03-W004::C008::C009,P-H03-W004,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.202381777,72.36759298928557,59.10249064964891,59.60905329,13.265102339636663,12.75853969928557,volatile_or_gap,True,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-H03-W005::C008::C009,P-H03-W005,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.203535027,67.11570846071425,59.02021948485905,65.46520959,8.095488975855197,1.6504988707142445,stable,False,,inner_validation,393
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z09_lightgbm,42117,3f75d8ff1f8b695c633b22a24d41eb116d37519a2cce8a1ed81fc3248d3cb5b5,P-H03-W006::C008::C009,P-H03-W006,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.198786711,73.73400889285719,71.73813074950797,67.52342595,1.9958781433492163,6.210582942857187,decelerating,True,,inner_validation,393
