outer_fold_id,model_id,candidate_index,parameter_sha256,parameter_json,status,failure,inner_folds,inner_rows,inner_mae,inner_crps,inner_b1_mae,transition_rows,transition_mae,transition_b1_mae,transition_guardrail_status,probabilistic_mae_guardrail_passed,probabilistic_score_available,eligible,selected,selection_status,median_effective_iterations
rolling_origin_2021-05-18,Z13_residual_mlp,0,c11b2144e08252d2a49ad95fd04cb8c2e8f39c0b06e8d22c33f9818d1a037631,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,111,5.135484533152262,,6.521251593714805,29,6.474994545841485,9.563718964395301,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,214
rolling_origin_2021-05-18,Z13_residual_mlp,1,544e9a043ca6ae7902bdf9d86f43422db65847b1293b5357a11e64460b70cbc5,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,111,5.162354791774614,,6.521251593714805,29,6.475844418155181,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,182
rolling_origin_2021-05-18,Z13_residual_mlp,2,f2ee0d0d5407d677da544c0c245fc80404ee01ab782335cf52fff61d61abd23e,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,111,5.324129338026365,,6.521251593714805,29,6.512011643899955,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,106
rolling_origin_2021-05-18,Z13_residual_mlp,3,3eb72841e26c412b6135bbb5f037ca0f785be90d6be73737f0ecfa58e116a530,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,111,5.333157038259932,,6.521251593714805,29,6.511760619323858,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,106
rolling_origin_2021-05-18,Z13_residual_mlp,4,f92ba8513fdcc55b5f879c97882167a7e600c08b07c835e191623eb9258fec17,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,111,5.18340916539724,,6.521251593714805,29,6.412039420702807,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,195
rolling_origin_2021-05-18,Z13_residual_mlp,5,16a4328998bd9a505ae25a860bc4f534bb64288cb6e870631d180bc7573932cc,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,111,5.196946706058573,,6.521251593714805,29,6.412745683332415,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,234
rolling_origin_2021-05-18,Z13_residual_mlp,6,342eeb1f4b810f1c1b041e389a82c240876cafba4fb3afc65d7ebdf52c3411f5,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,111,5.312413300346515,,6.521251593714805,29,6.593092543756828,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,107
rolling_origin_2021-05-18,Z13_residual_mlp,7,72957cadf3228b2d8187217ec80ba018d977f931e948bfcef07eba22d53047e5,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,111,5.293504784924993,,6.521251593714805,29,6.5912738833670685,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,107
rolling_origin_2021-07-13,Z13_residual_mlp,0,c11b2144e08252d2a49ad95fd04cb8c2e8f39c0b06e8d22c33f9818d1a037631,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,180,4.427705853576232,,5.3463586566178165,45,5.221953013601348,7.405224533824608,PASS,True,True,True,False,NOT_SELECTED,112
rolling_origin_2021-07-13,Z13_residual_mlp,1,544e9a043ca6ae7902bdf9d86f43422db65847b1293b5357a11e64460b70cbc5,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,180,4.441157141751077,,5.3463586566178165,45,5.22116668992153,7.405224533824608,PASS,True,True,True,False,NOT_SELECTED,112
rolling_origin_2021-07-13,Z13_residual_mlp,2,f2ee0d0d5407d677da544c0c245fc80404ee01ab782335cf52fff61d61abd23e,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,180,4.4516175764439225,,5.3463586566178165,45,4.916106043947971,7.405224533824608,PASS,True,True,True,False,NOT_SELECTED,107
rolling_origin_2021-07-13,Z13_residual_mlp,3,3eb72841e26c412b6135bbb5f037ca0f785be90d6be73737f0ecfa58e116a530,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,180,4.466045273037577,,5.3463586566178165,45,4.848814924730324,7.405224533824608,PASS,True,True,True,False,NOT_SELECTED,109
rolling_origin_2021-07-13,Z13_residual_mlp,4,f92ba8513fdcc55b5f879c97882167a7e600c08b07c835e191623eb9258fec17,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,180,4.4431364134847575,,5.3463586566178165,45,5.106204429993144,7.405224533824608,PASS,True,True,True,False,NOT_SELECTED,117
rolling_origin_2021-07-13,Z13_residual_mlp,5,16a4328998bd9a505ae25a860bc4f534bb64288cb6e870631d180bc7573932cc,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,180,4.45006124506141,,5.3463586566178165,45,5.105255399209702,7.405224533824608,PASS,True,True,True,False,NOT_SELECTED,117
rolling_origin_2021-07-13,Z13_residual_mlp,6,342eeb1f4b810f1c1b041e389a82c240876cafba4fb3afc65d7ebdf52c3411f5,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,180,4.428232895303524,,5.3463586566178165,45,4.914698559255626,7.405224533824608,PASS,True,True,True,False,NOT_SELECTED,109
rolling_origin_2021-07-13,Z13_residual_mlp,7,72957cadf3228b2d8187217ec80ba018d977f931e948bfcef07eba22d53047e5,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,180,4.415611562432934,,5.3463586566178165,45,4.9130546471753656,7.405224533824608,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,109
rolling_origin_2021-11-02,Z13_residual_mlp,0,c11b2144e08252d2a49ad95fd04cb8c2e8f39c0b06e8d22c33f9818d1a037631,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,110,4.738053656800859,,5.388572394150334,28,5.496728335892987,6.423245253982816,PASS,True,True,True,False,NOT_SELECTED,183
rolling_origin_2021-11-02,Z13_residual_mlp,1,544e9a043ca6ae7902bdf9d86f43422db65847b1293b5357a11e64460b70cbc5,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,110,4.742947479987283,,5.388572394150334,28,5.470576823020298,6.423245253982816,PASS,True,True,True,False,NOT_SELECTED,182
rolling_origin_2021-11-02,Z13_residual_mlp,2,f2ee0d0d5407d677da544c0c245fc80404ee01ab782335cf52fff61d61abd23e,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,110,4.870596411025325,,5.388572394150334,28,5.475355273049919,6.423245253982816,PASS,True,True,True,False,NOT_SELECTED,107
rolling_origin_2021-11-02,Z13_residual_mlp,3,3eb72841e26c412b6135bbb5f037ca0f785be90d6be73737f0ecfa58e116a530,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,110,4.894278135115335,,5.388572394150334,28,5.3674554169299356,6.423245253982816,PASS,True,True,True,False,NOT_SELECTED,109
rolling_origin_2021-11-02,Z13_residual_mlp,4,f92ba8513fdcc55b5f879c97882167a7e600c08b07c835e191623eb9258fec17,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,110,4.628863283528055,,5.388572394150334,28,5.0789126590125235,6.423245253982816,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,195
rolling_origin_2021-11-02,Z13_residual_mlp,5,16a4328998bd9a505ae25a860bc4f534bb64288cb6e870631d180bc7573932cc,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,110,4.642384049627134,,5.388572394150334,28,5.0695141682898335,6.423245253982816,PASS,True,True,True,False,NOT_SELECTED,282
rolling_origin_2021-11-02,Z13_residual_mlp,6,342eeb1f4b810f1c1b041e389a82c240876cafba4fb3afc65d7ebdf52c3411f5,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,110,4.829194817656221,,5.388572394150334,28,5.380849958436192,6.423245253982816,PASS,True,True,True,False,NOT_SELECTED,109
rolling_origin_2021-11-02,Z13_residual_mlp,7,72957cadf3228b2d8187217ec80ba018d977f931e948bfcef07eba22d53047e5,"{""batch_size"":32,""dropout"":0.1,""hidden_layout"":[64,32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.01}",COMPLETE,,3,110,4.808847039529623,,5.388572394150334,28,5.380079826777961,6.423245253982816,PASS,True,True,True,False,NOT_SELECTED,109
rolling_origin_2022-03-01,Z13_residual_mlp,0,c11b2144e08252d2a49ad95fd04cb8c2e8f39c0b06e8d22c33f9818d1a037631,"{""batch_size"":32,""dropout"":0.0,""hidden_layout"":[32],""learning_rate"":0.001,""loss"":""Huber"",""max_epochs"":2000,""optimizer"":""AdamW"",""patience"":100,""weight_decay"":0.0001}",COMPLETE,,3,187,5.235435747125518,,5.589386294271756,60,6.179265965489806,6.601388429505467,PASS,True,True,True,False,NOT_SELECTED,112
