outer_fold_id,inner_fold_id,model_id,seed,parameter_sha256,sample_id,point_id,profile_id,zone_id,current_date,target_date,forecast_horizon_days,current_standard_uncertainty_mm,y_true,y_pred,b1_prediction,absolute_error,b1_absolute_error,transition_segment,is_transition,probabilistic_score,provenance_role,selected_effective_iterations
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-D01-W001::C008::C009,P-D01-W001,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.160798797,47.27803044107135,20.664365186068114,16.89546956,26.613665255003237,30.382560881071353,stable,False,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-D01-W002::C008::C009,P-D01-W002,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.190305509,89.0662707660715,60.950707889388426,66.46323011,28.11556287668307,22.6030406560715,volatile_or_gap,True,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-D01-W005::C008::C009,P-D01-W005,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.225971399,42.41228038571448,35.853726646718755,30.27102401,6.558553738995727,12.14125637571448,stable,False,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-D01-W006::C008::C009,P-D01-W006,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.21121964,29.23191671607172,37.85681901404541,25.68797193,8.624902297973694,3.5439447860717195,decelerating,True,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-D01-W007::C008::C009,P-D01-W007,P-D01,GEO_SW,2020-04-21,2020-06-02,42,1.179483642,46.16659904107145,42.31051521654541,32.95709782,3.8560838245260385,13.209501221071449,decelerating,True,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-H03-W001::C008::C009,P-H03-W001,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.130338411,65.67874278035706,66.37263318673828,60.44983503,0.6938904063812288,5.2289077503570525,volatile_or_gap,True,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-H03-W002::C008::C009,P-H03-W002,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.175988156,53.90724749999999,55.24941895067932,53.24664352,1.3421714506793307,0.6606039799999905,stable,False,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-H03-W004::C008::C009,P-H03-W004,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.202381777,72.36759298928557,65.44537273656371,59.60905329,6.922220252721857,12.75853969928557,volatile_or_gap,True,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-H03-W005::C008::C009,P-H03-W005,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.203535027,67.11570846071425,68.17544065575012,65.46520959,1.0597321950358776,1.6504988707142445,stable,False,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-H03-W006::C008::C009,P-H03-W006,P-H03,GEO_SE,2020-04-21,2020-06-02,42,1.198786711,73.73400889285719,75.2070573701355,67.52342595,1.4730484772783115,6.210582942857187,decelerating,True,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-V01-W003::C008::C009,P-V01-W003,P-V01,GEO_SW,2020-04-21,2020-06-02,42,0.7931309698,28.492908130357204,34.94795565779663,33.45951276,6.4550475274394294,4.966604629642799,stable,False,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-V01-W004::C008::C009,P-V01-W004,P-V01,GEO_SW,2020-04-21,2020-06-02,42,0.7956483756,33.02672333392869,41.73525591401882,41.88620195,8.708532580090129,8.859478616071307,stable,False,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-V01-W005::C008::C009,P-V01-W005,P-V01,GEO_SW,2020-04-21,2020-06-02,42,0.7904760529,47.43236074107129,62.830818881923676,63.29256325,15.398458140852384,15.860202508928708,stable,False,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-V01-W006::C008::C009,P-V01-W006,P-V01,GEO_SW,2020-04-21,2020-06-02,42,0.7752739001,31.01532115178564,39.607428762727665,36.70666692,8.592107610942026,5.691345768214365,stable,False,,inner_validation,1031
rolling_origin_2021-05-18,rolling_origin_2021-05-18__inner_1_2020-06-02,Z14_enfs_replica,42117,2ed23c1bedbb5d3df00562a062a8b71562ad00819c17cb0d3f3b4e2a020d2456,P-V01-W007::C008::C009,P-V01-W007,P-V01,GEO_SW,2020-04-21,2020-06-02,42,0.7486818542,40.99758191071459,64.94302993679977,65.90209901,23.945448026085188,24.904517099285414,volatile_or_gap,True,,inner_validation,1031
