model_id,family,status,probabilistic,condition,reason,grid_json,origins,points,profiles,history_length_min,history_length_median,history_length_max,irregular_intervals,missing_campaigns_present,parameter_budget,selection_data,model_trained_in_c0
C01_compact_gru,gated_recurrent_unit,REQUIRED_COMPACT_SCREEN,False,,,"{""dropout"":[0.0,0.1],""hidden_size"":[16,32],""layers"":[1,2],""weight_decay"":[0.0001,0.01]}",911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C02_compact_lstm,long_short_term_memory,REQUIRED_COMPACT_SCREEN,False,,,"{""dropout"":[0.0,0.1],""hidden_size"":[16,32],""layers"":[1,2],""weight_decay"":[0.0001,0.01]}",911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C03_causal_tcn,temporal_convolutional_network,REQUIRED_COMPACT_SCREEN,False,,,"{""channels"":[[16,16],[32,32]],""dropout"":[0.0,0.1],""kernel_size"":[2,3],""weight_decay"":[0.0001,0.01]}",911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C04_probabilistic_gru_student_t,irregular_time_probabilistic_recurrent,REQUIRED_COMPACT_SCREEN,True,,,"{""dropout"":[0.0,0.1],""hidden_size"":[16,32],""layers"":[1],""weight_decay"":[0.0001,0.01]}",911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C05_tsmixer_compact,time_series_mixer,CONDITIONAL_COMPACT_SCREEN,False,masked_fixed_length_representation_passes_c0_audit,,"{""blocks"":[1,2],""dropout"":[0.0,0.1],""hidden_size"":[16,32]}",911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C06_tft_compact,temporal_fusion_transformer,CONDITIONAL_COMPACT_SCREEN,True,parameter_count_lte_100000_and_no_identifier_embeddings,,"{""attention_heads"":[1,2],""dropout"":[0.0,0.1],""hidden_size"":[8,16]}",911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C07_nbeats,n_beats,NOT_ELIGIBLE_DATA_GEOMETRY,False,,requires_unjustified_regular_grid_or_interpolation_for_3_to_16_irregular_observations,{},911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C08_nhits,n_hits,NOT_ELIGIBLE_DATA_GEOMETRY,False,,hierarchical_downsampling_not_identifiable_on_3_to_16_irregular_observations,{},911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C09_patchtst,patch_time_series_transformer,NOT_ELIGIBLE_DATA_GEOMETRY,False,,patch_context_is_too_short_and_sparse_without_unjustified_interpolation,{},911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
C10_itransformer,inverted_transformer,NOT_ELIGIBLE_DATA_GEOMETRY,False,,sample_and_channel_geometry_is_insufficient_for_stable_attention_screening,{},911,98,14,3,7.0,16,True,True,100000,t1_v1/train_only,False
