history_length,origins,origin_fraction,points,profiles,zones,padding_count
3,94,0.10318331503841932,94,14,4,13
4,95,0.10428100987925357,95,14,4,12
5,88,0.09659714599341383,88,14,4,11
6,93,0.10208562019758508,93,14,4,10
7,95,0.10428100987925357,95,14,4,9
8,95,0.10428100987925357,95,14,4,8
9,90,0.09879253567508232,90,14,4,7
10,84,0.09220636663007684,84,14,4,6
11,72,0.07903402854006586,72,13,4,5
12,47,0.05159165751920966,47,8,4,4
13,34,0.03732162458836443,34,6,3,3
14,17,0.018660812294182216,17,5,2,2
15,5,0.005488474204171241,5,1,1,1
16,2,0.0021953896816684962,2,1,1,0
