model_id,family,aggregation,seed,rolling_folds,pooled_rows,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction,median_fold_mae,iqr_fold_mae,min_fold_mae,max_fold_mae,fold_mae_range,max_fold_mae_ratio_vs_b1,fit_seconds_total,inference_seconds_total,peak_ram_mb_max,peak_vram_mb_max,parameter_count_max,epoch_count_median,pooled_mae_ratio_vs_b1,median_fold_mae_ratio_vs_b1
C01_compact_gru,gated_recurrent_unit,mean_of_fixed_seeds,-1,11,595,595,6.287934504543562,4.325761260867182,10.817206422522972,-0.7664217320338492,0.7664217320338492,11.73930104583065,17.249615541380756,116.97957172631182,0.8268626896382182,,,6.310996203736419,0.0036542090104891845,,False,0.5899159663865546,0.5899159663865546,6.456679038524832,3.1608905979932427,4.16816874935726,14.016466519468647,9.848297770111387,1.807219363560032,259.19353789964225,0.0678363003535167,1782.30859375,86.8720703125,10401,75.0,0.9963457909895108,1.0284281356704719
C02_compact_lstm,long_short_term_memory,mean_of_fixed_seeds,-1,11,595,595,6.466581579598985,4.114451153648863,11.340542295376476,-0.9928916299551914,0.9928916299551914,12.943606903575418,20.765902037199247,121.07628949767131,0.8097046933335468,,,6.310996203736419,-0.024653061234683138,,False,0.584873949579832,0.5899159663865546,7.127496125114129,3.364480442114875,4.230345318539241,13.907919714356211,9.67757439581697,1.9444100145884562,198.86820500018075,0.0691502001136516,1782.3828125,87.8125,13857,57.0,1.0246530612346831,1.1352767433866993
C03_causal_tcn,temporal_convolutional_network,mean_of_fixed_seeds,-1,11,595,595,6.551860225503132,4.147438881574686,11.125948822696165,-1.399479180741455,1.399479180741455,12.594078119390215,19.662527882466385,104.08761962384892,0.8168383497472087,,,6.310996203736419,-0.03816576876153244,,False,0.5680672268907563,0.5899159663865546,6.949976883632214,2.876972783189065,3.6277180620275513,14.176562073252228,10.548844011224677,1.6263223582729964,180.35351679997984,0.0810746001079651,1573.96875,65.3125,4225,91.0,1.0381657687615324,1.1070012504477482
C04_probabilistic_gru_student_t,irregular_time_probabilistic_recurrent,mean_of_fixed_seeds,-1,11,595,595,7.177393404799803,3.9048055698057946,13.69801159067479,-3.1787474259851396,3.1787474259851396,12.71061519735529,31.838438425435804,106.5587278504056,0.722364184185539,,,6.310996203736419,-0.1372837461937364,,False,0.5915966386554622,0.5899159663865546,7.714051038088895,4.939085780405936,4.303116221559817,18.17343444324971,13.870318221689894,1.7261422248443508,169.7580241995165,0.1042951005510958,1883.68359375,75.59716796875,4131,22.0,1.1372837461937364,1.2287039637920698
B7_two_regime_imm,imm_damped_acceleration,single_seed,42117,11,595,595,5.639718690598765,3.6083435588797457,9.983170312126028,-0.7731621212323275,0.7731621212323275,10.921186412269503,17.537753064624578,105.29997170009857,0.8525321351241558,,,6.310996203736419,0.10636633131552586,,False,0.6016806722689075,0.5899159663865546,5.743942188690407,3.780010491775455,4.045858829649234,11.811647653961774,7.765788824312541,1.2489337036525183,0.006059900013496699,0.697610900009749,193.71484375,0.0,0,0.0,0.8936336686844741,0.9149024941873958
B8_student_t_robust_imm,imm_student_t_robust_observation,single_seed,42117,11,595,595,5.748334120825838,3.6377030040620504,10.241953332716756,-0.857329408178059,0.857329408178059,11.032914075419717,18.598665030446277,105.01413602445612,0.8447877419231841,,,6.310996203736419,0.08915582655198839,,False,0.6100840336134454,0.5899159663865546,5.7641742702505985,3.8995084672157514,4.0404429562989,12.129964339699322,8.089521383400422,1.4536773291888125,0.0058249999856338,0.8147705000155833,193.1953125,0.0,0,0.0,0.9108441734480116,0.918125086141484
B1_persistence_last_rate,persistence,single_seed,42117,11,595,595,6.310996203736419,4.55294393357142,10.809518679762842,-0.774809358754427,0.774809358754427,12.562219546118369,17.87169358683277,121.51962832417566,0.8271086980939628,,,6.310996203736419,0.0,,False,0.5899159663865546,0.5899159663865546,6.278201475220701,2.0615795308872364,4.483330681766071,13.514482114265329,9.031151432499257,1.0,0.005856599978869301,0.0004765000194311142,193.08984375,0.0,1,0.0,1.0,1.0
C01_compact_gru,gated_recurrent_unit,single_seed,42120,11,595,595,6.3602996196529356,4.251255609481959,10.8894998780842,-0.8808431997256482,0.8808431997256482,12.004816989967724,17.095281044604366,117.0025015800955,0.8245407370579784,,,6.310996203736419,-0.007812303212498595,,False,0.5865546218487395,0.5899159663865546,6.614170863421961,2.1170515359048885,4.337277946419081,13.877722649096897,9.540444702677817,1.849941915163291,50.64991739985999,0.015406099963001298,1782.296875,86.8720703125,10401,75.0,1.0078123032124986,1.0535136359556618
C01_compact_gru,gated_recurrent_unit,single_seed,42118,11,595,595,6.4025543683432335,4.398005128320445,10.919215050271376,-0.9261376011775996,0.9261376011775996,11.962852595319774,18.293278750411893,116.76773989081481,0.8235818471259184,,,6.310996203736419,-0.01450771980382548,,False,0.573109243697479,0.5899159663865546,6.458400192363353,3.8208194541317084,4.404382084137103,14.611708694390224,10.207326610253121,1.8007756372909998,52.87409389996901,0.0139422001084306,1782.00390625,86.8720703125,10401,75.0,1.0145077198038255,1.0287022832659758
C02_compact_lstm,long_short_term_memory,single_seed,42117,11,595,595,6.402629845122122,4.040618195193655,11.116548453334325,-0.8977446964955902,0.8977446964955902,12.22070880497549,19.86711437307618,120.58902815146284,0.8171477273687433,,,6.310996203736419,-0.014519679370342597,,False,0.5932773109243697,0.5899159663865546,7.050172744484039,3.223874845546719,4.116319406978999,13.884958669593761,9.768639262614762,1.840817146932178,39.23264970036689,0.014536399859934601,1781.75390625,87.8125,13857,57.0,1.0145196793703426,1.1229605759404528
C01_compact_gru,gated_recurrent_unit,single_seed,42117,11,595,595,6.455612057558266,4.286900411293814,11.023283889439453,-0.4744535536356267,0.4744535536356267,13.574142442478617,17.896259026663195,121.71294551181883,0.8202030102275072,,,6.310996203736419,-0.022914901095365536,,False,0.5932773109243697,0.5899159663865546,7.357751498892401,2.893799317597553,3.855481627003751,12.982354034019814,9.126872407016062,1.849017308672378,53.39182359998813,0.0148397000739345,1781.96484375,86.72998046875,10401,75.0,1.0229149010953655,1.1719521152566628
C01_compact_gru,gated_recurrent_unit,single_seed,42119,11,595,595,6.560783234405029,4.441219523389254,10.992054772950524,-0.6223651117989467,0.6223651117989467,12.724471057704813,17.677799644234877,112.51380177701654,0.8212203019252831,,,6.310996203736419,-0.0395796515486293,,False,0.5714285714285714,0.5899159663865546,6.688174688429776,3.3867142068495193,4.642833966983532,14.454468108839613,9.811634141856082,1.7935373843691964,51.89785409986507,0.012291900115087101,1782.296875,86.72998046875,10401,75.0,1.0395796515486293,1.0653010603159503
C01_compact_gru,gated_recurrent_unit,single_seed,42121,11,595,595,6.577158758704804,4.575393793121435,11.141605210064988,-0.9283091938314239,0.9283091938314239,13.618077821662014,18.037583462913737,116.90086987181346,0.8163224984763819,,,6.310996203736419,-0.04217441214919493,,False,0.5882352941176471,0.5899159663865546,6.759335003605184,3.6230669168820935,3.8818031788318836,14.519903789017178,10.638100610185294,1.7615622091869112,50.37984889996005,0.0113564000930632,1782.30859375,86.72998046875,10401,75.0,1.042174412149195,1.076635566775526
C02_compact_lstm,long_short_term_memory,single_seed,42118,11,595,595,6.642610745348121,4.22113919698328,11.560814402795192,-0.7940416415189783,0.7940416415189783,13.804778335071125,20.181466721723204,120.93486333969996,0.8022405297307859,,,6.310996203736419,-0.05254551435403654,,False,0.5747899159663865,0.5899159663865546,6.588259786571272,4.427882646725101,4.134305693771695,13.769465733885092,9.635160040113398,2.0474288180262312,39.885525900055654,0.012540700030512702,1782.3828125,87.8125,13857,57.0,1.0525455143540365,1.049386486332803
C02_compact_lstm,long_short_term_memory,single_seed,42120,11,595,595,6.717693007547768,4.180304527304642,11.525900896556918,-1.1947316089976463,1.1947316089976463,13.530168133676186,20.554464541468136,121.13352428007545,0.8034331880583008,,,6.310996203736419,-0.06444256828590156,,False,0.5747899159663865,0.5899159663865546,7.6875175991963856,3.6834556779472702,4.164087515168048,14.429755982656665,10.265668467488616,1.7845214169788008,41.474940899875946,0.015309300040825601,1782.3671875,87.8125,13857,57.0,1.0644425682859016,1.224477683543302
C02_compact_lstm,long_short_term_memory,single_seed,42119,11,595,595,6.729702001676914,4.091825821380404,11.734401642316348,-1.0550981476331363,1.0550981476331363,13.154162280012345,21.508593998209765,121.27324422565393,0.7962571719692477,,,6.310996203736419,-0.06634543650851832,,False,0.5915966386554622,0.5899159663865546,7.6699007101816115,2.986303467348785,4.226780834534301,13.408756494060917,9.181975659526616,1.9808447419301987,38.924357999814674,0.013148000114596799,1782.34375,87.8125,13857,57.0,1.0663454365085183,1.2216716428190109
C02_compact_lstm,long_short_term_memory,single_seed,42121,11,595,595,6.744740974049682,4.480153677847252,11.533541150048688,-1.0228420551306063,1.0228420551306063,13.053280642229279,21.642030521334163,121.45078749146441,0.8031725024866005,,,6.310996203736419,-0.06872841565907839,,False,0.5899159663865546,0.5899159663865546,7.4334680025562285,3.381564856521808,4.602481809134432,14.314409859986956,9.711928050852524,2.110637334573158,39.350730500067584,0.0136158000677819,1782.375,87.8125,13857,57.0,1.0687284156590784,1.1840123372744924
C03_causal_tcn,temporal_convolutional_network,single_seed,42117,11,595,595,6.758767519838946,4.504450278888022,11.260970031290867,-1.2362596732219122,1.2362596732219122,13.066851103012372,19.6944080777488,102.52983635555981,0.8123657838493039,,,6.310996203736419,-0.0709509721836663,,False,0.5445378151260504,0.5899159663865546,6.483680486439172,3.192674434363381,3.2651077621543863,13.059251123350139,9.794143361195752,1.6710379424880684,35.69354139990173,0.0316690000472584,1573.30859375,65.3125,4225,91.0,1.0709509721836663,1.032728960997743
C03_causal_tcn,temporal_convolutional_network,single_seed,42119,11,595,595,6.7697674850741265,4.380380649370896,11.423074605448654,-2.113845193831396,2.113845193831396,13.582762465708562,22.369062461764898,107.77802774524046,0.8069248155602207,,,6.310996203736419,-0.0726939561564135,,False,0.5831932773109244,0.5899159663865546,6.4423562853956495,3.074505932141779,4.398112725913186,15.35396720789605,10.955854481982865,1.777737260564723,36.459928700118326,0.011934699839911899,1573.95703125,65.3125,4225,91.0,1.0726939561564135,1.0261467891438094
C03_causal_tcn,temporal_convolutional_network,single_seed,42118,11,595,595,6.786942262886643,4.39480270073982,11.269029668066329,-1.4764670559864537,1.4764670559864537,13.515751565954025,20.751525746543052,106.23131923106074,0.812097102767845,,,6.310996203736419,-0.07541536134476523,,False,0.5663865546218487,0.5899159663865546,7.591524929261877,1.94148634858683,3.5667836370412704,12.407660918323549,8.840877281282278,1.4126243580999163,36.96748530014884,0.0108916000463062,1573.9453125,65.3125,4225,91.0,1.0754153613447652,1.2091878477020377
C03_causal_tcn,temporal_convolutional_network,single_seed,42120,11,595,595,6.9637244500674145,4.6583805329732755,11.472449427062552,-1.1290143209493548,1.1290143209493548,13.546632167496535,20.584611777874603,101.12334252262843,0.805252121327142,,,6.310996203736419,-0.10342713341271681,,False,0.5361344537815126,0.5899159663865546,6.541689336212941,3.174727466054473,4.347518574367054,14.226232009679942,9.878713435312887,1.7326087225933064,35.38300199992955,0.013127199956215403,1573.95703125,65.3125,4225,91.0,1.1034271334127168,1.0419686851452912
C04_probabilistic_gru_student_t,irregular_time_probabilistic_recurrent,single_seed,42119,11,595,595,7.0673317592698295,3.8650426822144794,13.4239748228397,-2.9171195981178784,2.9171195981178784,13.518059147311652,30.740896702279226,104.72039527445122,0.7333616029474779,,,6.310996203736419,-0.11984408342467745,,False,0.5915966386554622,0.5899159663865546,7.71000330109725,5.249557869426992,4.227023278993384,18.60871158378998,14.381688304796596,1.7152625268752033,33.577311699977145,0.0191658999538043,1883.6015625,75.59716796875,4131,22.0,1.1198440834246775,1.2280592350417068
C04_probabilistic_gru_student_t,irregular_time_probabilistic_recurrent,single_seed,42117,11,595,595,7.099711098154644,3.847679384164522,13.607295602728103,-3.073201947419126,3.073201947419126,12.548100287718489,30.221521824610605,108.56090955532628,0.7260293306420151,,,6.310996203736419,-0.12497470588736315,,False,0.6,0.5899159663865546,7.895875371416566,5.5321631403513525,4.14776296535431,17.88922607870522,13.74146311335091,1.838247411552089,34.13053590012714,0.0229658001335333,1880.04296875,75.59716796875,4131,22.0,1.1249747058873631,1.2576651772933105
C03_causal_tcn,temporal_convolutional_network,single_seed,42121,11,595,595,7.1999736144119675,4.771230924995187,11.785650360694003,-1.0418096597181576,1.0418096597181576,14.562615594162676,20.04034482574577,102.77557226475514,0.794473636631289,,,6.310996203736419,-0.14086166145199552,,False,0.5310924369747899,0.5899159663865546,7.659936395888297,2.9365734856683625,3.23212429757251,16.28919859629013,13.057074298717621,1.660680217098172,35.8495593998814,0.0134521002182732,1573.96875,65.3125,4225,91.0,1.1408616614519955,1.220084514031787
C04_probabilistic_gru_student_t,irregular_time_probabilistic_recurrent,single_seed,42121,11,595,595,7.246853931891312,4.075689260931218,13.597865173225976,-3.090682619261877,3.090682619261877,13.539643654503354,31.30046046425687,107.30118862700799,0.7264089454994285,,,6.310996203736419,-0.1482900160201046,,False,0.5815126050420169,0.5899159663865546,7.427893053536592,4.717264042211065,4.6263298840012155,18.790584713027368,14.164254829026152,1.7096317020575231,33.66451019968372,0.0198383003007616,1883.68359375,75.59716796875,4131,22.0,1.1482900160201046,1.1831243522294694
