job_id,model_id,fold_id,worker_returncode,post_commit_teardown_anomaly,accepted_returncode,artifacts_validated_after_exit,outer_validation_labels_loaded_by_worker,historical_validation_loaded,current_test_loaded,new_holdout_seen,code_sha256,config_sha256,environment_sha256
C01_compact_gru::rolling_origin_2021-05-18,C01_compact_gru,rolling_origin_2021-05-18,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2021-07-13,C01_compact_gru,rolling_origin_2021-07-13,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2021-11-02,C01_compact_gru,rolling_origin_2021-11-02,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2022-03-01,C01_compact_gru,rolling_origin_2022-03-01,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2022-05-17,C01_compact_gru,rolling_origin_2022-05-17,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2022-07-19,C01_compact_gru,rolling_origin_2022-07-19,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2022-10-18,C01_compact_gru,rolling_origin_2022-10-18,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2023-01-17,C01_compact_gru,rolling_origin_2023-01-17,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2023-05-16,C01_compact_gru,rolling_origin_2023-05-16,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2023-07-25,C01_compact_gru,rolling_origin_2023-07-25,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C01_compact_gru::rolling_origin_2023-11-07,C01_compact_gru,rolling_origin_2023-11-07,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2021-05-18,C02_compact_lstm,rolling_origin_2021-05-18,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2021-07-13,C02_compact_lstm,rolling_origin_2021-07-13,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2021-11-02,C02_compact_lstm,rolling_origin_2021-11-02,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2022-03-01,C02_compact_lstm,rolling_origin_2022-03-01,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2022-05-17,C02_compact_lstm,rolling_origin_2022-05-17,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2022-07-19,C02_compact_lstm,rolling_origin_2022-07-19,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2022-10-18,C02_compact_lstm,rolling_origin_2022-10-18,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2023-01-17,C02_compact_lstm,rolling_origin_2023-01-17,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2023-05-16,C02_compact_lstm,rolling_origin_2023-05-16,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2023-07-25,C02_compact_lstm,rolling_origin_2023-07-25,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
C02_compact_lstm::rolling_origin_2023-11-07,C02_compact_lstm,rolling_origin_2023-11-07,3221226505,True,True,True,False,False,False,False,5a84f27899c20bd37e8318cdc99009da9cb2fc71b7090dead1ca57fee9e7db6a,340f5e8ac2d6df6696e2ea0267670ec4d5d1ef1265aa1ecb1a2cebed848a9eba,4a1388db6a465b41decad90e9701c9312bb7aa844e8aeb133c461ed0a4bd9258
