unit_id,source_component_label,area_px2,perimeter_px,centroid_x_crop_px,centroid_y_crop_px,centroid_x_source_px,centroid_y_source_px,bbox_x_crop_px,bbox_y_crop_px,bbox_width_px,bbox_height_px,polygon_wkt_crop_px,threshold_stability,coordinate_system,metric_georeferencing_accuracy_established,provenance
F13B-PX-0001,2,644,98.80347,437.863354,26.569876,1012.863354,131.569876,427,11,23,32,"POLYGON ((428.000 13.000, 427.000 14.000, 427.000 29.000, 429.000 30.000, 429.000 42.000, 447.000 42.000, 449.000 14.000, 440.000 13.000, 438.000 11.000, 428.000 13.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0002,3,616,97.446864,413.066558,30.618506,988.066558,135.618506,400,15,27,28,"POLYGON ((423.000 15.000, 401.000 22.000, 400.000 42.000, 426.000 42.000, 426.000 32.000, 424.000 31.000, 423.000 26.000, 423.000 15.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0003,4,184,57.977845,454.771739,30.951087,1029.771739,135.951087,450,19,11,24,"POLYGON ((455.000 19.000, 453.000 19.000, 452.000 31.000, 450.000 33.000, 450.000 42.000, 456.000 42.000, 456.000 39.000, 460.000 28.000, 460.000 23.000, 455.000 19.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0004,5,322,66.782436,388.400621,33.708075,963.400621,138.708075,378,24,20,19,"POLYGON ((397.000 24.000, 390.000 25.000, 378.000 29.000, 378.000 38.000, 385.000 42.000, 397.000 42.000, 397.000 24.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0005,6,121,42.095554,77.272727,35.528926,652.272727,140.528926,73,27,9,16,"POLYGON ((80.000 27.000, 77.000 27.000, 73.000 34.000, 73.000 42.000, 81.000 42.000, 80.000 27.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0006,7,244,75.692542,362.438525,38.118852,937.438525,143.118852,344,31,32,12,"POLYGON ((374.000 31.000, 370.000 31.000, 367.000 33.000, 344.000 40.000, 344.000 42.000, 375.000 42.000, 374.000 31.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0007,8,521,90.046164,341.589251,55.96737,916.589251,160.96737,332,41,21,29,"POLYGON ((333.000 43.000, 332.000 44.000, 333.000 69.000, 351.000 69.000, 351.000 50.000, 352.000 46.000, 351.000 45.000, 343.000 45.000, 341.000 43.000, 341.000 41.000, 333.000 43.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0008,9,90,34.485281,71.455556,50.255556,646.455556,155.255556,68,45,8,12,"POLYGON ((69.000 45.000, 68.000 46.000, 68.000 56.000, 75.000 55.000, 75.000 45.000, 69.000 45.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0009,10,54,27.123106,79.962963,50.092593,654.962963,155.092593,78,45,5,11,"POLYGON ((78.000 45.000, 78.000 55.000, 82.000 55.000, 82.000 46.000, 78.000 45.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
F13B-PX-0010,11,900,136.22348,308.107778,60.334444,883.107778,165.334444,277,45,53,26,"POLYGON ((329.000 45.000, 325.000 45.000, 313.000 50.000, 296.000 54.000, 283.000 62.000, 277.000 68.000, 277.000 70.000, 329.000 69.000, 329.000 45.000))",stable,zero_based_source_raster_upper_left_x_right_y_down,False,D_published_figure_segmentation
