point_id,figure_order,distance_label_as_printed,distance_from_label_km,signed_subsidence_mm,selected_pixel_x,selected_pixel_y,pixel_coordinate_system,pixel_selection_kind,readability,reading_envelope_half_width_mm,reading_envelope_interpretation,pdf_page,pdf_xobject,series,interval_label,provenance,source_available_at,eligible_as_t1_time_series,mapped_synthetic_point_id,handoff_pixel_x,handoff_pixel_y,handoff_signed_mm,handoff_status,handoff_distance_label,difference_from_handoff_mm,selection_note_ru
SUP01-L1-LVL-2011_2016-01,1,0,0.0,,128,,zero_based_native_raster_upper_left_x_right_y_down,horizontal_slot_only,unresolved_occlusion,,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,127.5,,,unresolved_occlusion,0,,Синий центр закрыт красным квадратом; значение не назначено.
SUP01-L1-LVL-2011_2016-02,2,0.2,0.2,,183,,zero_based_native_raster_upper_left_x_right_y_down,horizontal_slot_only,unresolved_occlusion,,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,182.8846153846154,,,unresolved_occlusion,0.2,,Синий центр закрыт красным квадратом; значение не назначено.
SUP01-L1-LVL-2011_2016-03,3,0.3,0.3,,238,,zero_based_native_raster_upper_left_x_right_y_down,horizontal_slot_only,unresolved_occlusion,,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,238.26923076923077,,,unresolved_occlusion,0.3,,Синий центр закрыт красным квадратом; видимые отрезки не определяют его однозначно.
SUP01-L1-LVL-2011_2016-04,4,0.4,0.4,-96.7,294,172,zero_based_native_raster_upper_left_x_right_y_down,estimated_occluded_center,partially_occluded_approximation,20.3,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,293.6538461538462,171.5,-96.1,digitized_marker_or_visible_curve,0.4,-0.6,Верхняя половина синего ромба закрыта зелёным маркером; центр оценён по нижней части и боковым граням.
SUP01-L1-LVL-2011_2016-05,5,0.5,0.5,-101.5,350,176,zero_based_native_raster_upper_left_x_right_y_down,visible_center,clear_marker_center,14.4,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,349.03846153846155,175.5,-100.9,digitized_marker_or_visible_curve,0.5,-0.6,Центр синего ромба визуально различим на исходном растре.
SUP01-L1-LVL-2011_2016-06,6,0.6,0.6,-142.1,405,210,zero_based_native_raster_upper_left_x_right_y_down,visible_center,clear_marker_center,14.4,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,404.4230769230769,209.5,-141.5,digitized_marker_or_visible_curve,0.6,-0.6,Центр синего ромба визуально различим на исходном растре.
SUP01-L1-LVL-2011_2016-07,7,0.7,0.7,-170.7,460,234,zero_based_native_raster_upper_left_x_right_y_down,estimated_occluded_center,partially_occluded_approximation,20.3,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,459.8076923076923,230.5,-166.6,partially_occluded_approximation,0.7,-4.1,Центр частично закрыт зелёным треугольником; положение оценено по видимому контуру синего ромба.
SUP01-L1-LVL-2011_2016-08,8,0.8,0.8,-203.0,516,261,zero_based_native_raster_upper_left_x_right_y_down,estimated_occluded_center,partially_occluded_approximation,20.3,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,515.1923076923077,258.0,-199.4,partially_occluded_approximation,0.8,-3.6,Нижняя часть ромба перекрыта; центр оценён по верхней вершине и боковым граням.
SUP01-L1-LVL-2011_2016-09,9,0.9,0.9,-216.1,571,272,zero_based_native_raster_upper_left_x_right_y_down,visible_center,clear_marker_center,14.4,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,570.5769230769231,271.5,-215.5,digitized_marker_or_visible_curve,0.9,-0.6,Центр синего ромба визуально различим на исходном растре.
SUP01-L1-LVL-2011_2016-10,10,1,1.0,-241.2,627,293,zero_based_native_raster_upper_left_x_right_y_down,visible_center,clear_marker_center,14.4,conservative_digitization_bound_not_measurement_sigma_or_95pct_interval,15,/Image157,leveling,2011-2016,D_published_graph,,False,,625.9615384615385,292.5,-240.6,digitized_marker_or_visible_curve,1.0,-0.6,Центр синего ромба визуально различим на исходном растре.
