point_id,profile_label,figure_order,distance_label_as_printed_km,distance_value_from_label_km,method,observation_interval_label,source_pixel_x,source_pixel_y,signed_displacement_mm,axis_calibrated_signed_mm,digitization_minus_axis_calibration_mm,digitization_envelope_half_width_mm,reading_status,reading_envelope_interpretation,source_file,source_sha256,pdf_page,provenance,eligible_as_t1_time_series,mapped_synthetic_point_id
SUP01-P6-LEVELING-2015_2016-001,6,1,0,0.0,leveling,2015-2016,112.5,126.5,4.3,4.26097,0.03903,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-002,6,2,,,leveling,2015-2016,137.5,135.5,2.8,2.806005,-0.006005,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-003,6,3,0.3,0.3,leveling,2015-2016,162.5,138.5,2.3,2.321016,-0.021016,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-004,6,4,,,leveling,2015-2016,187.5,150.5,0.4,0.381062,0.018938,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-005,6,5,0.5,0.5,leveling,2015-2016,212.5,147.5,0.9,0.866051,0.033949,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-006,6,6,,,leveling,2015-2016,237.5,173.5,-3.3,-3.337182,0.037182,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-007,6,7,0.7,0.7,leveling,2015-2016,262.5,195.5,-6.9,-6.893764,-0.006236,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-008,6,8,,,leveling,2015-2016,287.5,201.5,-7.9,-7.863741,-0.036259,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-009,6,9,0.9,0.9,leveling,2015-2016,312.5,189.5,-5.9,-5.923788,0.023788,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-010,6,10,,,leveling,2015-2016,337.5,202.5,-8.0,-8.025404,0.025404,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-011,6,11,1.1,1.1,leveling,2015-2016,362.5,203.5,-8.2,-8.187067,-0.012933,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-012,6,12,,,leveling,2015-2016,387.5,219.5,-10.8,-10.773672,-0.026328,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-013,6,13,1.3,1.3,leveling,2015-2016,412.5,255.5,-16.6,-16.593533,-0.006467,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-014,6,14,,,leveling,2015-2016,437.5,282.5,-21.0,-20.95843,-0.04157,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-015,6,15,1.5,1.5,leveling,2015-2016,462.5,283.5,-21.1,-21.120092,0.020092,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-016,6,16,,,leveling,2015-2016,487.5,323.5,-27.6,-27.586605,-0.013395,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-017,6,17,1.7,1.7,leveling,2015-2016,512.5,367.0,-34.6,-34.618938,0.018938,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-018,6,18,,,leveling,2015-2016,537.5,424.0,-43.8,-43.833718,0.033718,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-019,6,19,1.9,1.9,leveling,2015-2016,562.5,453.5,-48.6,-48.602771,0.002771,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-020,6,20,,,leveling,2015-2016,587.5,448.0,-47.7,-47.713626,0.013626,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-021,6,21,2.1,2.1,leveling,2015-2016,612.5,381.0,-36.9,-36.882217,-0.017783,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-022,6,22,,,leveling,2015-2016,637.5,315.0,-26.2,-26.212471,0.012471,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-023,6,23,2.3,2.3,leveling,2015-2016,662.5,262.5,-17.7,-17.725173,0.025173,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-024,6,24,,,leveling,2015-2016,687.5,204.5,-8.3,-8.34873,0.04873,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-025,6,25,2.5,2.5,leveling,2015-2016,712.5,196.0,-7.0,-6.974596,-0.025404,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-026,6,26,,,leveling,2015-2016,737.5,175.5,-3.7,-3.660508,-0.039492,0.5,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
SUP01-P6-LEVELING-2015_2016-027,6,27,2.7,2.7,leveling,2015-2016,762.5,182.0,-4.7,-4.711316,0.011316,1.3,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,
