point_id,profile_label,figure_order,distance_label_as_printed_km,distance_value_from_label_km,method,observation_interval_label,source_pixel_x,source_pixel_y,signed_displacement_mm,digitization_envelope_half_width_mm,reading_status,reading_envelope_interpretation,source_file,source_sha256,pdf_page,provenance,eligible_as_t1_time_series,mapped_synthetic_point_id,input_table,input_row_number,input_table_sha256,origin_class,provenance_hash,reading_priority
SUP01-P1-LEVELING-2011_2016-001,1,1,0.000000000,0.000000000,leveling,2011-2016,128.000000000,,,,unresolved_occlusion,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,2,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-002,1,2,0.200000000,0.200000000,leveling,2011-2016,183.000000000,,,,unresolved_occlusion,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,3,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-003,1,3,0.300000000,0.300000000,leveling,2011-2016,238.000000000,,,,unresolved_occlusion,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,4,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-004,1,4,0.400000000,0.400000000,leveling,2011-2016,294.000000000,172.000000000,-96.700000000,20.300000000,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,5,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-005,1,5,0.500000000,0.500000000,leveling,2011-2016,350.000000000,176.000000000,-101.500000000,14.400000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,6,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-006,1,6,0.600000000,0.600000000,leveling,2011-2016,405.000000000,210.000000000,-142.100000000,14.400000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,7,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-007,1,7,0.700000000,0.700000000,leveling,2011-2016,460.000000000,234.000000000,-170.700000000,20.300000000,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,8,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-008,1,8,0.800000000,0.800000000,leveling,2011-2016,516.000000000,261.000000000,-203.000000000,20.300000000,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,9,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-009,1,9,0.900000000,0.900000000,leveling,2011-2016,571.000000000,272.000000000,-216.100000000,14.400000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,10,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-010,1,10,1.000000000,1.000000000,leveling,2011-2016,627.000000000,293.000000000,-241.200000000,14.400000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,11,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-011,1,11,1.100000000,1.100000000,leveling,2011-2016,682.000000000,326.000000000,-280.600000000,14.400000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,12,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
SUP01-P1-LEVELING-2011_2016-012,1,12,1.200000000,1.200000000,leveling,2011-2016,737.000000000,354.000000000,-314.000000000,20.300000000,partially_occluded_approximation,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_line1_2011_2016_v1/points.csv,13,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,DIGITIZED,257f643f300a58fce6699cd9938292ae63f0958857b2a996f58b1db13d8274cb,accepted_independent_detailed_reread
