constraint_id,profile_label,method,interval,positions,readable,distinct,approximate,unresolved,signed_min_mm,signed_max_mm,read_bound_min_mm,read_bound_max_mm,magnitude_lower_mm,magnitude_upper_mm,nominal_interval_years,duration_status,structural_shape,numeric_calibration
MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,leveling,2011-2016,14,11,7,4,3,-349.900000000,-96.700000000,14.400000000,20.300000000,76.400000000,364.300000000,5,assumed_from_year_labels_not_exact_dates,monotone_gradient,True
MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,leveling,2015-2016,14,14,14,0,0,-69.900000000,0.600000000,3.600000000,3.600000000,0.000000000,73.500000000,1,assumed_from_year_labels_not_exact_dates,monotone_gradient,True
MUS-P1-RADAR-2011-2016-SIGNED-DISP,1,radar,2011-2016,14,14,14,0,0,-369.600000000,-15.500000000,3.600000000,3.600000000,11.900000000,373.200000000,5,assumed_from_year_labels_not_exact_dates,monotone_gradient,False
MUS-P1-RADAR-2015-2016-SIGNED-DISP,1,radar,2015-2016,14,14,7,7,0,-72.200000000,-0.600000000,3.600000000,9.600000000,0.000000000,75.800000000,1,assumed_from_year_labels_not_exact_dates,monotone_gradient,False
MUS-P17-LEVELING-2011-2016-SIGNED-DISP,17,leveling,2011-2016,11,9,9,0,2,-175.800000000,-70.700000000,1.800000000,1.800000000,68.900000000,177.600000000,5,assumed_from_year_labels_not_exact_dates,broad_bowl,True
MUS-P17-LEVELING-2015-2016-SIGNED-DISP,17,leveling,2015-2016,11,11,11,0,0,-26.300000000,-12.800000000,1.800000000,1.800000000,11.000000000,28.100000000,1,assumed_from_year_labels_not_exact_dates,broad_bowl,True
MUS-P17-RADAR-2011-2016-SIGNED-DISP,17,radar,2011-2016,11,11,11,0,0,-160.900000000,-51.000000000,1.800000000,1.800000000,49.200000000,162.700000000,5,assumed_from_year_labels_not_exact_dates,broad_bowl,False
MUS-P17-RADAR-2015-2016-SIGNED-DISP,17,radar,2015-2016,11,11,3,8,0,-20.600000000,-4.200000000,1.800000000,4.800000000,0.000000000,23.900000000,1,assumed_from_year_labels_not_exact_dates,broad_bowl,False
MUS-P5-LEVELING-2011-2016-SIGNED-DISP,5,leveling,2011-2016,24,24,19,5,0,-308.700000000,-119.600000000,3.100000000,8.400000000,111.200000000,311.800000000,5,assumed_from_year_labels_not_exact_dates,two_lobes,True
MUS-P5-LEVELING-2015-2016-SIGNED-DISP,5,leveling,2015-2016,24,24,24,0,0,-55.900000000,-15.700000000,3.100000000,3.100000000,12.600000000,59.000000000,1,assumed_from_year_labels_not_exact_dates,two_lobes,True
MUS-P5-RADAR-2011-2016-SIGNED-DISP,5,radar,2011-2016,24,24,5,19,0,-284.700000000,-122.800000000,3.100000000,8.400000000,114.400000000,293.100000000,5,assumed_from_year_labels_not_exact_dates,two_lobes,False
MUS-P5-RADAR-2015-2016-SIGNED-DISP,5,radar,2015-2016,24,24,0,24,0,-46.000000000,-21.900000000,8.400000000,8.400000000,13.500000000,54.400000000,1,assumed_from_year_labels_not_exact_dates,two_lobes,False
MUS-P6-LEVELING-2015-2016-SIGNED-DISP,6,leveling,2015-2016,31,31,30,1,0,-48.600000000,4.300000000,0.500000000,1.300000000,0.000000000,49.100000000,1,assumed_from_year_labels_not_exact_dates,localized_bowl,True
MUS-P6-RADAR-2015-2016-SIGNED-DISP,6,radar,2015-2016,31,31,31,0,0,-51.000000000,-0.800000000,0.500000000,0.500000000,0.300000000,51.500000000,1,assumed_from_year_labels_not_exact_dates,localized_bowl,False
