constraint_id,domain,quantity,lower_bound,upper_bound,unit,allowed_values,basis_type,source_id,source_file,source_page,source_location,object,method,period_start,period_end,sign_convention,uncertainty_type,confidence,status,spatial_semantics,temporal_semantics,allowed_use,use_scope,prohibited_use,dependency,notes,provenance_hash,current_use,new_use,reason
MUS-P1-LEVELING-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-364.29999999999995,-76.4,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 1, leveling, 2011-2016",published_line_1,leveling,2011,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,interval_displacement_envelope,interval_displacement_envelope,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,interval_displacement_envelope,published_interval_profile_is_not_a_temporal_trajectory
MUS-P1-LEVELING-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-73.5,4.2,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 1, leveling, 2015-2016",published_line_1,leveling,2015,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,interval_displacement_envelope,interval_displacement_envelope,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,interval_displacement_envelope,published_interval_profile_is_not_a_temporal_trajectory
MUS-P1-RADAR-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-373.20000000000005,-11.9,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 1, radar, 2011-2016",published_line_1,radar,2011,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,modality_comparison_only,modality_comparison_only,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,modality_comparison_only,published_interval_profile_is_not_a_temporal_trajectory
MUS-P1-RADAR-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-75.8,3.5999999999999996,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 1, radar, 2015-2016",published_line_1,radar,2015,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,modality_comparison_only,modality_comparison_only,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,modality_comparison_only,published_interval_profile_is_not_a_temporal_trajectory
MUS-P17-LEVELING-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-177.60000000000002,-68.9,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 17, leveling, 2011-2016",published_line_17,leveling,2011,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,interval_displacement_envelope,interval_displacement_envelope,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,interval_displacement_envelope,published_interval_profile_is_not_a_temporal_trajectory
MUS-P17-LEVELING-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-28.1,-11.0,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 17, leveling, 2015-2016",published_line_17,leveling,2015,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,interval_displacement_envelope,interval_displacement_envelope,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,interval_displacement_envelope,published_interval_profile_is_not_a_temporal_trajectory
MUS-P17-RADAR-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-162.70000000000002,-49.2,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 17, radar, 2011-2016",published_line_17,radar,2011,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,modality_comparison_only,modality_comparison_only,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,modality_comparison_only,published_interval_profile_is_not_a_temporal_trajectory
MUS-P17-RADAR-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-23.900000000000002,0.5999999999999996,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 17, radar, 2015-2016",published_line_17,radar,2015,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,modality_comparison_only,modality_comparison_only,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,modality_comparison_only,published_interval_profile_is_not_a_temporal_trajectory
MUS-P5-LEVELING-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-311.8,-111.19999999999999,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 5, leveling, 2011-2016",published_line_5,leveling,2011,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,interval_displacement_envelope,interval_displacement_envelope,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,interval_displacement_envelope,published_interval_profile_is_not_a_temporal_trajectory
MUS-P5-LEVELING-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-59.0,-12.6,mm,,published_graph_digitization,SUP01,inputs/sources/supplementary/geokniga-02obrabotka.pdf,15,"PDF p.15, Line 5, leveling, 2015-2016",published_line_5,leveling,2015,2016,negative_down_as_printed,conservative_reading_envelope_not_sigma,medium_reading_low_temporal_transfer,ACCEPTED_NUMERIC_CONSTRAINT,categorical_order_printed_distance_labels_no_georeference,one_displacement_interval_exact_campaign_dates_and_common_datum_unknown,interval_displacement_envelope,interval_displacement_envelope,cross_period_subtraction;field_sigma;metric_gradient;point_id_mapping;real_temporal_history,method_and_period_separate;nominal_duration_is_explicit_design_assumption,"Extrema include digitization bounds, not population quantiles or measurement precision.",4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,registry_only_not_read_by_v1_formula,interval_displacement_envelope,published_interval_profile_is_not_a_temporal_trajectory
