sample_id,point_id,profile_id,zone_id,current_campaign_id,current_date,target_campaign_id,target_date,history_length_raw,history_length_used,max_sequence_length,padding_count,truncated,observation_ids_json,observation_dates_json,delta_t_days_json,padding_mask_json,missing_campaign_mask_json,missing_campaign_counts_json,actual_history_end_date,future_observation_count,target_observation_present,past_only_proof,sequence_sha256,fold_provenance_relation,outer_assignment_source,inner_assignment_source,held_group_metadata_only
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,C003,2018-10-16,C004,2019-02-12,3,3,16,13,False,"[""P-V01-W001::C001"",""P-V01-W001::C002"",""P-V01-W001::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,1750bd90507dd91cf977cb816c229a1c7d013e188d916ad1d2f1577e7f244c18,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,C003,2018-10-16,C004,2019-02-12,3,3,16,13,False,"[""P-V01-W003::C001"",""P-V01-W003::C002"",""P-V01-W003::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,3b46ec8f2f28c941bad1132907d2dc64c14df9a7d19bf17c35c9409d4b281479,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,C003,2018-10-16,C004,2019-02-12,3,3,16,13,False,"[""P-V01-W004::C001"",""P-V01-W004::C002"",""P-V01-W004::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,06bba27539fffa8aac08cdb59c1dac3fe761d97f354a8d1975f7d4ba333d5924,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V01-W007::C003::C004,P-V01-W007,P-V01,GEO_SW,C003,2018-10-16,C004,2019-02-12,3,3,16,13,False,"[""P-V01-W007::C001"",""P-V01-W007::C002"",""P-V01-W007::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,a8a5f6b38ed2bae3c6830ff5a92a9086c288ad5ef3ed251db9bc5e56c604259d,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W001::C003::C005,P-H03-W001,P-H03,GEO_SE,C003,2018-10-16,C005,2019-05-14,3,3,16,13,False,"[""P-H03-W001::C001"",""P-H03-W001::C002"",""P-H03-W001::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,c5625d6d06659ad792141ae8d922bf19c8df1c6251633ee7514aa7517dfb0ff2,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W002::C003::C005,P-H03-W002,P-H03,GEO_SE,C003,2018-10-16,C005,2019-05-14,3,3,16,13,False,"[""P-H03-W002::C001"",""P-H03-W002::C002"",""P-H03-W002::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,1676b4fcd580ff66b16dc157c9cf7b309e012f090fe696ff3745a280807b75f5,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W003::C003::C005,P-H03-W003,P-H03,GEO_SE,C003,2018-10-16,C005,2019-05-14,3,3,16,13,False,"[""P-H03-W003::C001"",""P-H03-W003::C002"",""P-H03-W003::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,e42f34dc3daff306ad8c3d7e72b90e1a8ca05b1a585983a4195fad32a56abaac,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W004::C003::C005,P-H03-W004,P-H03,GEO_SE,C003,2018-10-16,C005,2019-05-14,3,3,16,13,False,"[""P-H03-W004::C001"",""P-H03-W004::C002"",""P-H03-W004::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,0f236a82ccd8132db6061352f76fcbcc81eecec166b395c910d2abe4bf18955c,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W005::C003::C005,P-H03-W005,P-H03,GEO_SE,C003,2018-10-16,C005,2019-05-14,3,3,16,13,False,"[""P-H03-W005::C001"",""P-H03-W005::C002"",""P-H03-W005::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,4db1397e576f8d5be9de6f3524440113a28b5c4797cd88f7e2fe7a662fe87db0,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W006::C003::C005,P-H03-W006,P-H03,GEO_SE,C003,2018-10-16,C005,2019-05-14,3,3,16,13,False,"[""P-H03-W006::C001"",""P-H03-W006::C002"",""P-H03-W006::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,17039e4dfb73d3776f922a1a110a28af5560fb477ce9cda05cebad09b492d66c,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
