sample_id,point_id,profile_id,zone_id,sequence_position,history_position,observation_id,campaign_id,observation_date,last_settlement_mm,last_rate_mm_y,current_standard_uncertainty_mm,days_since_previous_observation,missing_campaigns_since_previous,current_campaign_type,padding_mask,observation_mask,missing_campaign_mask
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,0,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,1,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,2,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,3,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,4,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,5,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,6,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,7,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,8,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,9,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,10,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,11,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,12,0,,,,,,,,0,,1,0,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,13,1,P-V01-W001::C001,C001,2018-05-15,44.58375555,,1.064920931,0.0,0,full,0,1,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,14,2,P-V01-W001::C002,C002,2018-07-10,48.10459721,22.964061005625013,0.7297700713,56.0,0,focused,0,1,0
P-V01-W001::C003::C004,P-V01-W001,P-V01,GEO_SW,15,3,P-V01-W001::C003,C003,2018-10-16,56.46211625,31.14881458530612,0.7371197884,98.0,0,full,0,1,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,0,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,1,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,2,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,3,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,4,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,5,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,6,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,7,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,8,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,9,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,10,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,11,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,12,0,,,,,,,,0,,1,0,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,13,1,P-V01-W003::C001,C001,2018-05-15,47.95644507,,1.139117877,0.0,0,full,0,1,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,14,2,P-V01-W003::C002,C002,2018-07-10,55.08536694,46.49711987531249,0.7698074131,56.0,0,focused,0,1,0
P-V01-W003::C003::C004,P-V01-W003,P-V01,GEO_SW,15,3,P-V01-W003::C003,C003,2018-10-16,67.56587114,46.51534856173469,0.7785769057,98.0,0,full,0,1,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,0,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,1,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,2,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,3,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,4,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,5,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,6,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,7,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,8,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,9,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,10,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,11,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,12,0,,,,,,,,0,,1,0,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,13,1,P-V01-W004::C001,C001,2018-05-15,59.70028798,,1.144863651,0.0,0,full,0,1,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,14,2,P-V01-W004::C002,C002,2018-07-10,69.39034881,63.201691395669684,0.7715677879,56.0,0,focused,0,1,0
P-V01-W004::C003::C004,P-V01-W004,P-V01,GEO_SW,15,3,P-V01-W004::C003,C003,2018-10-16,84.7112128,57.101485432117315,0.7831109742,98.0,0,full,0,1,0
P-V01-W007::C003::C004,P-V01-W007,P-V01,GEO_SW,0,0,,,,,,,,0,,1,0,0
P-V01-W007::C003::C004,P-V01-W007,P-V01,GEO_SW,1,0,,,,,,,,0,,1,0,0
P-V01-W007::C003::C004,P-V01-W007,P-V01,GEO_SW,2,0,,,,,,,,0,,1,0,0
P-V01-W007::C003::C004,P-V01-W007,P-V01,GEO_SW,3,0,,,,,,,,0,,1,0,0
P-V01-W007::C003::C004,P-V01-W007,P-V01,GEO_SW,4,0,,,,,,,,0,,1,0,0
