design,fold_id,held_out_group,role,sample_id
internal_temporal,train_tail_2023-11-07,,train,P-V01-W001::C003::C004
internal_temporal,train_tail_2023-11-07,,train,P-V01-W003::C003::C004
internal_temporal,train_tail_2023-11-07,,train,P-V01-W004::C003::C004
internal_temporal,train_tail_2023-11-07,,train,P-V01-W007::C003::C004
internal_temporal,train_tail_2023-11-07,,train,P-H03-W001::C003::C005
internal_temporal,train_tail_2023-11-07,,train,P-H03-W002::C003::C005
internal_temporal,train_tail_2023-11-07,,train,P-H03-W003::C003::C005
internal_temporal,train_tail_2023-11-07,,train,P-H03-W004::C003::C005
internal_temporal,train_tail_2023-11-07,,train,P-H03-W005::C003::C005
internal_temporal,train_tail_2023-11-07,,train,P-H03-W006::C003::C005
internal_temporal,train_tail_2023-11-07,,train,P-H03-W007::C003::C005
internal_temporal,train_tail_2023-11-07,,train,P-H02-W001::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-H02-W002::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-H02-W004::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-H02-W005::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-V01-W001::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-V01-W002::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-V01-W003::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-V01-W004::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-V01-W007::C004::C005
internal_temporal,train_tail_2023-11-07,,train,P-H03-W001::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-H03-W002::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-H03-W003::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-H03-W004::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-H03-W005::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-H03-W006::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-H03-W007::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-V02-W001::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-V02-W002::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-V02-W003::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-V02-W004::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-V02-W005::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-V02-W006::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-V02-W007::C005::C006
internal_temporal,train_tail_2023-11-07,,train,P-D01-W001::C005::C007
internal_temporal,train_tail_2023-11-07,,train,P-D01-W002::C005::C007
internal_temporal,train_tail_2023-11-07,,train,P-D01-W003::C005::C007
internal_temporal,train_tail_2023-11-07,,train,P-D01-W004::C005::C007
internal_temporal,train_tail_2023-11-07,,train,P-D01-W005::C005::C007
internal_temporal,train_tail_2023-11-07,,train,P-D01-W006::C005::C007
internal_temporal,train_tail_2023-11-07,,train,P-D01-W007::C005::C007
internal_temporal,train_tail_2023-11-07,,train,P-H01-W001::C005::C007
internal_temporal,train_tail_2023-11-07,,train,P-H01-W002::C005::C007
