vn_id,kind,source_id,pdf_page,locator_extra,in_merged,model_ids,disposition,reason
EV-VN-S001-0018,formula,VKM-SRC-001,8,формула (1),True,MM-INSAR-007,MAPPED,
EV-VN-S001-0019,formula,VKM-SRC-001,8,формула (2),True,MM-INSAR-001,MAPPED,
EV-VN-S001-0020,formula,VKM-SRC-001,8,"формула (3), пояснение на с.9",True,MM-INSAR-003,MAPPED,
EV-VN-S001-0021,formula,VKM-SRC-001,9,формула (4),True,MM-INSAR-004,MAPPED,
EV-VN-S001-0047,subsidence_method,VKM-SRC-001,14,текст с.14-15,True,MM-INSAR-009,MAPPED,
EV-VN-S001-0049,engineering_rule,VKM-SRC-001,15,текст с.15,True,,EXCLUDED,"NO_EQUATION: требования к InSAR-съёмке (цикл 11/22 сут, ≥6–8 сцен) — правило дизайна наблюдений, не математическая модель"
EV-VN-S001-0056,formula,VKM-SRC-001,17,формула (5),True,MM-INSAR-005;MM-DEF-001,MAPPED,
EV-VN-S001-0057,formula,VKM-SRC-001,17,формула (6),True,MM-INSAR-005,MAPPED,
EV-VN-S001-0058,formula,VKM-SRC-001,17,формула (7),True,MM-INSAR-006,MAPPED,
EV-VN-S001-0059,formula,VKM-SRC-001,17,формула (8),True,MM-INSAR-006,MAPPED,
EV-VN-S001-0060,formula,VKM-SRC-001,17,формула (9),True,MM-STAT-005,MAPPED,
EV-VN-S001-0064,engineering_rule,VKM-SRC-001,18,текст с.18,True,,EXCLUDED,NO_EQUATION: проектирование многосезонного InSAR-мониторинга (числовые требования к сценам) — правило дизайна наблюдений
EV-VN-S001-0065,engineering_rule,VKM-SRC-001,18,текст с.18-19,True,,EXCLUDED,NO_EQUATION: компоновка цепочек интерферограмм — правило дизайна наблюдений
EV-VN-S001-0066,subsidence_method,VKM-SRC-001,19,текст с.19,True,MM-INSAR-010,MAPPED,
EV-VN-S002-0004,engineering_rule,VKM-SRC-002,3,"слайд 3, таблица 'Выбор компонентов системы мониторинга в зависимости от размера месторождения'",True,,EXCLUDED,NO_EQUATION: матрица состава системы мониторинга — не математическая модель
EV-VN-S002-0016,formula,VKM-SRC-002,10,"слайд 10, верхняя формула",True,MM-INSAR-008,MAPPED,
EV-VN-S002-0017,formula,VKM-SRC-002,10,"слайд 10, нижняя формула",True,MM-INSAR-002;MM-INSAR-008,MAPPED,
EV-VN-S002-0019,subsidence_method,VKM-SRC-002,10,слайд 10 'Интерпретация результатов' + рисунок,True,MM-INSAR-011,MAPPED,
EV-VN-S003-0014,subsidence_method,VKM-SRC-003,6,"Введение, Методология; ссылка [32]",True,MM-ELAST-001;MM-SUBS-001,MAPPED,
EV-VN-S003-0017,formula,VKM-SRC-003,7,Введение (словесная формулировка); ссылка [59],True,MM-INSAR-012,MAPPED,
EV-VN-S003-0047,formula,VKM-SRC-003,15,"формула (1.1), стр.15-16; Рис. 1.2",True,MM-INSAR-001;MM-INSAR-002,MAPPED,
EV-VN-S003-0053,formula,VKM-SRC-003,17,формула (1.2),True,MM-INSAR-001,MAPPED,
EV-VN-S003-0057,formula,VKM-SRC-003,18,формула (1.3),True,MM-INSAR-016,MAPPED,
EV-VN-S003-0068,formula,VKM-SRC-003,21,формула (1.4); стр.20-21,True,MM-INSAR-012,MAPPED,
EV-VN-S003-0069,formula,VKM-SRC-003,21,формула (1.5),True,MM-INSAR-013,MAPPED,
EV-VN-S003-0070,formula,VKM-SRC-003,21,формула (1.6),True,MM-INSAR-013,MAPPED,
EV-VN-S003-0073,formula,VKM-SRC-003,21,формула (1.7),True,MM-INSAR-014,MAPPED,
EV-VN-S003-0075,subsidence_method,VKM-SRC-003,22,"§1.2.1, Рис. 1.3",True,MM-INSAR-018,MAPPED,
EV-VN-S003-0082,subsidence_method,VKM-SRC-003,24,"§1.2.3, Рис. 1.4 (стр.24-25)",True,MM-INSAR-019,MAPPED,
EV-VN-S003-0087,subsidence_method,VKM-SRC-003,26,"§1.2.3 IPTA, стр.26-27",True,MM-INSAR-010;MM-INSAR-019,MAPPED,
EV-VN-S003-0093,subsidence_method,VKM-SRC-003,28,"§1.3 метод офсетов, стр.28-29",True,MM-INSAR-020,MAPPED,
EV-VN-S003-0119,subsidence_method,VKM-SRC-003,35,"§2.2 (метод Std, развертка)",True,MM-INSAR-005;MM-INSAR-021,MAPPED,
EV-VN-S003-0121,formula,VKM-SRC-003,35,§2.2 (применение формулы 1.7),True,MM-INSAR-014,MAPPED,
EV-VN-S003-0130,subsidence_method,VKM-SRC-003,37,§2.2 метод Step (стр.37-38),True,MM-INSAR-022,MAPPED,
EV-VN-S003-0220,subsidence_method,VKM-SRC-003,61,§3.3 p.61,True,MM-INSAR-014,MAPPED,
EV-VN-S003-0262,formula,VKM-SRC-003,72,"§3.5 p.72, step 2",True,MM-INSAR-017,MAPPED,
EV-VN-S003-0263,subsidence_method,VKM-SRC-003,72,§3.5 p.72,True,MM-INSAR-017,MAPPED,
EV-VN-S003-0264,subsidence_method,VKM-SRC-003,73,"§3.5 p.73, step 3",True,MM-INSAR-017,MAPPED,
EV-VN-S003-0265,formula,VKM-SRC-003,73,§3.5 p.73,True,MM-INSAR-017,MAPPED,
EV-VN-S003-0266,formula,VKM-SRC-003,72,§3.5 p.72 step 1,True,MM-INSAR-017,MAPPED,
EV-VN-S003-0276,engineering_rule,VKM-SRC-003,75,"Выводы по главе 3, p.75",True,MM-INSAR-021;MM-INSAR-022,MAPPED,
EV-VN-S003-0279,formula,VKM-SRC-003,77,"формула (4.1) (= (1.4)), §4.1.1",True,MM-INSAR-012,MAPPED,
EV-VN-S003-0281,formula,VKM-SRC-003,77,формула (4.2),True,MM-INSAR-013,MAPPED,
EV-VN-S003-0282,formula,VKM-SRC-003,78,формула (4.3),True,MM-INSAR-013,MAPPED,
EV-VN-S003-0283,subsidence_method,VKM-SRC-003,78,§4.1.1 p.78,True,MM-INSAR-014;MM-INSAR-015,MAPPED,
EV-VN-S003-0284,formula,VKM-SRC-003,78,формула (4.4),True,MM-INSAR-015,MAPPED,
EV-VN-S003-0285,formula,VKM-SRC-003,78,формула (4.5),True,MM-INSAR-015,MAPPED,
EV-VN-S003-0288,formula,VKM-SRC-003,79,формула (4.6),True,MM-UGS-001,MAPPED,
EV-VN-S003-0290,formula,VKM-SRC-003,79,формула (4.7),True,MM-ELAST-001,MAPPED,
EV-VN-S003-0291,formula,VKM-SRC-003,79,формула (4.8),True,MM-ELAST-002,MAPPED,
EV-VN-S003-0292,formula,VKM-SRC-003,80,формула (4.9),True,MM-ELAST-003,MAPPED,
EV-VN-S003-0293,formula,VKM-SRC-003,80,формула (4.10),True,MM-ELAST-004,MAPPED,
EV-VN-S003-0318,subsidence_method,VKM-SRC-003,85,§4.1 конец,True,MM-INSAR-014,MAPPED,
EV-VN-S003-0329,formula,VKM-SRC-003,87,формула (4.11),True,MM-SUBS-001,MAPPED,
EV-VN-S003-0330,formula,VKM-SRC-003,87,формула (4.12),True,MM-SUBS-002,MAPPED,
EV-VN-S003-0331,formula,VKM-SRC-003,87,формула (4.13),True,MM-SUBS-002,MAPPED,
EV-VN-S003-0336,formula,VKM-SRC-003,88,формула (4.14),True,MM-SUBS-001,MAPPED,
EV-VN-S003-0337,formula,VKM-SRC-003,88,формула (4.15),True,MM-SUBS-001,MAPPED,
