source_id,relative_path,name,title,size_bytes,sha256,bundle_status,role,authority_class,authors,publication_year,publication_context,site_scope,raw_measurements_present,source_available_at,availability_note,metadata_evidence
SRC01,inputs/sources/primary/ВКР_Филатова_М_С.docx,ВКР_Филатова_М_С.docx,Геоинформационное моделирование оседаний земной поверхности при разработке Верхнекамского месторождения калийно-магниевых солей,17826165,45978d5fc446fa35d0b3e271c44a5790bc5b4101321b20f8078ff83dc8ae2931,bundled_verified,"Опубликованные карты, фрагменты таблиц и описание GIS-обработки. Упомянутые оригиналы TAB/Excel не предоставлены.",published_reconstruction_basis,Филатова М. С.,2026,"Москва, МИСИС",СКРУ-1 / ВКМ,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"DOCX: титульный лист (автор, точное название, Москва/МИСИС/2026); подписи рис. 22, 24–25 (роль в реконструкции)."
SRC02,inputs/sources/primary/НК 26 Бобровицкий Григорий.pdf,НК 26 Бобровицкий Григорий.pdf,Горные и маркшейдерские работы при разработке Гремячинского месторождения калийных солей,5766049,b83204aabdbb5902a8936a3b4d7393220ae4de0384b34b4db22b218df352ea59,bundled_verified,Структура горной ВКР и методика маркшейдерских расчётов; другой объект.,other_site_methodological_analogue,Бобровицкий Г. А.,,"Москва, МИСИС",Гремячинское месторождение,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
SRC03,inputs/sources/primary/03-GR-24-2.pdf,03-GR-24-2.pdf,Мониторинг оседаний на территории г. Березники (Пермский край) методами спутниковой радарной интерферометрии. II. Метод устойчивых отражателей,2233477,e134fc6d506d1e7ffcdabf4bd6da9e9a27554ce14139105310440490c7c86fda,bundled_verified,"Методика PS-InSAR, опубликованные результаты; не измерительная сеть СКРУ-1.",other_site_methodological_analogue,Бабаянц И. П. и др.,2023,Геофизические исследования,Березники,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
SRC04,inputs/sources/primary/Babayants-Disser.pdf,Babayants-Disser.pdf,Поля смещений природных и техногенных объектов по данным спутниковой радарной интерферометрии: методика определения и интерпретации,9870619,a80ae607e33ddf25f49073400fa138aeba67a86dd5abac7d131732c9491eff21,bundled_verified,Методики определения и интерпретации смещений; исходные циклы СКРУ-1 не предоставлены.,methodological_source,Бабаянц И. П.,2023,"Москва, ИФЗ РАН",Несколько природных и техногенных объектов,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
SRC05,inputs/sources/primary/01006516068.pdf,01006516068.pdf,Мониторинг процессов оседаний земной поверхности в районах интенсивного недропользования на основе интерферометрической обработки данных космического радиолокационного зондирования,4385416,faf80647870baa85d11569ecec7a70989990dd607ab307e9141f30a9d1d77e4d,bundled_verified,"Автореферат: контроль ошибок, наземное сопоставление; не файл первичных наблюдений.",methodological_source,Мусихин В. В.,2012,Пермь,Объекты интенсивного недропользования,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
SRC06,inputs/sources/primary/106_Губанова__Глебова.pdf,106_Губанова__Глебова.pdf,Настройка геомеханической модели подработанной толщи с учетом данных радарной интерферометрии,1879377,2a4ff431d272cce17c873b65db589f41933332905ace3fd1abb550fb5c346350,bundled_verified,Калибровка геомеханической модели другого месторождения; DOI 10.7242/echo.2022.4.6.,other_site_methodological_analogue,Губанова Е. А.; Глебова П. А.,2022,Горное эхо,Тюбегатан,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
SRC07,inputs/sources/primary/Гусев_АП_Спутниковый_мониторинг_геодинамики.pdf,Гусев_АП_Спутниковый_мониторинг_геодинамики.pdf,Спутниковый мониторинг геодинамики,3719355,c6fb2be70b04f8d868929b44de746729615eeb97375a9b442816cb022b200770,bundled_verified,Теория ДЗЗ и спутниковой интерферометрии; не измерения СКРУ-1.,textbook,Гусев А. П.,2022,"Гомель, ГГУ им. Ф. Скорины",Общая методика,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
SRC08,inputs/sources/primary/Shirshova (1).pdf,Shirshova (1).pdf,Опыт мониторинга оседаний земной поверхности в урбанизированных районах методом радиолокационной спутниковой интерферометрии на примере города Санкт-Петербург,902713,887d802ec7b7a0a8788b2527ac1240432cb353b655ed00dc51fd8d8269aa21bf,bundled_verified,Пример DInSAR и вычислительного процесса; другой объект.,other_site_methodological_analogue,Ширшова В. Ю.,2020,,Санкт-Петербург,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
SRC09,inputs/sources/primary/sputnikovaya_radarnaya_interferometriya_informatsionno_vychislitelnye.pdf,sputnikovaya_radarnaya_interferometriya_informatsionno_vychislitelnye.pdf,Спутниковая радарная интерферометрия: информационно-вычислительные аспекты,7209923,fd03e70d87017a58b5f32533efb80861aeb0c3910f7c828ac18c6485037a4d0b,bundled_verified,Архитектура и методы InSAR; не пространственные слои СКРУ-1.,methodological_source,Шокин Ю. И.; Потапов В. П.; Попов С. Е.; Гиниятуллина О. Л.,2016,Вычислительные технологии,Кузбасс,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
SRC10,inputs/sources/primary/02f4a17c7c7ba99cfc068395238c5ff9.pdf,02f4a17c7c7ba99cfc068395238c5ff9.pdf,Оценка влияния добычи калийных солей на состояние окружающей среды в виде деформаций земной поверхности методами радиолокационной съемки в Республике Беларусь,6312669,d5fb9946ec69d9cb9e5f4e1b5227570c8effa879b1549fe9d5e0ef65a0747f67,bundled_verified,"Калийный аналог, сопоставление методов; не локальные измерения СКРУ-1.",other_site_methodological_analogue,Горский Д. А.; Хоменков К. А.,,Республика Беларусь,Старобинское месторождение,False,,Год публикации и дата изображённого состояния не устанавливают дату доступности исходных сведений прогнозисту.,"Титульная/первая страница PDF: название, авторство, выходные сведения; содержание и подписи: объект и роль. Неустановленные сведения оставлены пустыми."
