source_file,source_sha256,pdf_page,profile_label,marker_index,distance_label_as_printed_km,distance_value_from_label_km,method,observation_interval_label,source_pixel_x,source_pixel_y,displacement_negative_down_mm,digitization_uncertainty_mm_not_measurement_sigma,status,provenance,eligible_as_t1_time_series
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,1,0,0.0,leveling,2011-2016,127.5,,,,unresolved_occlusion,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,2,0.2,0.2,leveling,2011-2016,182.8846153846154,,,,unresolved_occlusion,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,3,0.3,0.3,leveling,2011-2016,238.26923076923077,,,,unresolved_occlusion,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,4,0.4,0.4,leveling,2011-2016,293.6538461538462,171.5,-96.1,3.6,digitized_marker_or_visible_curve,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,5,0.5,0.5,leveling,2011-2016,349.03846153846155,175.5,-100.9,3.6,digitized_marker_or_visible_curve,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,6,0.6,0.6,leveling,2011-2016,404.4230769230769,209.5,-141.5,3.6,digitized_marker_or_visible_curve,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,7,0.7,0.7,leveling,2011-2016,459.8076923076923,230.5,-166.6,9.6,partially_occluded_approximation,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,8,0.8,0.8,leveling,2011-2016,515.1923076923077,258.0,-199.4,9.6,partially_occluded_approximation,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,9,0.9,0.9,leveling,2011-2016,570.5769230769231,271.5,-215.5,3.6,digitized_marker_or_visible_curve,D_published_graph,False
geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,1,10,1.0,1.0,leveling,2011-2016,625.9615384615385,292.5,-240.6,3.6,digitized_marker_or_visible_curve,D_published_graph,False
