field,legacy_role,legacy_allowed,present_in_features,source_id,source_locator,source_reference_year,source_available_at,source_availability_status,provenance_class,unit,derivation,scenario_available_at_rule,assumption_id,history_and_plan_allowed,reconstruction_assumptions_allowed
sample_id,METADATA,False,True,,,,,not_applicable_synthetic,S,identifier_or_category,Ключи и метаданные сценария; не вход оценщика,metadata_only,,False,False
point_id,METADATA,False,True,,,,,not_applicable_synthetic,S,identifier_or_category,Ключи и метаданные сценария; не вход оценщика,metadata_only,,False,False
profile_id,METADATA,False,True,,,,,not_applicable_synthetic,S,identifier_or_category,Ключи и метаданные сценария; не вход оценщика,metadata_only,,False,False
current_campaign_id,METADATA,False,True,,,,,not_applicable_synthetic,S,identifier_or_category,Ключи и метаданные сценария; не вход оценщика,metadata_only,,False,False
current_date,METADATA,False,True,,,,,not_applicable_synthetic,S,ISO_date,Ключи и метаданные сценария; не вход оценщика,metadata_only,,False,False
target_campaign_id,METADATA,False,True,,,,,not_applicable_synthetic,S,identifier_or_category,Ключи и метаданные сценария; не вход оценщика,metadata_only,,False,False
target_date,METADATA,False,True,,,,,not_applicable_synthetic,S,ISO_date,Ключи и метаданные сценария; не вход оценщика,metadata_only,,False,False
split,METADATA,False,True,,,,,not_applicable_synthetic,S,identifier_or_category,Ключи и метаданные сценария; не вход оценщика,metadata_only,,False,False
n_history,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,count,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
last_settlement_mm,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
last_rate_mm_y,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm/year,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
mean_last_3_rates_mm_y,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm/year,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
std_last_3_rates_mm_y,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm/year,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
recent_acceleration_mm_y2,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm/year^2,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
current_standard_uncertainty_mm,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
days_since_previous_observation,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,day,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
forecast_horizon_days,MODEL_FEATURE,True,True,,tables/survey_campaigns.csv and campaign_point_membership.csv,,,not_applicable_synthetic,S,day,План синтетических кампаний; горизонт от current_date до target_date,scenario_start,SIM_PLAN_KNOWN,True,True
current_campaign_type,MODEL_FEATURE,True,True,,tables/survey_campaigns.csv and campaign_point_membership.csv,,,not_applicable_synthetic,S,category,План синтетических кампаний; горизонт от current_date до target_date,scenario_start,SIM_PLAN_KNOWN,True,True
missing_campaigns_since_previous,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,count,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
profile_mean_settlement_mm,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
profile_mean_rate_mm_y,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm/year,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
