scenario_id,dynamic_mechanism,experiment_role,observation_condition,missingness_mechanism,measurement_error_mechanism,base_seed,generator_seed,amplitude_mm,mechanism_parameters_json,constraint_ids,confidence
SCN001-UNIFORM-ORDINARY-INDEPENDENT,uniform,development,ordinary_independent,independent,ordinary_noise,104729,3614538430,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN002-UNIFORM-LONG-GAP-GROSS-ERROR,uniform,development,long_gap_gross_error,long_gap,gross_error,104729,3958693242,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN003-UNIFORM-LONG-GAP-ORDINARY,uniform,development,long_gap_ordinary,long_gap,ordinary_noise,104729,1701617236,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN004-UNIFORM-LONG-GAP-DATUM-FAILURE,uniform,development,long_gap_datum_failure,long_gap,reference_datum_failure,104729,4081058586,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN005-UNIFORM-STATE-DEPENDENT-DATUM-FAILURE,uniform,development,state_dependent_datum_failure,state_dependent,reference_datum_failure,104729,2326730802,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN006-UNIFORM-STATE-DEPENDENT-ORDINARY,uniform,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,3973496546,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN007-UNIFORM-STATE-DEPENDENT-GROSS-ERROR,uniform,development,state_dependent_gross_error,state_dependent,gross_error,104729,3644786357,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN008-UNIFORM-PLANNED-CAMPAIGN-FAILURE-ORDINARY,uniform,development,planned_campaign_failure_ordinary,planned_campaign_failure,ordinary_noise,104729,200699659,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN009-UNIFORM-PLANNED-CAMPAIGN-FAILURE-GROSS-ERROR,uniform,development,planned_campaign_failure_gross_error,planned_campaign_failure,gross_error,104729,2275489481,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN010-UNIFORM-PLANNED-CAMPAIGN-FAILURE-DATUM-FAILURE,uniform,development,planned_campaign_failure_datum_failure,planned_campaign_failure,reference_datum_failure,104729,3627543635,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN011-UNIFORM-INDEPENDENT-GROSS-ERROR,uniform,development,independent_gross_error,independent,gross_error,104729,4195753394,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN012-UNIFORM-INDEPENDENT-DATUM-FAILURE,uniform,development,independent_datum_failure,independent,reference_datum_failure,104729,855635762,240.000000000,{},FIL-DISP_MEAN-ENVELOPE,design_choice_with_source_scale_context
SCN013-CREEP-DECAY-ORDINARY-INDEPENDENT,creep_decay,development,ordinary_independent,independent,ordinary_noise,104729,3907825590,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN014-CREEP-DECAY-LONG-GAP-GROSS-ERROR,creep_decay,development,long_gap_gross_error,long_gap,gross_error,104729,4261429838,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN015-CREEP-DECAY-LONG-GAP-ORDINARY,creep_decay,development,long_gap_ordinary,long_gap,ordinary_noise,104729,1757889860,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN016-CREEP-DECAY-LONG-GAP-DATUM-FAILURE,creep_decay,development,long_gap_datum_failure,long_gap,reference_datum_failure,104729,3202165101,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN017-CREEP-DECAY-STATE-DEPENDENT-DATUM-FAILURE,creep_decay,development,state_dependent_datum_failure,state_dependent,reference_datum_failure,104729,2438124743,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN018-CREEP-DECAY-STATE-DEPENDENT-ORDINARY,creep_decay,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,4194229221,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN019-CREEP-DECAY-STATE-DEPENDENT-GROSS-ERROR,creep_decay,development,state_dependent_gross_error,state_dependent,gross_error,104729,2220988102,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN020-CREEP-DECAY-PLANNED-CAMPAIGN-FAILURE-ORDINARY,creep_decay,development,planned_campaign_failure_ordinary,planned_campaign_failure,ordinary_noise,104729,759517851,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN021-CREEP-DECAY-PLANNED-CAMPAIGN-FAILURE-GROSS-ERROR,creep_decay,development,planned_campaign_failure_gross_error,planned_campaign_failure,gross_error,104729,1019254804,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN022-CREEP-DECAY-PLANNED-CAMPAIGN-FAILURE-DATUM-FAILURE,creep_decay,development,planned_campaign_failure_datum_failure,planned_campaign_failure,reference_datum_failure,104729,1514707175,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN023-CREEP-DECAY-INDEPENDENT-GROSS-ERROR,creep_decay,development,independent_gross_error,independent,gross_error,104729,2692396182,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN024-CREEP-DECAY-INDEPENDENT-DATUM-FAILURE,creep_decay,development,independent_datum_failure,independent,reference_datum_failure,104729,1911994542,260.000000000,"{""tau_fraction"":0.3}",FIL-DISP_MEAN-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN025-SATURATING-ACCELERATION-ORDINARY-INDEPENDENT,saturating_acceleration,development,ordinary_independent,independent,ordinary_noise,104729,3942233929,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN026-SATURATING-ACCELERATION-LONG-GAP-GROSS-ERROR,saturating_acceleration,development,long_gap_gross_error,long_gap,gross_error,104729,4286835051,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN027-SATURATING-ACCELERATION-LONG-GAP-ORDINARY,saturating_acceleration,development,long_gap_ordinary,long_gap,ordinary_noise,104729,3876992237,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN028-SATURATING-ACCELERATION-LONG-GAP-DATUM-FAILURE,saturating_acceleration,development,long_gap_datum_failure,long_gap,reference_datum_failure,104729,484181122,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN029-SATURATING-ACCELERATION-STATE-DEPENDENT-DATUM-FAILURE,saturating_acceleration,development,state_dependent_datum_failure,state_dependent,reference_datum_failure,104729,2816495355,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN030-SATURATING-ACCELERATION-STATE-DEPENDENT-ORDINARY,saturating_acceleration,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,2322978524,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
