latent_world_id,profile_id,constraint_id,reference_start_elapsed_years,reference_end_elapsed_years,nominal_duration_only,reference_min_mm,reference_max_mm,source_readable_upper_with_bound_mm,shape_centre,shape_width,reversed_order,sampled_peak_mm,spatial_mapping
V2-W001,P-D01,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.548616268,0.189894813,True,0.000000000,none_analogue_shape_only
V2-W001,P-H01,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.493409712,0.246480255,True,0.000000000,none_analogue_shape_only
V2-W001,P-H02,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.524398543,0.220790545,True,0.000000000,none_analogue_shape_only
V2-W001,P-H03,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.405055281,0.283930362,False,0.000000000,none_analogue_shape_only
V2-W001,P-H04,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.482316651,0.251371368,True,0.000000000,none_analogue_shape_only
V2-W001,P-H05,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.463080410,0.222802933,True,0.000000000,none_analogue_shape_only
V2-W001,P-H06,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.586645435,0.218254029,False,0.000000000,none_analogue_shape_only
V2-W001,P-H07,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.492035728,0.180489117,False,0.000000000,none_analogue_shape_only
V2-W001,P-V01,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.411281320,0.290847603,True,0.000000000,none_analogue_shape_only
V2-W001,P-V02,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.421760568,0.231550959,False,0.000000000,none_analogue_shape_only
V2-W001,P-V03,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.576382854,0.243844586,True,0.000000000,none_analogue_shape_only
V2-W001,P-V04,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.549560472,0.275367482,True,0.000000000,none_analogue_shape_only
V2-W001,P-V05,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.483808949,0.193689552,True,0.000000000,none_analogue_shape_only
V2-W001,P-V06,,3.237166324,4.237166324,True,0.000000000,0.000000000,0.000000000,0.546314705,0.220212818,False,0.000000000,none_analogue_shape_only
V2-W002,P-D01,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,103.590368270,246.632289178,364.300000000,0.572178756,0.164510771,True,350.222657448,none_analogue_shape_only
V2-W002,P-H01,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,55.526787685,206.985975479,364.300000000,0.454279023,0.179514095,False,262.512763164,none_analogue_shape_only
V2-W002,P-H02,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,91.581008787,231.376151784,364.300000000,0.537613423,0.177480168,True,322.957160572,none_analogue_shape_only
V2-W002,P-H03,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,91.227597366,204.076330858,364.300000000,0.445759952,0.196187595,False,295.303928224,none_analogue_shape_only
V2-W002,P-H04,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,76.052440064,206.312944991,364.300000000,0.543049294,0.169651265,False,282.365385055,none_analogue_shape_only
V2-W002,P-H05,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,68.005166636,224.445839042,364.300000000,0.591911828,0.248209223,False,292.451005678,none_analogue_shape_only
V2-W002,P-H06,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,70.875574338,221.277693528,364.300000000,0.516138756,0.242046488,True,292.153267866,none_analogue_shape_only
V2-W002,P-H07,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,95.481955439,226.159271991,364.300000000,0.490250024,0.292785660,False,321.641227430,none_analogue_shape_only
V2-W002,P-V01,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,71.830856040,195.897211088,364.300000000,0.418823305,0.213739034,True,267.728067128,none_analogue_shape_only
V2-W002,P-V02,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,98.582230240,214.865114318,364.300000000,0.581664878,0.247279510,True,313.447344558,none_analogue_shape_only
V2-W002,P-V03,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1.237166324,6.237166324,True,91.251692919,175.822940118,364.300000000,0.440104122,0.164352486,True,267.074633037,none_analogue_shape_only
