campaign_id,date,campaign_type
C001,2018-05-15,full
C002,2018-07-10,focused
C003,2018-10-16,full
C004,2019-02-12,focused
C005,2019-05-14,full
C006,2019-08-27,focused
C007,2019-11-05,full
C008,2020-04-21,full
C009,2020-06-02,focused
C010,2020-10-20,full
C011,2021-01-26,focused
C012,2021-05-18,full
C013,2021-07-13,focused
C014,2021-11-02,full
C015,2022-03-01,focused
C016,2022-05-17,full
C017,2022-07-19,focused
C018,2022-10-18,full
C019,2023-01-17,focused
C020,2023-05-16,full
C021,2023-07-25,focused
C022,2023-11-07,full
C023,2024-01-30,focused
C024,2024-05-14,full
C025,2024-07-09,focused
C026,2024-09-03,focused
C027,2025-07-22,full
C028,2025-08-26,focused
C029,2025-11-04,full
