point_id,profile_id,point_type,chainage_m,x_local_m,y_local_m,zone_id,chainage_normalized_profile
P-D01-W001,P-D01,WORK,0.000000000,21345.201687625,39886.009162364,GEO_SW,0.295784313
P-D01-W004,P-D01,WORK,239.030488737,21544.642289162,40017.762799902,GEO_SW,0.497788511
P-D01-W007,P-D01,WORK,483.294665011,21748.449738611,40152.401246713,GEO_SW,0.704215687
P-H01-W001,P-H01,WORK,0.000000000,21155.168288438,39576.966492648,GEO_SW,0.211520335
P-H01-W004,P-H01,WORK,457.948272049,21613.116560488,39576.966492648,GEO_SW,0.488278541
P-H01-W007,P-H01,WORK,954.687240935,22109.855529374,39576.966492648,GEO_SW,0.788479665
P-H02-W001,P-H02,WORK,0.000000000,21796.694727606,40532.698642026,GEO_SW,0.283570145
P-H02-W004,P-H02,WORK,250.824898130,22047.519625735,40532.698642026,GEO_SW,0.486788581
P-H02-W007,P-H02,WORK,534.262514816,22330.957242422,40532.698642026,GEO_SW,0.716429855
P-H03-W001,P-H03,WORK,0.000000000,29197.394991208,41488.430791403,GEO_SE,0.308927815
P-H03-W004,P-H03,WORK,200.027575404,29397.422566612,41488.430791403,GEO_SE,0.485482335
P-H03-W007,P-H03,WORK,432.950750108,29630.345741316,41488.430791403,GEO_SE,0.691072185
P-H04-W001,P-H04,WORK,0.000000000,23718.902807153,42444.162940780,GEO_SW,0.269340521
P-H04-W004,P-H04,WORK,320.065061627,24038.967868780,42444.162940780,GEO_SW,0.515644780
P-H04-W007,P-H04,WORK,599.470269380,24318.373076533,42444.162940780,GEO_SW,0.730659479
P-H05-W001,P-H05,WORK,0.000000000,27015.989288742,43399.895090158,GEO_NE,0.232535246
P-H05-W004,P-H05,WORK,416.338879726,27432.328168469,43399.895090158,GEO_NE,0.509145143
P-H05-W007,P-H05,WORK,805.148168237,27821.137456979,43399.895090158,GEO_NE,0.767464754
P-H06-W001,P-H06,WORK,0.000000000,24934.495297840,44355.627239535,GEO_NE,0.242597233
P-H06-W004,P-H06,WORK,367.240411436,25301.735709276,44355.627239535,GEO_NE,0.497144397
P-H06-W007,P-H06,WORK,742.720495829,25677.215793668,44355.627239535,GEO_NE,0.757402767
P-H07-W001,P-H07,WORK,0.000000000,27349.028327287,45311.359388912,GEO_NE,0.296858572
P-H07-W004,P-H07,WORK,233.645457129,27582.673784416,45311.359388912,GEO_NE,0.495029020
P-H07-W007,P-H07,WORK,479.012610977,27828.040938264,45311.359388912,GEO_NE,0.703141428
P-V01-W001,P-V01,WORK,0.000000000,21687.364672032,39222.511064215,GEO_SW,0.268297817
P-V01-W004,P-V01,WORK,281.087365082,21687.364672032,39503.598429298,GEO_SW,0.483769607
P-V01-W007,P-V01,WORK,604.520489424,21687.364672032,39827.031553639,GEO_SW,0.731702183
P-V02-W001,P-V02,WORK,0.000000000,23099.450195461,42481.023946233,GEO_SW,0.314509700
P-V02-W004,P-V02,WORK,202.555125636,23099.450195461,42683.579071869,GEO_NW,0.496525562
P-V02-W007,P-V02,WORK,412.843261070,23099.450195461,42893.867207303,GEO_NW,0.685490300
P-V03-W001,P-V03,WORK,0.000000000,24511.535718889,42348.324326603,GEO_SW,0.341671135
P-V03-W004,P-V03,WORK,165.353663039,24511.535718889,42513.677989643,GEO_SW,0.503089917
P-V03-W007,P-V03,WORK,324.376847984,24511.535718889,42672.701174587,GEO_NW,0.658328865
P-V04-W001,P-V04,WORK,0.000000000,25923.621242317,44604.217860308,GEO_NE,0.333140948
P-V04-W004,P-V04,WORK,206.715500411,25923.621242317,44810.933360719,GEO_NE,0.529899227
P-V04-W007,P-V04,WORK,350.606363443,25923.621242317,44954.824223751,GEO_NE,0.666859052
P-V05-W001,P-V05,WORK,0.000000000,27335.706765745,42510.512750595,GEO_SE,0.332110644
P-V05-W004,P-V05,WORK,179.489127125,27335.706765745,42690.001877721,GEO_NE,0.502425642
P-V05-W007,P-V05,WORK,353.865652346,27335.706765745,42864.378402941,GEO_NE,0.667889357
P-V06-W001,P-V06,WORK,0.000000000,28747.792289173,43645.831718538,GEO_NE,0.287816148
P-V06-W004,P-V06,WORK,283.173133009,28747.792289173,43929.004851547,GEO_NE,0.520678435
P-V06-W007,P-V06,WORK,516.054076338,28747.792289173,44161.885794876,GEO_NE,0.712183852
