scenario_id,latent_world_id,dynamic_mechanism,experiment_role,observation_condition,missingness_mechanism,measurement_error_mechanism,base_seed,latent_seed,generator_seed,numeric_constraint_id,empirical_profile,empirical_period,nominal_interval_years,readable_min_magnitude_mm,reference_upper_mm,reference_floor_mm,structural_shape,temporal_parameters_json,process_motivation,observation_modality,pseudo_transition,numeric_scale_constrained,temporal_law_empirically_identified
V2-W001-O1,V2-W001,stable,development,ordinary_independent,independent,ordinary_noise,104729,2537496603,275855112,,none,none,1,0.000000000,0.000000000,0.000000000,null_control,"{""base"":0.34955232673803505,""events"":[[0.25056576016832355,0.07521837915296556,0.45],[0.6319778441429702,0.09778389289885522,0.4]],""onset"":0.4544966573208373,""power"":2.113804783144303,""steepness"":7.499290668828881,""tau"":0.2386026212491421}",exact_null_negative_control_design_only,synthetic_leveling_proxy,False,False,False
V2-W001-O2,V2-W001,stable,development,long_gap_gross,long_gap,gross_error,104729,2537496603,2972598503,,none,none,1,0.000000000,0.000000000,0.000000000,null_control,"{""base"":0.34955232673803505,""events"":[[0.25056576016832355,0.07521837915296556,0.45],[0.6319778441429702,0.09778389289885522,0.4]],""onset"":0.4544966573208373,""power"":2.113804783144303,""steepness"":7.499290668828881,""tau"":0.2386026212491421}",exact_null_negative_control_design_only,synthetic_leveling_proxy,False,False,False
V2-W001-O3,V2-W001,stable,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,2537496603,4102520807,,none,none,1,0.000000000,0.000000000,0.000000000,null_control,"{""base"":0.34955232673803505,""events"":[[0.25056576016832355,0.07521837915296556,0.45],[0.6319778441429702,0.09778389289885522,0.4]],""onset"":0.4544966573208373,""power"":2.113804783144303,""steepness"":7.499290668828881,""tau"":0.2386026212491421}",exact_null_negative_control_design_only,synthetic_leveling_proxy,True,False,False
V2-W001-O4,V2-W001,stable,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,2537496603,2791833863,,none,none,1,0.000000000,0.000000000,0.000000000,null_control,"{""base"":0.34955232673803505,""events"":[[0.25056576016832355,0.07521837915296556,0.45],[0.6319778441429702,0.09778389289885522,0.4]],""onset"":0.4544966573208373,""power"":2.113804783144303,""steepness"":7.499290668828881,""tau"":0.2386026212491421}",exact_null_negative_control_design_only,synthetic_reflector_contamination,True,False,False
V2-W001-O5,V2-W001,stable,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,2537496603,2887197761,,none,none,1,0.000000000,0.000000000,0.000000000,null_control,"{""base"":0.34955232673803505,""events"":[[0.25056576016832355,0.07521837915296556,0.45],[0.6319778441429702,0.09778389289885522,0.4]],""onset"":0.4544966573208373,""power"":2.113804783144303,""steepness"":7.499290668828881,""tau"":0.2386026212491421}",exact_null_negative_control_design_only,synthetic_leveling_proxy,False,False,False
V2-W002-O1,V2-W002,uniform,development,ordinary_independent,independent,ordinary_noise,104729,176891353,2924499561,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.4835254724953329,""events"":[[0.3219474612679305,0.06858544596308153,0.45],[0.7783880363064571,0.08916107975200599,0.4]],""onset"":0.6746717684337722,""power"":2.1756930772026832,""steepness"":12.942548469698695,""tau"":0.13713030086872388}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W002-O2,V2-W002,uniform,development,long_gap_gross,long_gap,gross_error,104729,176891353,4267771607,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.4835254724953329,""events"":[[0.3219474612679305,0.06858544596308153,0.45],[0.7783880363064571,0.08916107975200599,0.4]],""onset"":0.6746717684337722,""power"":2.1756930772026832,""steepness"":12.942548469698695,""tau"":0.13713030086872388}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W002-O3,V2-W002,uniform,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,176891353,72296468,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.4835254724953329,""events"":[[0.3219474612679305,0.06858544596308153,0.45],[0.7783880363064571,0.08916107975200599,0.4]],""onset"":0.6746717684337722,""power"":2.1756930772026832,""steepness"":12.942548469698695,""tau"":0.13713030086872388}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,True,True,False
V2-W002-O4,V2-W002,uniform,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,176891353,274171226,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.4835254724953329,""events"":[[0.3219474612679305,0.06858544596308153,0.45],[0.7783880363064571,0.08916107975200599,0.4]],""onset"":0.6746717684337722,""power"":2.1756930772026832,""steepness"":12.942548469698695,""tau"":0.13713030086872388}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_reflector_contamination,True,True,False
V2-W002-O5,V2-W002,uniform,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,176891353,1105158156,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.4835254724953329,""events"":[[0.3219474612679305,0.06858544596308153,0.45],[0.7783880363064571,0.08916107975200599,0.4]],""onset"":0.6746717684337722,""power"":2.1756930772026832,""steepness"":12.942548469698695,""tau"":0.13713030086872388}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W003-O1,V2-W003,uniform,development,ordinary_independent,independent,ordinary_noise,104729,411064619,2999642214,MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,2015-2016,1,0.000000000,73.500000000,0.000000000,monotone_gradient,"{""base"":0.3310889954236985,""events"":[[0.2452964313005223,0.04886045507886348,0.45],[0.6245180892654746,0.06351859160252253,0.4]],""onset"":0.32871522299541667,""power"":2.1929891855237242,""steepness"":10.836730330629372,""tau"":0.2375161550682951}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W003-O2,V2-W003,uniform,development,long_gap_gross,long_gap,gross_error,104729,411064619,2443683292,MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,2015-2016,1,0.000000000,73.500000000,0.000000000,monotone_gradient,"{""base"":0.3310889954236985,""events"":[[0.2452964313005223,0.04886045507886348,0.45],[0.6245180892654746,0.06351859160252253,0.4]],""onset"":0.32871522299541667,""power"":2.1929891855237242,""steepness"":10.836730330629372,""tau"":0.2375161550682951}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W003-O3,V2-W003,uniform,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,411064619,1873558277,MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,2015-2016,1,0.000000000,73.500000000,0.000000000,monotone_gradient,"{""base"":0.3310889954236985,""events"":[[0.2452964313005223,0.04886045507886348,0.45],[0.6245180892654746,0.06351859160252253,0.4]],""onset"":0.32871522299541667,""power"":2.1929891855237242,""steepness"":10.836730330629372,""tau"":0.2375161550682951}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,True,True,False
V2-W003-O4,V2-W003,uniform,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,411064619,1448367354,MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,2015-2016,1,0.000000000,73.500000000,0.000000000,monotone_gradient,"{""base"":0.3310889954236985,""events"":[[0.2452964313005223,0.04886045507886348,0.45],[0.6245180892654746,0.06351859160252253,0.4]],""onset"":0.32871522299541667,""power"":2.1929891855237242,""steepness"":10.836730330629372,""tau"":0.2375161550682951}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_reflector_contamination,True,True,False
