row_id,row_kind,mine_scope,mines_named_in_text,target_as_printed,spatial_entity_ids,seam,method_as_printed,method_vkm,material_as_printed,period_mining_as_printed,period_backfill_as_printed,delay_as_printed,fill_ratio_as_printed,unfilled_gap_as_printed,density_as_printed,strength_deformation_as_printed,compaction_as_printed,convergence_relation_as_printed,purpose_as_printed,other_parameters_as_printed,design_actual_label,label_basis,visual_recheck,conflict_ids,event_ids,skru1_relevance,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
BF-0001,backfill_record,СКРУ-2,СКРУ-2,object=SKRU-2 provał,MF:SKRU2,,surface filling of the sinkhole with clay; injection of clay-cement grout; road repair,dry;paste,clay material (засыпка); clay-cement grout (закачка глиноцементного раствора),,,,,,,,,effect_on_observations=remediation earthworks generate displacements that InSAR detects,,"{""time"": ""ongoing in 2021-2022""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-003,pdf p.67 (printed 67); §3.4 p.67,EV-VN-S003-0242,EV-MON-0104,FACT,DESCRIPTIVE,SKRU2,FIELD,HIGH,TEXT_LAYER,EXACT,SKRU-2 = neighbouring Solikamsk mine south of the city (not SKRU-1). Values are OTHER_VKM_SITE/SKRU2 and must not be transferred to SKRU-1 without explicit status.
BF-0002,backfill_record,ВКМ (регионально),,,VKM,,not described,unknown,закладочные рассолы (brines associated with backfill),,,,,,,,,,,"{""note"": ""only mention; description omitted by author""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-011,pdf p.37 (printed 72-73); текст с.72,EV-VN-S011-0690,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,
BF-0003,backfill_record,СКРУ-3,СКРУ-3,,MF:SKRU3,,гидрозакладка (hydraulic backfill),hydraulic,unstated,,,,,,,,,,,"{""evidence"": ""existence of a hydraulic-backfill working near shaft No.1 of SKRU-3 (sampling location)""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.74 (printed 146-147); Табл. 2.20,EV-VN-S011-1492,,FACT,DESCRIPTIVE,SKRU3,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,Only mentions a 'hydraulic backfill working' as a sampling location; no backfill parameters.
BF-0004,backfill_record,БКПРУ-4,,,MF:BKPRU4,,закладка горной выработки (backfilling of a research working),unknown,unstated,,,,,,,,,,,"{""evidence"": ""research workings in upper ПдКС of 10 ЮВП were backfilled before sampling (date not given)""}",ACTUAL,evidence_type=FIELD_OBSERVATION,,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-011,pdf p.95 (printed 188-189); с.188,EV-VN-S011-1659,,FACT,FIELD_OBSERVATION,BKPRU4,FIELD,MEDIUM,TEXT_LAYER,EXACT,Evidence of backfilling practice for workings at BKPRU-4; no parameters.
BF-0005,backfill_record,СКРУ-1/СКРУ-2,,,SKRU1:W:SBOYKA_KRII;IMP:SKRU1-SKRU2,,"three concrete bulkheads each 20 m wide, drift filled with hydraulic backfill",hydraulic,concrete bulkheads + hydraulic backfill (гидрозакладка),,,,,,,,,,,"{""bulkhead_count"": 3, ""bulkhead_width"": ""20 м"", ""date"": ""Soviet era (before 1991), exact date not given""}",ACTUAL,"выполненная изоляция сбойки (советский период, дата не указана)",,,,SKRU1_SHARED_WITH_SKRU2,VKM-SRC-012,pdf p.34 (printed 34); §1.4.2,EV-VN-S012-0169,EV-MIN-0017,FACT,DESCRIPTIVE,SKRU1_SKRU2,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,"Date of sealing unknown (only ""в Советское время"")."
BF-0006,backfill_record,ВКМ (регионально),,"where=sylvinite seams under urban development, in 'zones of mitigation' (зоны смягчения), and in carnallite-mining areas",VKM,,not specified here (see ch.5),unknown,processing (beneficiation) wastes and rock from driving of field (rock) workings,,,,,,,,,,,,UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,pdf p.11 (printed 11); §1.1,EV-VN-S014-0110,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,Spatial rule for where backfill is applied; 'зоны смягчения' = mitigation zones (spatial entities needing definition).
BF-0007,backfill_record,ВКМ (регионально),СКРУ-3,,VKM,,hydraulic backfill (SKRU-3 example) and other (see ch.5),hydraulic,"processing wastes (salt waste, slimes) and rock from development workings",,,,,,,,,,purpose=environmental protection (reduce surface waste storage); reduce surface subsidence and increase reliability of ВЗТ,"{""seams_backfilled"": ""sylvinite seams and carnallite seam В""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,pdf p.55 (printed 55); §2.5,EV-VN-S014-0417,EV-MIN-0133;EV-MIN-0134,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_78,Backfill explicitly stated to reduce subsidence — backfill history is a required time input for SKRU-1 world; no SKRU-1 volumes in this chunk.
BF-0008,backfill_record,ВКМ (регионально),,,VKM,,brine-drainage grooves cut in hydraulic-backfill areas,hydraulic,hydraulic backfill (гидрозакладка),,,,,,,,,,,"{""equipment"": ""Урал-50 (machine for cutting compensation slots)""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,pdf p.59 (printed 59); §2.6,EV-VN-S014-0431,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,Hydraulic-backfill areas release brine that must be drained — hydro coupling of backfill; compensation slots (компенсационные щели) exist as a stress-relief measure.
BF-0009,backfill_record,СКРУ-2,,,MF:SKRU2,,"main hydraulic-backfill drifts (гидрозакладочные штреки №1, №2) in seam АБ along main southern and south-eastern directions",hydraulic,hydraulic backfill,,,,,,,,,,,,UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-014,pdf p.89 (printed 89); Рис. 3.9,EV-VN-S014-0564,,FACT,DESCRIPTIVE,SKRU2,NOT_APPLICABLE,HIGH,VISUAL_READ,NOT_FOUND,
BF-0010,backfill_record,ВКМ (регионально),,"target_seams=АБ, Красный-II",VKM,,механическая (сухая) закладка в отработанные очистные камеры,dry,каменная соль от проходки КБС,,,,,,,,,,,,DESIGN,evidence_type=DESIGN_VALUE,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,pdf p.112 (printed 112); §3.7,EV-VN-S014-0821,,FACT,DESIGN_VALUE,VKM_REGIONAL,DESIGN,HIGH,TEXT_LAYER,EXACT,
