issue_id,issue_type,borehole_ids,ids_as_printed,sources,locators,vn_ids,description,evidence_for_identity,evidence_against_identity,decision,identity_confidence,what_would_resolve,status
ISS-075-SOL,MERGED_WITH_EVIDENCE,BH-SOL-75,75 | скв.75,VKM-SRC-012;VKM-SRC-014;VKM-SRC-021,"SRC-012 p28 рис.1.1, p64 табл.3.1, p66/67 рис.3.2–3.7; SRC-014 p78 рис.3.1; SRC-021 p4 рис.1б",EV-VN-S012-0079;EV-VN-S012-0315;EV-VN-S012-0371;EV-VN-S014-0465;EV-VN-S021-0041,Скважина 75 проекта = скв. 75 табл. 3.1 Лебедевой; та же подпись на плане СКРУ-1 (SRC-014) и в шапке профиля SRC-021.,"SRC-012 рис.1.1 и SRC-014 рис.3.1: 75 на границе 3 ЮЗП/4 ЮЗП, западнее скв. 23 (визуально проверено в этом потоке, p78 @400 dpi); рис.3.2: (23200, 38200) рядом с 23 (23750, 38300) и 74 (21400, 38150) — та же взаимная конфигурация. SRC-021: номенклатура блоков/панелей (97/99/101/127/129/159/161, 2–4 ЮЗП) совпадает с планом СКРУ-1, профиль начинается у «скв.75».",SRC-021 не называет рудник; координаты нигде не напечатаны (только оцифровка подписи).,MERGED (SRC-012↔SRC-014: HIGH; SRC-021: MEDIUM),MEDIUM-HIGH,"Паспорт скважины 75 (архив ВНИИГ/Уралкалий): координаты устья, отметка, дата, акт ГИС.",RESOLVED_BY_EVIDENCE
ISS-075-BIBLIO,POSSIBLE_SAME_NOT_MERGED,BH-SOL-75;BH-BIB-S011-75,75 | скважина 75 (1950),VKM-SRC-011;VKM-SRC-012,"SRC-011 p159 Прил.4 (библиография, A4-192)",EV-VN-S011-3065;EV-VN-S011-3067,"Библиографическая запись: «…» (цитата — в столбце quote) (Дубинина, Тр. ВНИИГ, 1960, вып.40).","Соликамский район; в табл.3.1 скв.75 вскрыла СКЗ (212,15) — карналлитовые породы есть в разрезе; в 1950 г. «Соликамский рудник» = Первый рудник (СКРУ-1) — интерпретация SRC-011 sweep.",Только название работы; «в районе» ≠ внутри поля; номера могли повторяться между кампаниями (пример: 217 — ISS-217-DUR).,KEPT_SEPARATE,LOW-MEDIUM,"Получить Дубинина 1960 (Тр. ВНИИГ 40:101–116) и паспорт скв.75: дата бурения, местоположение.",OPEN
ISS-129-DUP,DUPLICATE_LABEL_IN_ONE_FIGURE,BH-SOL-129_at_N;BH-SOL-129_at_SE,129 (north) | 129 (SE) | 129,VKM-SRC-014;VKM-SRC-011,SRC-014 p78 рис.3.1; SRC-011 p131 рис.4.7а,EV-VN-S014-0480;EV-VN-S014-0522;EV-VN-S011-2095,"На плане СКРУ-1 подпись «129» напечатана дважды: у северной границы (рядом с 5/3/33, читается чётко) и у блока 195 (частично перекрыта штриховкой — «1?9», возможно 139). Визуально проверено в этом потоке (800 dpi).",SRC-011 рис.4.7а: интерполяционная точка «129-220» восточнее скв.128 у блока 201 — согласуется с ЮВ «129» и восточной 220.,Две одинаковые подписи на одной карте противоречат уникальности номера; ЮВ подпись неразборчива.,KEPT_SEPARATE (две строки); SRC-011 «129» присоединена к ЮВ (MEDIUM),MEDIUM,"Оригинал плана СКРУ-1 (масштабный, с координатной сеткой) или каталог скважин рудника.",OPEN
ISS-129-220-INTERP,NOT_A_BOREHOLE,BHI-S011-2094,"129-220 / 160,77",VKM-SRC-011,SRC-011 p131 рис.4.7а,EV-VN-S011-2094,"«129-220» — точка, интерполированная между скв. 129 и 220 (легенда: «…» (цитата — в столбце quote)); не наблюдение. Предыдущий дайджест EV-GEO-0180 считал её скважиной.",,"Легенда рисунка (визуально проверено, 500 dpi).","CATALOGUED_AS_INTERPOLATION (status INTERPOLATION, usable NO)",n/a,Не требуется; исправить EV-GEO-0180 в следующем релизе.,RESOLVED_BY_EVIDENCE
ISS-148-148A,SUFFIX_VARIANT,BH-M135-148;BH-SOL-148a,148 | 148а,VKM-SRC-011;VKM-SRC-014,SRC-011 p24 рис.1.35; SRC-014 p19 рис.1.6; SRC-014 p78 рис.3.1,,"СЗ вершина: на региональной карте «148», на плане СКРУ-1 «148а» в СЗ углу горного отвода.",Одинаковое положение (СЗ угол) в последовательности 148/148а–109–74 западной границы.,Суффикс «а» может означать другую (дублирующую) скважину рядом.,KEPT_SEPARATE,LOW-MEDIUM,Каталог скважин / план горного отвода СКРУ-1 с координатами.,OPEN
ISS-PRIME-VS-A,SUFFIX_VARIANT,BH-SOL-30p;BH-SOL-30a;BH-SOL-299p;BH-SOL-299a,30' | 30а | 299' | 299а,VKM-SRC-011;VKM-SRC-014;VKM-SRC-012,SRC-011 p49 рис.2.16; SRC-014 p78 рис.3.1; SRC-012 p28 рис.1.1,EV-VN-S011-0990;EV-VN-S011-0997;EV-VN-S014-0528;EV-VN-S012-0110,"Кудряшов (рис.2.16) печатает штрих (30', 299'), другие источники — «а» (30а, 299а) рядом с 30 и 299.",Парность с тем же номером без суффикса; тот же участок.,Штрих и «а» могут быть разными обозначениями.,KEPT_SEPARATE,MEDIUM,Проверить в каталоге скважин обозначение дублёров.,OPEN
ISS-10STAR,SUFFIX_VARIANT,BH-SOL-10;BH-SOL-10star,10 | 10*,VKM-SRC-012,SRC-012 p28 рис.1.1,EV-VN-S012-0104;EV-VN-S012-0105,На рис.1.1 рядом напечатаны «10*» и «10»; смысл звёздочки не указан.,,,KEPT_SEPARATE,n/a,Легенда исходного плана.,OPEN
ISS-1036-SPACE,READING_VARIANT,BH-SOL-1036,1 036 | 1036,VKM-SRC-012,SRC-012 p28 рис.1.1; p65 табл.3.1; рис.3.2,EV-VN-S012-0083;EV-VN-S012-0339,"На рис.1.1 напечатано «1 036» (с пробелом), в табл.3.1 и на рис.3.2 — «1036».","Та же позиция (западная часть целика СКРУ-1–СКРУ-2) на рис.1.1 и рис.3.2 (22200, 37550).",,MERGED,HIGH,,RESOLVED_BY_EVIDENCE
ISS-131-131C,TABLE_MAP_MISMATCH,BH-SOL-131;BH-SOL-131s,131 | 131c | 131с,VKM-SRC-012,SRC-012 p28 рис.1.1; p64 табл.3.1; p66 рис.3.2; p67 рис.3.3–3.7,EV-VN-S012-0122;EV-VN-S012-0126;EV-VN-S012-0324;EV-VN-S012-0340;EV-VN-S012-0394,"Табл.3.1 содержит строку «131c» (с отбивками), но на картах рис.3.2–3.7 подписана «131» в позиции (26650, 35600) — там, где на рис.1.1 стоит «131» (I ЮВП-143), а «131с» на рис.1.1 — в IV ЮВП-143. Какой скважине принадлежат отбивки строки 131c и где она в плане — не доказано.","Если в табл.3.1 опечатка, то отбивки принадлежат 131 и её позиция известна.",Рис.1.1 печатает обе (131 и 131с) в разных местах.,KEPT_SEPARATE; отбивки оставлены у BH-SOL-131s без плановой позиции,LOW,Первичная база отбивок Лебедевой / каталог скважин.,OPEN
ISS-SUFFIX-DISTINCT,SUFFIX_VARIANT_DISTINCT_HOLES,BH-SOL-130;BH-SOL-130s;BH-SOL-139;BH-SOL-139s;BH-SOL-128;BH-SOL-128s;BH-SOL-120;BH-SOL-120s;BH-SOL-118;BH-SOL-118s;BH-SOL-44;BH-SOL-44s;BH-SOL-129s,"130/130с/130г, 131/131с/131г, 139/139с, 128/128с, 120/120с, 118/118с, 44/44с, 129/129с",VKM-SRC-012;VKM-SRC-014,SRC-012 p28 рис.1.1; SRC-014 p78 рис.3.1,,"Номера с суффиксами «с», «г», «к», «а» и без суффикса напечатаны на тех же планах в разных местах → разные скважины. Не путать также со скв. 130/134 и разломами №130/№134 (SRC-012).",,Разное положение на одном плане.,KEPT_SEPARATE,HIGH (distinct),,RESOLVED_BY_EVIDENCE
