pick_id,borehole_id,borehole_id_as_printed,unit_as_printed,unit_canonical_guess,pick_kind,reference,reference_detail,top_depth_m,bottom_depth_m,top_abs_m,bottom_abs_m,thickness_m,value_as_printed,tvd_as_printed,units,source_id,locator,vn_id,extraction_method,quote_check,visual_check,pick_quality,order_check,status,scope,scale,confidence,notes
PK-00001,BH-DEEP-1-OP,скв. 1-ОП,Vendian (Vkd) exposed,UNRESOLVED:Vendian (Vkd) exposed,QUALITATIVE,unknown,,,,,,,,,m,VKM-SRC-011,p.7 §1.2,EV-VN-S011-0045,TEXT_LAYER,EXACT,,QUALITATIVE_NO_VALUE,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00002,BH-DEEP-1-OP,1-ОП,"Vkd (Kudymkar suite, Valdai series, Vendian) — reached; drilled thickness of the complex 342 m (not specified for which well)","UNRESOLVED:Vkd (Kudymkar suite, Valdai series, Vendian) — reached; dril",QUALITATIVE,unknown,,,,,,,,,m,VKM-SRC-011,p.174 English SUMMARY §1 (Key features of geological aspects of VKSD; 1.2 Stratigraphy and lithology); Russian original pdf p.7,EV-VN-S011-3814,TEXT_LAYER,EXACT,,QUALITATIVE_NO_VALUE,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00003,BH-DEEP-37-OGN,37-ОГН,Vkd (Kudymkar suite) reached,UNRESOLVED:Vkd (Kudymkar suite) reached,QUALITATIVE,unknown,,,,,,,,,m,VKM-SRC-011,p.174 English SUMMARY §1 (Key features of geological aspects of VKSD; 1.2 Stratigraphy and lithology); Russian original pdf p.7,EV-VN-S011-3815,TEXT_LAYER,EXACT,,QUALITATIVE_NO_VALUE,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00004,BH-SWK-S011-57,57,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-202.4,,0.8,"top_abs_m=-202,40; thickness_m=0,80",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0155,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00005,BH-SWK-S011-68,68,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-218.84,,0.7,"top_abs_m=-218,84; thickness_m=0,70",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0156,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00006,BH-SWK-S011-69,69,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-298.23,,0.6,"top_abs_m=-298,23; thickness_m=0,60",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0157,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00007,BH-SWK-S011-70,70,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-306.93,,0.4,"top_abs_m=-306,93; thickness_m=0,40",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0158,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00008,BH-SWK-S011-403,403,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-256.18,,0.8,"top_abs_m=-256,18; thickness_m=0,80",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0159,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00009,BH-SWK-S011-404,404,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-325.85,,1,"top_abs_m=-325,85; thickness_m=1,00",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0160,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00010,BH-SWK-S011-424,424,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-253.61,,3.45,"top_abs_m=-253,61; thickness_m=3,45",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0161,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
