vn_id,source_id,pdf_page,locator,unit_as_recorded,record_scope,record_status,borehole_stream_use,borehole_ids,pick_ids,category,proposed_owner,review_note
EV-VN-S011-0213,VKM-SRC-011,11,рис. 1.13 (изолинии),МГ (кровля),VKM_REGIONAL,FACT,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS,
EV-VN-S011-0309,VKM-SRC-011,18,"§1.3.1, рис. 1.25",кровля терригенной пачки тиманского горизонта (D3tm),VKM_REGIONAL,FACT,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS,
EV-VN-S011-0310,VKM-SRC-011,18,"§1.3.1, рис. 1.26",кровля терригенных отложений тульского горизонта (C1tl),VKM_REGIONAL,FACT,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS,
EV-VN-S011-0313,VKM-SRC-011,19,"§1.3.1, рис. 1.28",кровля терригенной пачки артинского яруса (артинский терригенный клин),VKM_REGIONAL,FACT,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS: geology_evidence (structure surface),NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
EV-VN-S011-0320,VKM-SRC-011,20,"§1.3.2 подошва соляной толщи, рис. 1.29",подошва соляной толщи (base of salt),VKM_REGIONAL,FACT,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS: geology_evidence (structure surface),NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
EV-VN-S011-0342,VKM-SRC-011,21,рис. 1.29,подошва соляной толщи,VKM_REGIONAL,FACT,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS: geology_evidence (structure surface),NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
EV-VN-S011-0343,VKM-SRC-011,21,рис. 1.30,кровля ПКС (top of covering rock salt ≈ top of potash-bearing salt),VKM_REGIONAL,FACT,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS: geology_evidence (structure surface),NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
EV-VN-S011-0344,VKM-SRC-011,21,рис. 1.31,кровля пласта МГ,VKM_REGIONAL,FACT,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS,
EV-VN-S011-0616,VKM-SRC-011,34,рис. 1.61 (стратоизогипсы кровли ГАТ),кровля ГАТ,OTHER_VKM_SITE,INTERPOLATION,NOT_A_BOREHOLE_PICK,,,STRUCTURE_MAP,GEOLOGY_COORDS: geology_evidence (structure surface),NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
EV-VN-S011-0874,VKM-SRC-011,47,Рис. 2.10,пласт МГ (and potash seams К…КрIII),BKPRU4,INTERPOLATION,NOT_A_BOREHOLE_PICK,,,SCHEMATIC_SECTION_READINGS,GEOLOGY_COORDS,
EV-VN-S011-1026,VKM-SRC-011,50,"Рис. 2.19, 2.20",КрII (roof/floor),SKRU3,FACT,NOT_A_BOREHOLE_PICK,,,MINE_BLOCK_SECTION,"GEOLOGY_COORDS: stratigraphic_thickness_observations (СКРУ-3, блок 5)",NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
