row_id,category,crs_kind_schema,vertical_kind_schema,axes_schema,system_as_printed,what_is_stated,what_is_unknown,values_as_printed,key_finding_ru,source_id,pdf_page,locator,vn_id,record_kind,status,evidence_type,scope,spatial_level,extraction_method,quote_check,confidence,relevance_to_skru1_world,notes
CDE-0001,STATE_OR_PROJECTED_CRS_MENTION;LOCAL_MINE_GRID,LOCAL_MINE_GRID,,,InSAR radar geometry -> geocoded (DEM-based) -> 'заданная система координат' (target system not named),"Processing chain includes geocoding with a global DEM and a transformation of PS points into a specified (local) coordinate system; which system (e.g. МСК/local mine grid, Baltic heights) is NOT stated. Vertical-displacement maps are then corrected for offset and tilt (slide 10).",система координат не названа,,,VKM-SRC-002,6,слайд 6 + слайд 10,EV-VN-S002-0010,coordinate_system,FACT,DESCRIPTIVE,GENERAL_METHOD,unstated,VISUAL_READ,NOT_FOUND,HIGH,MEDIUM (метод),
CDE-0002,INSAR_GEOMETRY,,ELLIPSOIDAL,,"SAR radar coordinates (azimuth, slant range) -> geocoded ground coordinates","Radar-geometry grid (azimuth along track, slant range across track) must be geocoded to ground coordinates; heights z referenced to ellipsoid (Рис. 1.2, p.16). Sign/positive direction of LOS not yet specified on this page.",,,,VKM-SRC-003,14,§1.1; Рис. 1.1,EV-VN-S003-0045,coordinate_system,FACT,DESCRIPTIVE,GENERAL_METHOD,unstated,TEXT_LAYER,EXACT,HIGH,LOW,
CDE-0003,HEIGHT_SYSTEM,,ELLIPSOIDAL,,InSAR geometry: heights above ellipsoid,"SAR geometry uses heights above the reference ellipsoid (z); local incidence angle θinc measured from ellipsoid normal; look angle θ at satellite. Relevance: InSAR heights/DEM are ellipsoidal, whereas mine surveying uses Baltic normal heights - datum conversion needed (not stated in source).",система/датум высот не указаны,,InSAR: высоты над эллипсоидом (WGS84?) — требуется переход к нормальным высотам маркшейдерии (переход в источнике не описан).,VKM-SRC-003,16,Рис. 1.2,EV-VN-S003-0050,coordinate_system,FACT,LITERATURE_CITED,GENERAL_METHOD,unstated,TEXT_LAYER,EXACT,HIGH,MEDIUM (метод),"The Baltic-height remark is a project note, not source content."
CDE-0004,STATE_OR_PROJECTED_CRS_MENTION;LOCAL_MINE_GRID;GEOGRAPHIC_GRATICULE,LOCAL_MINE_GRID,,,"geocoded GeoTIFF (ground coordinates, geographic lat/lon on figures)",Products geocoded from radar to ground coordinates via DEM lookup table; figures use geographic degrees (N/E). Exact CRS/datum (WGS84 presumably) not stated; relation to local mine survey coordinates (МСК/local) not given.,система/датум высот не указаны; система координат не названа,,,VKM-SRC-003,36,"§2.2, шаги 3, 13",EV-VN-S003-0127,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,unstated,TEXT_LAYER,FUZZY_81,HIGH,MEDIUM,
CDE-0005,STATE_OR_PROJECTED_CRS_MENTION;LOCAL_MINE_GRID;GEOGRAPHIC_GRATICULE;GEOREFERENCING,LOCAL_MINE_GRID,,,Geographic latitude/longitude grid labels (degrees) over Google Earth optical imagery,"Maps of Ch.3 (Рис. 3.2-3.5) carry decimal-degree graticule labels (N59.3892-N59.4036, E56.765-E56.805 in Berezniki area A/B). Datum not stated (presumably WGS84 as Google Earth). InSAR displacements are georeferenced in this geographic frame, not in the local mine survey (МСК) system.",система/датум высот не указаны,,,VKM-SRC-003,43,Рис. 3.2-3.5 grid labels,EV-VN-S003-0157,coordinate_system,FACT,DESCRIPTIVE,OTHER_VKM_SITE,site,VISUAL_READ,NOT_FOUND,MEDIUM,MEDIUM,Datum UNKNOWN (not printed). Relevant for fusing InSAR maps with mine-survey coordinates.
CDE-0006,OTHER,,,,local trough coordinate system xOy (Starobin guideline model),"Ox along face advance; Oy 90° counter-clockwise; Ox = main/longitudinal section, Oy = transverse; origin at intersection of main sections through max-subsidence point (incomplete subworking) or through the start of flat bottom on the inner boundary of the edge part (complete subworking). Dimensionless ξ=x/Lx, η=y/Ly.",,,,VKM-SRC-003,87,"§4.2.2, рис. 4.5",EV-VN-S003-0328,coordinate_system,MODEL_CHOICE,DESCRIPTIVE,OTHER_POTASH_SITE,unstated,TEXT_LAYER,EXACT,HIGH,LOW,
CDE-0007,SIGN_CONVENTION;INSAR_GEOMETRY,,,,InSAR sign conventions,"Standard interferometric convention: positive along flight and slant range (away from satellite). Author's maps: positive toward east, north and toward satellite; U_LOS sign depends on flight direction.",,,,VKM-SRC-003,101,§5.2,EV-VN-S003-0374,coordinate_system,FACT,DESCRIPTIVE,GENERAL_METHOD,unstated,OCR_VISUALLY_CONFIRMED,EXACT,HIGH,LOW,"Sign-convention differences are a known pitfall when merging InSAR products (e.g., SKRU-2 maps in Ch.3)."
CDE-0008,GEOGRAPHIC_GRATICULE;INSAR_GEOMETRY,"STATE_GEODETIC? (geographic lat/lon, datum unstated)",,,geographic latitude/longitude (degrees) on InSAR maps,"Figures 1, 2 (and later) use lat/lon graticules (с.ш./в.д.); datum not stated (WGS84 presumable for TerraSAR-X/GAMMA geocoding). Displacements are LOS (descending track 61) or 'subvertical' = LOS/cos(incidence).",система/датум высот не указаны,,,VKM-SRC-004,6,"Рис. 1, Рис. 2",EV-VN-S004-0034,coordinate_system,FACT,DESCRIPTIVE,OTHER_VKM_SITE,site,VISUAL_READ,NOT_FOUND,HIGH,LOW-MEDIUM,Datum/ellipsoid not printed -> datum UNKNOWN (WGS84 assumption would be ENGINEERING_ASSUMPTION).
CDE-0009,ABSOLUTE_ELEVATION;GEOREFERENCING,,ABSOLUTE_UNSPECIFIED,,локальная система координат расчетного профиля,"горизонталь: L, м (0-~2700) вдоль профиля СЗ↔ЮВ; вертикаль: 0-1200 без подписи единиц; отметки устьев скважин (1108,9 и др.) совпадают по порядку величины с вертикальной осью → вертикаль, вероятно, абсолютные отметки, м (не указано); привязка профиля к карте рис.2 не приведена",,,,VKM-SRC-005,2,"Рис.1, Рис.3",EV-VN-S005-0023,coordinate_system,FACT,DESCRIPTIVE,OTHER_POTASH_SITE,mine_field,VISUAL_READ,NOT_FOUND,LOW,LOW,
CDE-0010,GEOGRAPHIC_GRATICULE;MAP_SCALE_ORIENTATION,"STATE_GEODETIC? (geographic lat/lon, datum unstated)",,,"географические координаты (градусы, вероятно WGS84 — не указано) на подложке Google Earth","сетка N38.055-N38.105°, E66.335-E66.475°; масштабная линейка 2 km; метка «Dehqonobod Kali zavodi shaxtasi» (шахта Дехканабадского калийного завода); подложка Image ©2022 CNES/Airbus, ©2022 Maxar Technologies",,,,VKM-SRC-005,3,Рис.2,EV-VN-S005-0031,coordinate_system,FACT,DESCRIPTIVE,OTHER_POTASH_SITE,mine_field,VISUAL_READ,NOT_FOUND,MEDIUM,LOW,
