finding_id,stream,ext_id,finding,locator,affects,status,scope,confidence,conflict_with_local
NORM-F-001,NORMATIVE,EXTWEB-NORMATIVE-001,"До 15.05.2004 на ВКМКС действовала «Инструкция по защите рудников от затопления и охране объектов на земной поверхности от вредного влияния подземных горных разработок в условиях ВКМКС», утверждённая постановлением Госгортехнадзора России 28.12.1994 № 65; с 15.05.2004 она утратила силу.",п. 1 приказа,CC-07; mining_chronology_catalog NORMATIVE_IN_FORCE (пропущена редакция 1994); monitoring_campaigns_timeline (редакции нормативов),FACT,VKM_REGIONAL,HIGH,Y — локальная хронология (MINING §2.3) знает только 1985 (ВНИИГ) → 2004; редакция 1994 г. отсутствует
NORM-F-002,NORMATIVE,EXTWEB-NORMATIVE-001,Союзная «Инструкция по наблюдениям за сдвижением земной поверхности и за подрабатываемыми зданиями и сооружениями на калийных месторождениях» утверждена постановлением Госгортехнадзора СССР 27.03.1984 № 14 и признана недействующей в РФ с 15.05.2004.,п. 2 приказа,"PST rank 8 (CW-1846, предыдущая редакция); monitoring_campaigns_timeline; правила наблюдений на профильных линиях СКРУ-1 до 2004 г.",FACT,VKM_REGIONAL,HIGH,Y — редакция 1984 г. отсутствует в локальной хронологии нормативов наблюдений; все наблюдения СКРУ-1 до мая 2004 г. формально велись по Инструкции 1984 г.
NORM-F-003,NORMATIVE,EXTWEB-NORMATIVE-001,"Обе замещающие редакции 2004 г. — «Инструкция по наблюдениям за сдвижением земной поверхности и подрабатываемыми зданиями и сооружениями на калийных рудниках» и «Указания по защите рудников от затопления и охране подрабатываемых объектов в условиях ВКМКС (технологический регламент)» — утверждены руководством ОАО «Уралкалий» и ОАО «Сильвинит» по согласованию с Госгортехнадзором, т.е. с 2004 г. это корпоративные (недропользовательские) документы, а не федеральные нормативные акты.",преамбула приказа,"CC-07; статус доступности «Указаний» (внутренний документ, не публикуется в СПС)",FACT,VKM_REGIONAL,HIGH,N
NORM-F-004,NORMATIVE,EXTWEB-NORMATIVE-002,"ТСН 22-301-98 прямо ссылается на «Инструкцию по защите рудников от затопления и охране объектов на земной поверхности от вредного влияния подземных горных разработок в условиях ВКМКС», С.-Петербург, 1994 — независимое подтверждение существования редакции 1994 г. (изд. СПб, т.е. ВНИИГ).",раздел 2 «Нормативные ссылки»; п. 5.3,CC-07; mining_chronology_catalog NORMATIVE_IN_FORCE,FACT,VKM_REGIONAL,HIGH,Y — редакция 1994 г. отсутствует в локальной хронологии нормативов (1985 → 2004)
NORM-F-005,NORMATIVE,EXTWEB-NORMATIVE-002,Расчёт ожидаемых (вероятных) деформаций земной поверхности на ВКМКС нормативно закреплён за горными инженерами-маркшейдерами и выполняется по методике «Инструкции по защите рудников…» (1994); прогноз с указанием возможности провалов — функция ВНИИГ/АО «Галургия» в горно-геологическом обосновании строительства.,"пп. 4.3, 5.3","MONITORING_LIFECYCLE information flow (кто производит прогноз); physics: нормативный метод прогноза оседаний (typical curves) — первоисточник = Инструкция/Указания, не ТСН",FACT,VKM_REGIONAL,HIGH,N
NORM-F-006,NORMATIVE,EXTWEB-NORMATIVE-002,"Нормативные определения и единицы: оседание η (мм) — вертикальная составляющая вектора сдвижения; наклон i (мм/м) — отношение разности оседаний двух соседних точек к расстоянию между ними; кривизна K (1/км) — отношение разности наклонов соседних интервалов к полусумме их длин, R=1/K (км); относительная горизонтальная деформация ε (мм/м); горизонтальное сдвижение ξ (мм); скорости изменения ε, K и i (1/мес, 1/(м·мес), 1/мес). Знаковая конвенция (растяжение/сжатие, выпуклость/вогнутость) названа, но численные знаки в тексте не заданы.",раздел 3 «Определения»; п. 5.2,WorldSpec observation semantics (subsidence sign/units); formula catalogue: определения наклона/кривизны по реперам профильных линий,FACT,VKM_REGIONAL,HIGH,N
NORM-F-007,NORMATIVE,EXTWEB-NORMATIVE-002,"ТСН вводит 4 группы подрабатываемых территорий ВКМКС по максимальным ε, K(R), i и по скоростям их изменения (скоростные критерии — специфика ВКМ, учитывающая длительное протекание сдвижения); напр., группа I: 12≥ε>8 мм/м, 20≥i>10 мм/м, R 1–3 км; группа IV: ε≤3 мм/м, i≤5 мм/м, R≥12…20 км. Коэффициенты перегрузки n: η, ξ — 1,1(0,9); ε, i — 1,2(0,8); K — 1,4(0,6).","пп. 5.4–5.6, табл. 1–3",gap: допустимые деформации/критерии охраны объектов; не влияет на физическую модель напрямую (строительные критерии),FACT,VKM_REGIONAL,MEDIUM,N (в корпусе отсутствует); точность считывания символов неравенств в HTML-версии — MEDIUM
NORM-F-008,NORMATIVE,EXTWEB-NORMATIVE-002,"Введение ТСН констатирует, что процесс сдвижения земной поверхности на ВКМКС протекает длительное время; поэтому норматив учитывает скорость деформаций и релаксацию напряжений в грунте — нормативное признание длительного (реологического) характера оседаний на ВКМ.",Введение,"PHYSICS_CAUSAL: time-dependent subsidence (нормативное подтверждение, не измерение)",FACT,VKM_REGIONAL,HIGH,N
NORM-F-009,NORMATIVE,EXTWEB-NORMATIVE-003,"В литературе встречается выходной вариант «Указаний по защите рудников от затопления и охране подрабатываемых объектов в условиях ВКМКС» с выходными данными «Пермь-Березники, 2018. 130 с.»; объём (130 с.) совпадает с редакцией 2014 г. (введ. 30.03.2017), поэтому это, вероятнее всего, та же редакция в иной библиографической записи, а не отдельная редакция 2018 г.",список литературы,CC-07,UNKNOWN,VKM_REGIONAL,MEDIUM,Y — локальный корпус не знает варианта 2018; не считать новой редакцией без первичного подтверждения
NORM-F-010,NORMATIVE,EXTWEB-NORMATIVE-004,"Нормативные документы по защите рудников от затопления и охране подрабатываемых объектов на ВКМКС (указания и инструкции) издаются периодически, начиная с 1960 г.; во всех редакциях граничные углы принимались одинаковыми по восстанию, падению и простиранию (допущение о практически горизонтальном залегании).","Введение, с. 26",CC-07; mining_chronology_catalog NORMATIVE_IN_FORCE (редакции до 1985),FACT,VKM_REGIONAL,MEDIUM,Y — локальная хронология нормативов начинается с 1985 г.
NORM-F-011,NORMATIVE,EXTWEB-NORMATIVE-004,"Эволюция граничного угла δ0 по редакциям: «Указания» 1972 — 45° (без изменений до 1985); 1985 — 50°; «Инструкция» 1994 — 50° при C ≤ 0,4 и 50–75° по таблице от kt = η(ti)/ηm при C > 0,4; «Указания» 2004 — 50° при C ≤ 0,4, при 0,4 < C ≤ 0,7 δ0 = arcctg(0,839·kt^0,686); «Указания» 2008 — 50° при C ≤ 0,55, при 0,55 < C ≤ 0,70 δ0 = 50(1+1,334(C−0,55)), плюс формула для неполной подработки через χ = D/H; «Указания» 2014 и 2022 — фиксированное δ0 = 55° вдоль постоянных границ.",с. 26–27 (Введение),MM-SUBS-010; MM-SUBS-013; MM-SUBS-002 (Старобин 60° — аналог); FC δ0 50° vs 55°,FACT,VKM_REGIONAL,HIGH,N — снимает кажущийся конфликт 50° vs 55°: это разные редакции норматива (1985/1990-92/2008 vs 2014/2022)
NORM-F-012,NORMATIVE,EXTWEB-NORMATIVE-004,"По «Указаниям (мероприятиям)» 2022 г. угол полных сдвижений ψ = 55°; ожидаемые деформации при отсутствии наблюдений рассчитываются в точках главных сечений мульды через безразмерные функции распределения (метод типовых кривых), длина полумульды задаётся граничными углами.",с. 26 (Введение); ссылка [10],MM-SUBS-010; MM-SUBS-013,FACT,VKM_REGIONAL,HIGH,N (согласуется с VKM-SRC-012)
NORM-F-013,NORMATIVE,EXTWEB-NORMATIVE-004,"Разработчиком «Указаний (мероприятий) по защите рудников ПАО «Уралкалий» от затопления…» 2022 г. в библиографической записи назван ГИ УрО РАН (Пермь, 2022).","Список литературы, [10]",CC-07; PST rank 1 (lookup_hint: запрашивать у ПАО «Уралкалий»/ГИ УрО РАН),FACT,VKM_REGIONAL,MEDIUM,N
NORM-F-014,NORMATIVE,EXTWEB-NORMATIVE-004,"Процесс сдвижения на ВКМКС (по Нестерову, Аникину, Львовой) может иметь интенсивность от нескольких мм в год до нескольких мм в сутки и продолжительность от нескольких лет до десятилетий; фиксированный δ0 = 55° по оценке автора приемлем лишь для расчёта длины полумульды на конец процесса сдвижения, на ранней стадии (η(t)/ηm < 0,1) фактические граничные углы существенно круче (до ~88°).",с. 26; выводы с. 29–30,PHYSICS_CAUSAL time-dependence; MM-SUBS-013 (граница зоны влияния зависит от стадии процесса); observation operator для краевых реперов,FACT,VKM_REGIONAL,MEDIUM,N
NORM-F-015,NORMATIVE,EXTWEB-NORMATIVE-004,"Со ссылкой на «Правила охраны сооружений и природных объектов от вредного влияния подземных горных разработок на угольных месторождениях» (СПб., 1998, 291 с.) угловые параметры в наносах учитываются при их мощности более 5 м; на ВКМКС мощность наносов до 65 м (скв. 1018), в среднем 10,6 м.","с. 27, ссылка [18]",PST rank 125 (ПБ 07-269-98); geology (наносы) — контекст,FACT,VKM_REGIONAL,MEDIUM,N
