ext_id,stream,authors,year,title,venue_publisher,doi,url,source_type,access,is_primary_for,resolves_target,relevance,site_scope,notes
EXTWEB-NORMATIVE-001,NORMATIVE,"Госгортехнадзор России (Е.А. Иванов, статс-секретарь)",2004,Приказ Госгортехнадзора России от 29.04.2004 № 59 «Об отмене действия нормативных документов»,Госгортехнадзор России; текст в СПС ГАРАНТ (официально не опубликован),,https://base.garant.ru/2160159/ ; дубль: https://docs.cntd.ru/document/901899805 (egress blocked),normative,FULL_TEXT_READ,"Даты и реквизиты: (1) Инструкции по защите рудников от затопления ... ВКМКС, утв. пост. Госгортехнадзора России 28.12.1994 № 65 (утрата силы 15.05.2004); (2) Инструкции по наблюдениям за сдвижением ... на калийных месторождениях, утв. пост. Госгортехнадзора СССР 27.03.1984 № 14 (не действует в РФ с 15.05.2004); факт замены обеих документами 2004 г. (Инструкция по наблюдениям ... на калийных рудниках и Указания ... (технологический регламент)), утверждёнными ОАО «Уралкалий» и ОАО «Сильвинит» по согласованию с Госгортехнадзором","CC-07 (цепочка редакций); PST rank 8 (CW-1846), rank 15/25 (2004 Указания); rank 29 (1985) — косвенно",HIGH,VKM_REGIONAL,"Первичный официальный документ (федеральный надзорный орган). Устанавливает, что между ВНИИГ-1985 и 2004 существовала редакция 1994 г. в статусе «Инструкции», утверждённой Госгортехнадзором, — в локальном корпусе не зафиксирована."
EXTWEB-NORMATIVE-002,NORMATIVE,ОАО «ВНИИ Галургии» (разработчик); Главное управление архитектуры и градостроительства администрации Пермской области (утв.),1998,ТСН 22-301-98 Пермской области. Здания на подрабатываемых территориях Верхнекамского месторождения калийных солей. Назначение строительных мер защиты,"Пермь, 1998; введены приказом ГУАиГ администрации Пермской обл. от 31.08.1998 № 23, дата введения 01.09.1998",,https://files.stroyinf.ru/Data2/1/4294850/4294850011.htm (read via Firecrawl; WebFetch egress-blocked); зеркала: https://docs.cntd.ru/document/1200005635 ; https://meganorm.ru/Index2/1/4294850/4294850011.htm,normative,FULL_TEXT_READ,"Официальные определения параметров деформаций земной поверхности на ВКМКС (оседание, наклон, кривизна/радиус, отн. горизонтальная деформация, скорости деформаций) и их единицы; 4 группы подрабатываемых территорий; коэффициенты перегрузки n и условий работы m; указание, что ожидаемые деформации рассчитываются маркшейдерами по методике Инструкции по защите рудников ... (СПб, 1994)",CC-07 (подтверждение редакции 1994 г.); gap: нормативная семантика параметров деформаций для слоя observations/WorldSpec; PST rank 29/25 (цепочка редакций),HIGH,VKM_REGIONAL,"Публичный территориальный норматив (строительный), не горный. Действующий статус на 2026 г. не проверен (СПС недоступны напрямую). Не содержит самих типовых кривых/углов сдвижения — отсылает к Инструкции 1994 г."
EXTWEB-NORMATIVE-003,NORMATIVE,"Барях А.А., Губанова Е.А.",2019,О мерах охраны калийных рудников от затопления,"Записки Горного института, 2019, т. 240, с. 613–620",10.31897/PMI.2019.6.613,https://cyberleninka.ru/article/n/o-merah-ohrany-kaliynyh-rudnikov-ot-zatopleniya,article,ABSTRACT_ONLY,"Библиографический вариант «Указаний…»: «Пермь-Березники, 2018. 130 с.» (вероятно, тиражирование ред. 2014/введ. 2017; самостоятельная редакция 2018 не подтверждена)",CC-07 (вариант выходных данных),MEDIUM,VKM_REGIONAL,"Прочитаны метаданные, аннотация и список литературы (через Firecrawl query); полный текст не разбирался. Аннотация: индикаторы опасности сквозного разрушения ВЗТ — длина краевой части мульды, нормированная на глубину, и максимальное оседание (результат моделирования, не норматив)."
EXTWEB-NORMATIVE-004,NORMATIVE,Щегольков Ю.С. (ПАО «Уралкалий»),2024,Определение граничных углов процесса сдвижения земной поверхности при отработке запасов Верхнекамского месторождения калийно-магниевых солей,"Маркшейдерия и недропользование, 2024, № 6, с. 25–32",10.56195/20793332_2024_6_25_32,https://n-gn.ru/images/pdf/2024/06/25-32.pdf,article,FULL_TEXT_READ,"История нормативных значений граничного угла δ0 и угла полных сдвижений ψ по редакциям «Указаний/Инструкции» (1972, 1985, 1994, 2004, 2008, 2014, 2022); формулы δ0(kt) ред. 2004 и δ0н(χ, C) ред. 2008; указание, что ред. 2022 разработана ГИ УрО РАН; нормативные документы издаются с 1960 г.","CC-07; FC (MM-SUBS-010/013: δ0=50° vs 55°); PST rank 1, 2, 15/25, 24, 29 (содержательная сторона редакций)",HIGH,VKM_REGIONAL,"Вторичный (но авторитетный: автор — главный специалист ПАО «Уралкалий», благодарность Баряху и Тенисон) пересказ нормативов; первичные тексты «Указаний» не публичны. Также: эмпирическая модель δ0 = f(η(t)/ηm) — исследовательская (не норматив); критерии границы мульды η = 6 мм, i = 0,15·10⁻³ — по [16] Щегольков 2024 №3 (не норматив)."
EXTWEB-NORMATIVE-005,NORMATIVE,Щегольков Ю.С. (ПАО «Уралкалий»),2025,Оценка величин углов полных сдвижений и углов максимальных оседаний в условиях отработки запасов Верхнекамского месторождения калийно-магниевых солей,"Маркшейдерия и недропользование, 2025, т. 25, № 1, с. 61–70",10.56195/2079-3332-2025-25-1-61-70,https://n-gn.ru/images/pdf/2025/01/61-70.pdf,article,PARTIAL_TEXT_QUERY,"История нормативных значений ψ (угол полных сдвижений) и θ (угол максимальных оседаний) в «Указаниях/Инструкциях» ВКМКС 1960–2022; критерий полной/неполной подработки χ = D/H vs 2ctgψ = 1,4; структура ред. 2022 (Ч. 1 Основные положения; Ч. 2 Методические рекомендации; ГИ УрО РАН)",CC-07; MM-SUBS-010; MM-SUBS-013; MM-SUBS-019 (условие неполной подработки),HIGH,VKM_REGIONAL,"Текст прочитан через Firecrawl (query-режим, ключевые предложения получены в режиме directQuote). Номера страниц из query-ответа ненадёжны — локаторы даны по разделам. Эмпирическая зависимость ψ = 41,8·Cm + 32,6 — исследовательская (не норматив)."
EXTWEB-NORMATIVE-006,NORMATIVE,не отображены в выдаче (докторская диссертация по ГДЯ в калийных рудниках),n.d.,"Газодинамические явления в калийных рудниках: генезис, прогноз и управление (дисс., спец. ВАК 05.15.11)",dissercat.com (карточка диссертации),,https://www.dissercat.com/content/gazodinamicheskie-yavleniya-v-kaliinykh-rudnikakh-genezis-prognoz-i-upravlenie,dissertation,METADATA_ONLY,"Нет (вторичная библиографическая ссылка): упоминание «Специальных мероприятий … в условиях газового режима», Пермь–Березники, 1993",CC-06 (частично: существование ред. 1993); PST rank 47 (CW-0068),LOW,VKM_REGIONAL,Видна только выдача WebSearch + машинная сводка (LEAD). Даты 29.04.1983 / 29.12.1983 не подтверждены и не опровергнуты. Страница dissercat не открывалась (не пробовалась из-за политики egress).
EXTWEB-NORMATIVE-007,NORMATIVE,Госгортехнадзор России; разработчик ВНИМИ (Межотраслевой научный центр),1998,ПБ 07-269-98. Правила охраны сооружений и природных объектов от вредного влияния подземных горных разработок на угольных месторождениях (утв. пост. Госгортехнадзора России от 16.03.1998 № 13),"Госгортехнадзор России; СПб: ВНИМИ, 1998 (изд.)",,https://www.consultant.ru/document/cons_doc_LAW_238226/ ; http://docs.cntd.ru/document/1200029691 ; https://meganorm.ru/Data2/1/4293834/4293834132.htm,normative,METADATA_ONLY,"Реквизиты угольных «Правил охраны» (на них ссылается Щегольков 2024 [18]; через VKM-SRC-038 — MM-OBS-002); сведения о предшествующей редакции (утв. 1979, изд. 1981) — только LEAD",PST rank 125 (CW-0086); задача «Правила охраны … ВНИМИ 1981/1998/2008»,MEDIUM,other,"Реквизиты взяты из заголовков выдачи (consultant/cntd). Дата введения 01.10.1998, замена «Правил, утверждённых в 1979 г.» и статус «действует» — только машинная сводка (LEAD, LOW). Редакция 2008 г. поиском не найдена. Норматив угольный: для ВКМКС — только общий метод (не значения)."
EXTWEB-NORMATIVE-008,NORMATIVE,Ростехнадзор,2020,Приказ Ростехнадзора от 08.12.2020 № 505 «Об утверждении ФНиП в области промышленной безопасности „Правила безопасности при ведении горных работ и переработке твердых полезных ископаемых“»,Официальное опубликование: publication.pravo.gov.ru 0001202012220071; зарег. Минюстом России 21.12.2020 № 61651,,http://publication.pravo.gov.ru/Document/View/0001202012220071 ; https://normativ.kontur.ru/document?moduleId=1&documentId=505926 ; https://sudact.ru/law/prikaz-rostekhnadzora-ot-08122020-n-505-ob/federalnye-normy-i-pravila-v/ ; https://base.garant.ru/400102700/,normative,METADATA_ONLY,Реквизиты действующих ФНиП по безопасности горных работ (событие NORMATIVE_IN_FORCE 2020 в mining_chronology_catalog); наличие раздела о месторождениях калийно-магниевой и каменной солей,"MINING §2.3 (2020, ФНиП № 505); задача «Правила безопасности … калийных месторождений»",MEDIUM,other,"Федеральный документ (не ВКМ-специфичный), но содержит раздел о соляных месторождениях. Рег. номер Минюста и «ред. от 24.03.2026» — из заголовков выдачи (sudact/kontur). Вступление 01.01.2021 и срок до 01.01.2027 — машинная сводка (LEAD). Текст раздела о солях не прочитан (legalacts.ru — EGRESS_BLOCKED; consultant/garant/cntd — заблокированы)."
EXTWEB-NORMATIVE-009,NORMATIVE,Ростехнадзор,2013,"ФНиП «Правила безопасности при ведении горных работ и переработке твердых полезных ископаемых» (Приказ Ростехнадзора № 599), раздел «Требования безопасности к разработке месторождений калийно-магниевой и каменной солей»",КонсультантПлюс (cons_doc_LAW_165992),,https://www.consultant.ru/document/cons_doc_LAW_165992/3847442a74071dbb59fbb2a8c2de72fdf2383b64/,normative,METADATA_ONLY,Существование специального раздела о соляных (калийно-магниевых) месторождениях в предшествующей редакции ФНиП (№ 599),"задача «Правила безопасности … калийных месторождений»; PST rank 190 (ПБ 03-553-03, предшественник) — косвенно",LOW,other,"Найдено в первой сессии (Q4) и повторно в R-Q7; виден только заголовок раздела. Содержание пунктов (ВЗТ, рассолопроявления, наблюдения) не прочитано."
EXTWEB-NORMATIVE-010,NORMATIVE,ОАО «Галургия» (составитель); отв. ред. Соловьев В.А. (по корпусной записи),2011,Методическое руководство по ведению горных работ на рудниках ОАО «Сильвинит»,"Новосибирск: Наука, 2011, 487 с.",,https://books.google.ru/books/about/?id=LuqZkgEACAAJ,monograph,METADATA_ONLY,Существование и выходные данные «Руководства ОАО «Сильвинит»» 2011 г. (событие NORMATIVE_IN_FORCE 2011),PST rank 23 (CW-0010); MINING §2.3 (2011),MEDIUM,VKM_REGIONAL,"Google Books: только карточка (издательство, год, 487 с.; аннотация — обобщение научных и проектных разработок по добыче калийно-магниевых солей на ВКМ; по машинной сводке). Главы о ВЗТ/сдвижении не проверены. Относится к рудникам «Сильвинита», в т.ч. СКРУ-1 (в 1983–2011 — в составе ПО/ОАО «Сильвинит»)."
