target,ext_id,stream,access,title,year
CC-07 (цепочка редакций),EXTWEB-NORMATIVE-001,NORMATIVE,FULL_TEXT_READ,Приказ Госгортехнадзора России от 29.04.2004 № 59 «Об отмене действия нормативных документов»,2004
PST rank 8 (CW-1846),EXTWEB-NORMATIVE-001,NORMATIVE,FULL_TEXT_READ,Приказ Госгортехнадзора России от 29.04.2004 № 59 «Об отмене действия нормативных документов»,2004
rank 15/25 (2004 Указания),EXTWEB-NORMATIVE-001,NORMATIVE,FULL_TEXT_READ,Приказ Госгортехнадзора России от 29.04.2004 № 59 «Об отмене действия нормативных документов»,2004
rank 29 (1985) — косвенно,EXTWEB-NORMATIVE-001,NORMATIVE,FULL_TEXT_READ,Приказ Госгортехнадзора России от 29.04.2004 № 59 «Об отмене действия нормативных документов»,2004
CC-07 (подтверждение редакции 1994 г.),EXTWEB-NORMATIVE-002,NORMATIVE,FULL_TEXT_READ,ТСН 22-301-98 Пермской области. Здания на подрабатываемых территориях Верхнекамского месторождения калийных солей. Назначение строительных мер защиты,1998
PST rank 29/25 (цепочка редакций),EXTWEB-NORMATIVE-002,NORMATIVE,FULL_TEXT_READ,ТСН 22-301-98 Пермской области. Здания на подрабатываемых территориях Верхнекамского месторождения калийных солей. Назначение строительных мер защиты,1998
gap: нормативная семантика параметров деформаций для слоя observations/WorldSpec,EXTWEB-NORMATIVE-002,NORMATIVE,FULL_TEXT_READ,ТСН 22-301-98 Пермской области. Здания на подрабатываемых территориях Верхнекамского месторождения калийных солей. Назначение строительных мер защиты,1998
CC-07 (вариант выходных данных),EXTWEB-NORMATIVE-003,NORMATIVE,ABSTRACT_ONLY,О мерах охраны калийных рудников от затопления,2019
15/25,EXTWEB-NORMATIVE-004,NORMATIVE,FULL_TEXT_READ,Определение граничных углов процесса сдвижения земной поверхности при отработке запасов Верхнекамского месторождения калийно-магниевых солей,2024
2,EXTWEB-NORMATIVE-004,NORMATIVE,FULL_TEXT_READ,Определение граничных углов процесса сдвижения земной поверхности при отработке запасов Верхнекамского месторождения калийно-магниевых солей,2024
24,EXTWEB-NORMATIVE-004,NORMATIVE,FULL_TEXT_READ,Определение граничных углов процесса сдвижения земной поверхности при отработке запасов Верхнекамского месторождения калийно-магниевых солей,2024
29 (содержательная сторона редакций),EXTWEB-NORMATIVE-004,NORMATIVE,FULL_TEXT_READ,Определение граничных углов процесса сдвижения земной поверхности при отработке запасов Верхнекамского месторождения калийно-магниевых солей,2024
CC-07,EXTWEB-NORMATIVE-004,NORMATIVE,FULL_TEXT_READ,Определение граничных углов процесса сдвижения земной поверхности при отработке запасов Верхнекамского месторождения калийно-магниевых солей,2024
FC (MM-SUBS-010/013: δ0=50° vs 55°),EXTWEB-NORMATIVE-004,NORMATIVE,FULL_TEXT_READ,Определение граничных углов процесса сдвижения земной поверхности при отработке запасов Верхнекамского месторождения калийно-магниевых солей,2024
PST rank 1,EXTWEB-NORMATIVE-004,NORMATIVE,FULL_TEXT_READ,Определение граничных углов процесса сдвижения земной поверхности при отработке запасов Верхнекамского месторождения калийно-магниевых солей,2024
CC-07,EXTWEB-NORMATIVE-005,NORMATIVE,PARTIAL_TEXT_QUERY,Оценка величин углов полных сдвижений и углов максимальных оседаний в условиях отработки запасов Верхнекамского месторождения калийно-магниевых солей,2025
MM-SUBS-010,EXTWEB-NORMATIVE-005,NORMATIVE,PARTIAL_TEXT_QUERY,Оценка величин углов полных сдвижений и углов максимальных оседаний в условиях отработки запасов Верхнекамского месторождения калийно-магниевых солей,2025
MM-SUBS-013,EXTWEB-NORMATIVE-005,NORMATIVE,PARTIAL_TEXT_QUERY,Оценка величин углов полных сдвижений и углов максимальных оседаний в условиях отработки запасов Верхнекамского месторождения калийно-магниевых солей,2025
MM-SUBS-019 (условие неполной подработки),EXTWEB-NORMATIVE-005,NORMATIVE,PARTIAL_TEXT_QUERY,Оценка величин углов полных сдвижений и углов максимальных оседаний в условиях отработки запасов Верхнекамского месторождения калийно-магниевых солей,2025
CC-06 (частично: существование ред. 1993),EXTWEB-NORMATIVE-006,NORMATIVE,METADATA_ONLY,"Газодинамические явления в калийных рудниках: генезис, прогноз и управление (дисс., спец. ВАК 05.15.11)",n.d.
PST rank 47 (CW-0068),EXTWEB-NORMATIVE-006,NORMATIVE,METADATA_ONLY,"Газодинамические явления в калийных рудниках: генезис, прогноз и управление (дисс., спец. ВАК 05.15.11)",n.d.
PST rank 125 (CW-0086),EXTWEB-NORMATIVE-007,NORMATIVE,METADATA_ONLY,ПБ 07-269-98. Правила охраны сооружений и природных объектов от вредного влияния подземных горных разработок на угольных месторождениях (утв. пост. Госгортехнад,1998
задача «Правила охраны … ВНИМИ 1981/1998/2008»,EXTWEB-NORMATIVE-007,NORMATIVE,METADATA_ONLY,ПБ 07-269-98. Правила охраны сооружений и природных объектов от вредного влияния подземных горных разработок на угольных месторождениях (утв. пост. Госгортехнад,1998
MINING §2.3 (2020,EXTWEB-NORMATIVE-008,NORMATIVE,METADATA_ONLY,Приказ Ростехнадзора от 08.12.2020 № 505 «Об утверждении ФНиП в области промышленной безопасности „Правила безопасности при ведении горных работ и переработке т,2020
ФНиП № 505),EXTWEB-NORMATIVE-008,NORMATIVE,METADATA_ONLY,Приказ Ростехнадзора от 08.12.2020 № 505 «Об утверждении ФНиП в области промышленной безопасности „Правила безопасности при ведении горных работ и переработке т,2020
задача «Правила безопасности … калийных месторождений»,EXTWEB-NORMATIVE-008,NORMATIVE,METADATA_ONLY,Приказ Ростехнадзора от 08.12.2020 № 505 «Об утверждении ФНиП в области промышленной безопасности „Правила безопасности при ведении горных работ и переработке т,2020
PST rank 190 (ПБ 03-553-03,EXTWEB-NORMATIVE-009,NORMATIVE,METADATA_ONLY,"ФНиП «Правила безопасности при ведении горных работ и переработке твердых полезных ископаемых» (Приказ Ростехнадзора № 599), раздел «Требования безопасности к р",2013
