obs_id,unit_id,unit_name_canonical,unit_as_printed,abbrev_as_printed,source_id,pdf_page,printed_page,locator,vn_id,existing_evidence_ids,record_kind,scope,site_as_printed,spatial_level,observation_type,thickness_as_printed,thickness_min_m,thickness_max_m,thickness_mean_m,numeric_parse,above_as_printed,below_as_printed,lithology_as_printed,status,evidence_type,extraction_method,quote_check,confidence,transferability_to_SKRU1,notes
STO-0001,FN_VZT,Водозащитная толща (ВЗТ),водозащитная толща (ВЗТ),ВЗТ,VKM-SRC-003,31,31,§2.1,EV-VN-S003-0102,,stratigraphic_unit,VKM_REGIONAL,,unstated,DEFINITION,,,,,NONE,подошва водоносного горизонта,кровля отрабатываемого пласта,водонепроницаемые породы,FACT,LITERATURE_CITED,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),Functional (not stratigraphic) definition; no thickness given here.
STO-0002,EXTERNAL,,"разрез модели Тюбегатана (рис.1): четвертичные (Q) → нижнемеловые терригенные K1al?, K1ldg, K1okz, K1kzt2, K1kzt1, K1alm2, K1alm1, K1krb2 → J3krb1 → (кровля ВЗТ) → J3gd2 → J3gd1",Q; K1al; K1ldg; K1okz; K1kzt2; K1kzt1; K1alm1; K1alm2; K1krb2; J3krb1; J3gd2; J3gd1,VKM-SRC-005,2,40,Рис.1,EV-VN-S005-0020,,stratigraphic_unit,OTHER_POTASH_SITE,"Тюбегатанское месторождение, северная часть (участок отработки пласта Нижний II)",mine_field,EXTERNAL_SITE_UNIT,не указаны (только графически),,,,NONE,,,"«Терригенные отложения» (верх), «Соляные отложения» (низ) — подписи оси",FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,MEDIUM,NOT_TRANSFERABLE (иное месторождение; только аналог/метод),"Единица другого месторождения — в колонку ВКМ не входит | Кровля ВЗТ (синяя линия) проходит внутри толщи ниже J3krb1; пласт Нижний II (пунктир) — в пределах J3gd2 (визуально). Индексы прочитаны визуально, часть (K1al?) неразборчива."
STO-0003,VKD,Кудымкарская свита (венд),Кудымкарская свита валдайской серии вендского комплекса,Vkd,VKM-SRC-011,7,12-13,§1.2,EV-VN-S011-0047,,stratigraphic_unit,VKM_REGIONAL,Vkd,geological_element,AS_PRINTED_TEXT,вскрытая 342,,,,NONE,Devonian D2 (with hiatus),(basement of section),"алевролиты неравномерно глинистые, ангидритизированные, с обугленными растительными остатками; аргиллиты слюдистые; песчаники кварцевые мелкозернистые",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0004,D2,Средний девон (терригенный),"Средний девон (эйфельский, живетский ярусы), терригенная толща",D2,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0048,,stratigraphic_unit,VKM_REGIONAL,D2,geological_element,RANGE,10–75,10.0,75.0,,REGEX,D3f terr.,Vkd,"алевролиты, песчаники, аргиллиты пестроцветные; переслаивание",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0005,D3F_T,"Франский ярус, терригенная пачка","Франский ярус, терригенная пачка (пашийский и низы тиманского горизонтов)",D3f (терр.),VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0049,,stratigraphic_unit,VKM_REGIONAL,D3f (терр.),geological_element,RANGE,6–30,6.0,30.0,,REGEX,D3f карбонатная часть,D2,"алевролиты, песчаники кварцевые, аргиллиты; кровля = ОГ III",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_61,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0006,D3F,"Франский ярус, карбонатная часть","Франский ярус, карбонатная часть (рифовый и межрифовый типы)",D3f,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0050,,stratigraphic_unit,VKM_REGIONAL,D3f,geological_element,RANGE,95–405,95.0,405.0,,REGEX,D3fm,D3f (терр.),"известняки, доломиты; рифовый (склоновый, гребневый, платформенно-лагунный подтипы) и межрифовый типы; нефтенасыщенность в гребневом подтипе",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0007,D3FM,Фаменский ярус,Фаменский ярус,D3fm,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0051,,stratigraphic_unit,VKM_REGIONAL,D3fm,geological_element,RANGE,70–210,70.0,210.0,,REGEX,C1t,D3f,"карбонатный, рифовый/межрифовый типы",FACT,DESCRIPTIVE,TEXT_LAYER,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0008,C1T,Турнейский ярус,Турнейский ярус,C1t,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0052,,stratigraphic_unit,VKM_REGIONAL,C1t,geological_element,RANGE,0–270,0.0,270.0,,REGEX,C1v,D3fm,"доманиковый тип внизу; известняки 40%, аргиллиты 60% (межрифовый тип); отсутствует/редуцирован на рифах",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0009,C1V_T,"Визейский ярус, терригенная пачка","Визейский ярус, терригенная пачка",C1v (терр.),VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0053,,stratigraphic_unit,VKM_REGIONAL,C1v (терр.),geological_element,RANGE,10–90,10.0,90.0,,REGEX,C1v-s карбонатная часть,C1t,"аргиллиты, алевролиты, песчаники с углистыми остатками; кровля = ОГ II",FACT,DESCRIPTIVE,TEXT_LAYER,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0010,C1VS,Верхневизейский + серпуховский ярусы (карбонатные),"Верхневизейский + серпуховский ярусы, карбонатная часть",C1v-s,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0054,,stratigraphic_unit,VKM_REGIONAL,C1v-s,geological_element,RANGE,110–530,110.0,530.0,,REGEX,C2b,C1v (терр.),"известняки, доломиты вторичные с желваками ангидрита и кремня",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
