unit_id,name_ru,abbrev,rank,parent_unit,order_index,global_order_top_down,tree_depth,functional,grouping_type,lithology,age_as_printed,aliases,thickness_ranges_by_source_as_printed,n_observation_rows,n_sources,source_ids,vn_ids,scopes_of_evidence,skru1_specific_rows,skru1_specific_note,status,scope,confidence,notes
CX_MZKZ,Мезозойско-кайнозойский покров,Q+N+Pg+K,complex,,0,0,0,FALSE,LITHOSTRAT,"рыхлые четвертичные; локально неоген (пра-Кама), палеоген(?), мел (Дуринский прогиб)",KZ; MZ (локально),,VKM-SRC-037 p.6 [VKM_REGIONAL; FACT]: (толщина не указана) (EV-VN-S037-0054) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: KZ до 80 (текст) (EV-VN-S040-0032) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: KZ 0-50 (рис.1.2) (EV-VN-S040-0032),3,2,VKM-SRC-037;VKM-SRC-040,EV-VN-S037-0054;EV-VN-S040-0032,VKM_REGIONAL:3,0,нет SKRU-1-специфичных данных о мощности,MODEL_CHOICE,PROJECT,MEDIUM,"Группировка проекта (MODEL_CHOICE) для отложений выше пермских; в источниках — «кайнозой», «мезозой–кайнозой (локально)»."
CX_P_OVERBURDEN,Надсолевые пермские отложения (над ПКС),ПЦТ+ТКТ+СМТ,complex,,1,5,0,FALSE,LITHOSTRAT,"терригенные, карбонатные, сульфатные, мергели; соленосная переходная пачка в основании",P1šš+P1sl | P2 (старые схемы),,,0,0,,,,0,нет SKRU-1-специфичных данных о мощности,MODEL_CHOICE,PROJECT,N/A,Группировка проекта (MODEL_CHOICE): пермские породы между кайнозоем и кровлей ПКС. Термин «надсолевая толща» в источниках определяется по-разному (см. FN_NADSOL_*).
CX_SALT,Соляная толща,P1br2–P1br4,complex,,2,15,0,FALSE,LITHOSTRAT,"каменная соль, сильвинит, карналлитовая порода; глинисто-ангидритовые прослои",P1br2-4 | P1ir2 (SRC-020) | P1k2ir2 (SRC-037),соляная залежь; salt stratum; соляная толща ВКМКС,VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: до 550 (EV-VN-S011-0124) || VKM-SRC-011 p.174 [VKM_REGIONAL; FACT]: up to 550 (EV-VN-S011-3821) || VKM-SRC-014 p.12 [VKM_REGIONAL; FACT]: up to 550 (EV-VN-S014-0118) || VKM-SRC-020 p.5 [VKM_REGIONAL; FACT]: (толщина не указана) (EV-VN-S020-0011) || VKM-SRC-014 p.12 [VKM_REGIONAL; FACT]: до 550 м (EV-VN-S014-0119),5,3,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020,EV-VN-S011-0124;EV-VN-S011-3821;EV-VN-S014-0118;EV-VN-S014-0119;EV-VN-S020-0011,VKM_REGIONAL:5,0,нет SKRU-1-специфичных данных о мощности,MODEL_CHOICE,PROJECT,HIGH,"ПдКС + калийная залежь + ПКС (VKM-SRC-011, -014, -040). До 550 м (SRC-011/014)."
CX_SUBSALT,Подсолевые отложения (ниже соляной толщи),ГАТ…V,complex,,3,94,0,FALSE,LITHOSTRAT,"глинисто-ангидритовые, сульфатно-карбонатные, карбонатные, терригенные",P1br1 … Vkd,,,0,0,,,,0,нет SKRU-1-специфичных данных о мощности,MODEL_CHOICE,PROJECT,N/A,Группировка проекта (MODEL_CHOICE). Для рудничного 3D-мира значима прежде всего ГАТ (нижняя граница соляной толщи); остальное — региональный контекст.
Q,Четвертичные отложения,Q,formation,CX_MZKZ,0,1,1,FALSE,LITHOSTRAT,"глины, суглинки, супеси, пески, галечники, торф; аллювий, озёрно-аллювиальные, эоловые, перигляциальные, флювиогляциальные",Q,четвертичные; Quaternary; четв. отл.; aQ,"VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: (толщина не указана) (EV-VN-S011-0121) || VKM-SRC-011 p.37 [VKM_REGIONAL; FACT]: not given (EV-VN-S011-0692) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: up to 80 (EV-VN-S011-3838) || VKM-SRC-012 p.63 [VKM_REGIONAL; FACT]: see Table 3.1 picks (no ranges stated in text) (EV-VN-S012-0297) || VKM-SRC-014 p.15 [VKM_REGIONAL; FACT]: mean 10.3 (EV-VN-S014-0162) || VKM-SRC-023 p.29 [VKM_REGIONAL; FACT]: Q: 1.5-10, up to 80 in over-deepened zones (EV-VN-S023-0125) || VKM-SRC-037 p.6 [VKM_REGIONAL; FACT]: 0,7–28 (в среднем 10) (EV-VN-S037-0055) || VKM-SRC-018 p.7 [OTHER_VKM_SITE; FACT]: 6-10 и более (EV-VN-S018-0040) || VKM-SRC-018 p.7 [OTHER_VKM_SITE; FACT]: 4-6 (EV-VN-S018-0041) || VKM-SRC-018 p.7 [OTHER_VKM_SITE; FACT]: 3-4 и менее (EV-VN-S018-0042) || VKM-SRC-011 p.131 [SKRU1; FACT]: Q (четвертичные): кровля 174.4 / подошва 137 м абс. (график, ±3–5 м) (EV-VN-S011-2093) || VKM-SRC-011 p.131 [SKRU1; INTERPOLATION]: Q: кровля 160.8 / подошва 150 м абс. (график, ±3–5 м) (EV-VN-S011-2094)",12,6,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-018;VKM-SRC-023;VKM-SRC-037,EV-VN-S011-0121;EV-VN-S011-0692;EV-VN-S011-2093;EV-VN-S011-2094;EV-VN-S011-3838;EV-VN-S012-0297;EV-VN-S014-0162;EV-VN-S018-0040;EV-VN-S018-0041;EV-VN-S018-0042;EV-VN-S023-0125;EV-VN-S037-0055,VKM_REGIONAL:7; OTHER_VKM_SITE:3; SKRU1:2,2,VKM-SRC-011 p.131 ELEVATION_INTERVAL_GRAPH,FACT,VKM_REGIONAL,HIGH,
NG,Неогеновые отложения (пра-Кама),N,formation,CX_MZKZ,1,2,1,FALSE,LITHOSTRAT,терригенные (заполнение переуглублений палеодолин),N (верхний миоцен по SRC-011),неоген; неоген пра-Камы; Pg–N (гидростратиграфически),VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: неоген (верхний миоцен) 20–36 м в переуглублениях палеорусла Пракамы (EV-VN-S011-0120) || VKM-SRC-011 p.37 [VKM_REGIONAL; FACT]: not given (EV-VN-S011-0693),2,1,VKM-SRC-011,EV-VN-S011-0120;EV-VN-S011-0693,VKM_REGIONAL:2,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,LOW,"Локально, в переуглублениях (SRC-011 p.9; SRC-037 p.6)."
PG,Палеогеновые отложения (?),Pg(?),formation,CX_MZKZ,2,3,1,FALSE,LITHOSTRAT,не описана,Pg (?),палеоген (?),"VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: Палеоген (?) до 17,4 м (сев. Дуринская площадь) (EV-VN-S011-0120)",1,1,VKM-SRC-011,EV-VN-S011-0120,VKM_REGIONAL:1,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,LOW,"«Палеоген (?)» до 17,4 м на сев. Дуринской площади (SRC-011 p.9) — со знаком вопроса у автора."
K_LOCAL,"Меловые отложения (Дуринский прогиб, локально)",K,formation,CX_MZKZ,3,4,1,FALSE,LITHOSTRAT,не описана,K,меловые,,0,0,,,,0,нет SKRU-1-специфичных данных о мощности,FACT_BY_REFERENCE,VKM_REGIONAL,N/A,Только упоминание (SRC-037 p.6). Не в районе СКРУ-1 по источнику.
P2BL,Белебеевская свита (только рис. 1.2 SRC-040),P2bl,formation,CX_P_OVERBURDEN,0,6,1,FALSE,LITHOSTRAT,глины; мергели и известняки — в виде включений и прослоев,P2bl (казанский ярус по рис. 1.2 SRC-040),,VKM-SRC-040 p.12 [VKM_REGIONAL; FACT]: 2-275 (рис.1.2) (EV-VN-S040-0033),1,1,VKM-SRC-040,EV-VN-S040-0033,VKM_REGIONAL:1,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,LOW,Выделена только на рис. 1.2 VKM-SRC-040 (2–275 м); в тексте источников не описана. Статус в разрезе района СКРУ-1 — UNKNOWN.
PCT,Пестроцветная толща (шешминская свита),ПЦТ,formation,CX_P_OVERBURDEN,1,7,1,FALSE,LITHOSTRAT,"бурые, зеленовато-серые, серые песчаники и алевролиты с тонкими прослоями мергелей и известняков; медистые песчаники, гипсовые прожилки","P1šš | P2ss (SRC-020 рис.1.3, интерпретация) | P2u2s (SRC-037)",ПЦТ; шешминская свита; шешминские отложения; шешминский терригенный комплекс; Sheshminskaya suite; variegated stratum; P1šš; P2ss,"VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: (толщина не указана) (EV-VN-S011-0119) || VKM-SRC-011 p.30 [VKM_REGIONAL; FACT]: strongly variable; high thickness gradients along Durinsky fault bundles (EV-VN-S011-0546) || VKM-SRC-011 p.37 [VKM_REGIONAL; FACT]: not given here; water-bearing layers most frequent to depth 60–80 м (EV-VN-S011-0694) || VKM-SRC-011 p.62 [VKM_REGIONAL; FACT]: 395 m (651), 353 (209а), 401 (665), 449 (449), 675 max (521); skv. 450 on Gulinsky axis drilled 669 m of ПЦТ without reaching base (EV-VN-S011-1271) || VKM-SRC-011 p.66 [VKM_REGIONAL; FACT]: max along trough axis: 936 133; 853 259; 289 244,7; 7-ОГН 244; 859 143,2 m; thins to zero as salt top rises (EV-VN-S011-1392) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: up to 675 (EV-VN-S011-3837) || VKM-SRC-012 p.63 [VKM_REGIONAL; FACT]: see Table 3.1 picks (no ranges stated in text) (EV-VN-S012-0298) || VKM-SRC-014 p.15 [VKM_REGIONAL; FACT]: up to 74.3 (EV-VN-S014-0161) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: см. p6 (EV-VN-S037-0051) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 0-675 (текст) (EV-VN-S040-0032) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 0-350 (рис.1.2) (EV-VN-S040-0032) || VKM-SRC-037 p.6 [VKM_REGIONAL; FACT]: 150—200 (в среднем); >500 на Дуринском прогибе (EV-VN-S037-0053) || VKM-SRC-011 p.131 [SKRU1; INTERPOLATION]: ПЦТ (P1šš): кровля 150 / подошва 125 м абс. (график, ±3–5 м) (EV-VN-S011-2094)",13,5,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-037;VKM-SRC-040,EV-VN-S011-0119;EV-VN-S011-0546;EV-VN-S011-0694;EV-VN-S011-1271;EV-VN-S011-1392;EV-VN-S011-2094;EV-VN-S011-3837;EV-VN-S012-0298;EV-VN-S014-0161;EV-VN-S037-0051;EV-VN-S037-0053;EV-VN-S040-0032,VKM_REGIONAL:12; SKRU1:1,1,VKM-SRC-011 p.131 ELEVATION_INTERVAL_GRAPH,FACT,VKM_REGIONAL,HIGH,Развита не повсеместно; к северу от широты Соликамска фрагментарна (SRC-011 p.37).
