conflict_id,topic,unit_ids,competing_values_as_printed,nature,vn_ids,resolution_status,recommendation,visual_recheck
CF-STR-001,Общая мощность ПдКС,PDKS,"SRC-011 p.12: 0–515, ср. ~330 | SRC-011 p.101: 330 [106] | SRC-025 p.10: до 400 | SRC-020 p.5: 151,5–398,2, ср. 310 | SRC-040 рис.1.2: 50–515 | SRC-023 p.30 [17]: <50 (периферия)–515 (центр), ср. 330 | SRC-037 p.4: в среднем 300 | колонки SRC-025 рис.1.3 / SRC-037 рис.1.2: 25,0 + 2,0 + 260,0",DATA_CONFLICT + SUPPORT_DIFFERENCE (разные площади/выборки; колонка — схематичный средний разрез),EV-VN-S011-0219;EV-VN-S011-1713;EV-VN-S025-0062;EV-VN-S020-0012;EV-VN-S040-0024;EV-VN-S023-0128;EV-VN-S037-0031;EV-VN-S025-0102;EV-VN-S025-0103;EV-VN-S025-0104;EV-VN-S037-0037,UNRESOLVED,Хранить как дискретный набор/диапазоны по источникам; для района СКРУ-1 — UNKNOWN (нет отбивок подошвы ПдКС в корпусе для СКРУ-1).,
CF-STR-002,Мощность карналлитовой (сильвинито-карналлитовой) пачки,KP,"SRC-011 p.13: 38–80, ср. 53,8 | SRC-011 p.175 (англ.): 38–80, ср. ~55 | SRC-014 p.14: 13–122, ср. ~70 | SRC-020 p.7: преимущественно 50–85 | SRC-037 p.5: 60 | SRC-040 текст: 38–80 ср. 53,8; рис.1.2: 30–125 | SRC-025 p.10: 42 (сильвинитовый состав) – 64 (карналлитовый) | SRC-011/SRC-023 колонка: 54 | Дуринская пл.: max 84 | SRC-012 грид PKS_CZ (СКРУ-1–СКРУ-2): 14,87–59,10 или CZ_SZ 52,31–96,11 (атрибуция UNRESOLVED)","DATA_CONFLICT + DEFINITIONAL (границы пачки, способ осреднения) + SUPPORT_DIFFERENCE",EV-VN-S011-0235;EV-VN-S011-3832;EV-VN-S014-0154;EV-VN-S020-0081;EV-VN-S037-0042;EV-VN-S040-0028;EV-VN-S025-0062;EV-VN-S011-0126;EV-VN-S011-1183;EV-VN-S012-0364;EV-VN-S012-0366,UNRESOLVED,"Не усреднять; для 3D-мира СКРУ-1 — локальные отбивки (Табл. 3.1 SRC-012, стволы) в локальной фазе; региональные числа — только prior-диапазон.",
CF-STR-003,Мощность сильвинитовой пачки/зоны,SP,"SRC-011: 3,3–30, ср. 17,4 | SRC-020: 15–25 | SRC-025: ср. 21 | SRC-037: в среднем 20 | SRC-040 рис.1.2: 10–40 | колонка SRC-011/023: 17,5 | Дуринская пл.: max 40,3 | SRC-012 грид SZ_PDKS 13,44–41,63 или CZ_SZ (UNRESOLVED)",DATA_CONFLICT (умеренное) + SUPPORT_DIFFERENCE,EV-VN-S011-0229;EV-VN-S020-0014;EV-VN-S020-0080;EV-VN-S025-0062;EV-VN-S037-0033;EV-VN-S040-0027;EV-VN-S011-0126;EV-VN-S011-1183;EV-VN-S012-0368,UNRESOLVED,"Хранить все значения; средние 17,4–21 м — региональные.",
CF-STR-004,Мощность СМТ (и включение ПП),SMT;PP,"SRC-011: 15–160, ср. ≈100 (ПП — нижняя часть СМТ) | SRC-014 p.15: 38–190 + ПП 2–37 | SRC-037: в среднем 110 (общая) | SRC-040: текст 15–160 ср. ~100; рис.1.2 70–150 + ПП 10–25 | колонка SRC-011 рис.1.6/SRC-023 рис.7: СМТ 80 + ПП 20 | SRC-020 «переходная зона (СМТ)» 15–58 | SRC-012 грид SMT_PP 65,71–123,83 (подписан «ПП») | SRC-012 грид Q_SMT 32,65–221,26 (подписан «СМТ», фактически глубина кровли СМТ)",DEFINITIONAL (СМТ с ПП или без) + DATA_CONFLICT + LABEL_ERROR (SRC-012),EV-VN-S011-0277;EV-VN-S014-0159;EV-VN-S037-0048;EV-VN-S040-0030;EV-VN-S011-0126;EV-VN-S023-0131;EV-VN-S020-0087;EV-VN-S012-0360;EV-VN-S012-0346;EV-VN-S012-0403,UNRESOLVED,В 3D-мире вести СМТнс и ПП отдельными интервалами с явным флагом определения; «СМТ» без уточнения — неоднозначно.,
CF-STR-005,Мощность переходной пачки ПП,PP,"SRC-011: до 88 (скв. 179), ср. 20 | SRC-014: 2–37 | SRC-040 рис.1.2: 10–25 | Дуринская пл.: ср. 44; 33–~150 у тальвега Гулинского прогиба | SRC-012 грид PP_PKS 16,70–35,26 (подписан «ПКС»)",SUPPORT_DIFFERENCE + LABEL_ERROR,EV-VN-S011-0301;EV-VN-S014-0159;EV-VN-S040-0030;EV-VN-S011-1151;EV-VN-S011-1158;EV-VN-S011-3916;EV-VN-S012-0362,UNRESOLVED,"Кровля ПП = соляное зеркало (диахронная поверхность выщелачивания) — мощность ПП отражает гипергенез, а не только седиментацию.",
CF-STR-006,Мощность ТКТ,TKT,"SRC-011: 90–170 (плитняковая 65–70 + известково-терригенная 52–64) | SRC-014 p.15: 2–134 | SRC-037: 100–150 (в среднем) | SRC-040 рис.1.2: 90–130 | Дуринская пл.: ср. 104, max 169 | Боровицкая пл.: до 165,4",DATA_CONFLICT + SUPPORT_DIFFERENCE (SRC-014 — «рассматриваемая часть» с эрозией ТКТ),EV-VN-S011-0118;EV-VN-S014-0160;EV-VN-S037-0050;EV-VN-S040-0031;EV-VN-S011-1270;EV-VN-S011-1391,UNRESOLVED,Сохранять оба режима: полный разрез (90–170) и эродированный (от 2 м).,
CF-STR-007,Мощность ПЦТ (шешминская свита),PCT,"SRC-011: 0–675 (макс. Дуринская пл.) | SRC-014: до 74,3 | SRC-037: 150–200 в среднем, >500 на Дуринском прогибе | SRC-040 рис.1.2: 0–350 | Боровицкая пл.: до 259",SUPPORT_DIFFERENCE (развита не повсеместно; максимум на Дуринской площади),EV-VN-S011-0119;EV-VN-S014-0161;EV-VN-S037-0053;EV-VN-S040-0032;EV-VN-S011-1271;EV-VN-S011-1392,UNRESOLVED,Для СКРУ-1: ПЦТ ~25 м в интерполяц. точке 129-220 (блок 201) и отсутствует в скв. 128 — локальные данные только графические.,
CF-STR-008,Мощность четвертичных отложений,Q,"SRC-011: ≤3–80 (до 80 в переуглублениях) | SRC-014: ср. 10,3 | SRC-037: 0,7–28 (ср. 10) | SRC-023: 1,5–10, до 80 | SRC-040 KZ: до 80 (текст), 0–50 (рис.) | Усть-Яйвинский уч.: 3–10 | скв. 128 (СКРУ-1): ≈37 м по графику",SUPPORT_DIFFERENCE (не противоречие),EV-VN-S011-0121;EV-VN-S014-0162;EV-VN-S037-0055;EV-VN-S023-0125;EV-VN-S040-0032;EV-VN-S018-0040;EV-VN-S011-2093,EXPLAINED_BY_SUPPORT,"Типичные 1,5–28 м и локальные переуглубления до 80 м — хранить как два режима.",
CF-STR-009,Мощность ПКС,PKS,"SRC-011: 16–22, ср. 20 | SRC-014: 0,8–52,9 ср. 18,6 (с зонами выщелачивания); 15–25 в нормальном разрезе | SRC-037: 18–22 | колонки SRC-025/037: 22,0 | SRC-040: 16–22 ср. 20; рис. 15–25 | Дуринская: ср. 19 (max 37) | Боровицкая: 18–20 (max 31) | SRC-012 грид PKS_CZ 14,87–59,10 (подписан «карналлитовая зона») | скв. 128: ≈11 м по графику",SUPPORT_DIFFERENCE + LABEL_ERROR (SRC-012),EV-VN-S011-0252;EV-VN-S014-0156;EV-VN-S037-0047;EV-VN-S025-0071;EV-VN-S040-0029;EV-VN-S011-1182;EV-VN-S011-3922;EV-VN-S012-0364;EV-VN-S011-2093,MOSTLY_CONSISTENT,Нормальный разрез 15–25 м согласован; отсутствие ПКС на сводах поднятий (в т.ч. Поповское — поле СКРУ-2) — ключевая латеральная неоднородность.,
CF-STR-010,Средняя мощность пласта КрII,S_KR2,"SRC-011 текст: 0,8–11,9 ср. 4,1 | SRC-011 рис.1.14: 4,0 | SRC-011 Табл.1.10: 3,97 | SRC-011 англ. Табл.1: 3,97 | SRC-011 p.109 (центр+юг): 4,54 | SRC-014 рис.1.2: 4,6 | SRC-020 текст: 0,8–11,9 ср. 3,1; рис.1.2: 5,10 | SRC-025 текст: 5,5; рис.1.3: 6,10 | SRC-037 текст: 5,5; рис.1.2: 6,10 | БКПРУ-1: 5,2–7,2; БКПРУ-2: 3,9–5,6 | Усольский: 4,70–5,4",DATA_CONFLICT + INTERNAL_INCONSISTENCY (текст vs рисунок одного источника),EV-VN-S011-0229;EV-VN-S011-0215;EV-VN-S011-0294;EV-VN-S011-3853;EV-VN-S011-1794;EV-VN-S014-0130;EV-VN-S020-0076;EV-VN-S020-0043;EV-VN-S025-0067;EV-VN-S025-0095;EV-VN-S037-0036;EV-VN-S037-1140;EV-VN-S027-0043;EV-VN-S011-0217,UNRESOLVED,"Средние 3,1–6,1 м зависят от выборки/определения (с «коржами» или без). Для СКРУ-1 — вынимаемая мощность из таблиц предприятия (SRC-023: 5,49/5,30 в 1 СЗП) — MINING, не стратиграфия.",
