row_id,catalog,category,subcategory,item,value_as_printed,unit,site_attribution,scope,spatial_level,depth_or_unit_context,time_context,status,evidence_type,scale,skru1_transfer,evidence_strength,confidence,relevance_normal_skru1,relevance_accident_scenario,worldspec_role,source_ids,locator,vn_ids,prev_evidence_ids,extraction_method,quote_check,visual_recheck,conflict_ref,notes
GPR-001,gpr_evidence_catalog,SURVEY_INVENTORY,IN_MINE_SALT,"Первое георадарное выявление трещин скола в массиве ВКМ: СКРУ-3, восточный фланг, участок № 18 (блок 2, панель 4), камеры 160–168 — скрытые трещины, не видимые в выработках, той же СЗ ориентации, что и наблюдаемые (О.Н. Ковин, 2002)",качественно (антенна/частота/глубинность не указаны),,"СКРУ-3, участок № 18",SKRU3,panel,,2002 (публикация 2013),FACT,FIELD_OBSERVATION,FIELD,OTHER_VKM_SITE_ANALOGUE,MODERATE,HIGH,LOW,LOW,OBSERVATION_OPERATOR,VKM-SRC-011,VKM-SRC-011 p.70 (Рис. 2.67б) | VKM-SRC-011 p.70 (Рис. 2.67),EV-VN-S011-1453;EV-VN-S011-1460;EV-VN-S011-1454,,VISUAL_READ,EXACT,предыдущий sweep: Рис. 2.67 OK_CONFIRMED (250 dpi),,Результат: GPR на ВКМ способен выявлять скрытые трещины скола в целиках/между камерами (СКРУ-3). Для СКРУ-1 — только метод; параметры съёмки не опубликованы.
GPR-002,gpr_evidence_catalog,SURVEY_INVENTORY,SHAFT_LINING,"Первое георадарное обследование закрепного пространства ствола на ВКМС: ствол № 2 БКПРУ-1, 2004 г., отдел геофизики ПАО «Уралкалий» (Миронов С.А.), георадар RAMAC, антенна «1 МГц» (так напечатано); выделен участок возможных пустот, заверочного бурения не было",2004; RAMAC; «1 МГц» (as printed),,"БКПРУ-1, ствол № 2",BKPRU1,working,,2004,FACT,LITERATURE_CITED,FIELD,OTHER_VKM_SITE_ANALOGUE,WEAK,MEDIUM,NONE,LOW,CONTEXT_ONLY,VKM-SRC-040,VKM-SRC-040 p.34 (§1.2.3),EV-VN-S040-0093;EV-VN-S040-0094,,TEXT_LAYER,EXACT,,GPR-CF9,Первоисточник — отчёт Квиткина 2004 [49] (вне корпуса). «1 МГц» — UNIT_DOUBT (возможно 1 ГГц); значение оставлено как напечатано.
GPR-003,gpr_evidence_catalog,SURVEY_INVENTORY,SHAFT_LINING,"Комплексное обследование крепи ствола № 5 СКРУ-2 (2014): GPR 500 МГц + ультразвуковая томография A1040 MIRA + тепловизионная съёмка; 14 аномальных участков, контрольное бурение всех 14 — аномальное строение закрепного пространства подтверждено лишь на 4 (одна полость; остальное — влажная глина, разуплотнённая порода, влажный бетон)",14 аномалий; 4 из 14 подтверждены бурением,шт.,"СКРУ-2, ствол № 5",SKRU2,working,,2014,FACT,LITERATURE_CITED,FIELD,NEIGHBOUR_MINE_ANALOGUE,MODERATE,HIGH,NONE,MEDIUM,OBSERVATION_OPERATOR,VKM-SRC-040,VKM-SRC-040 p.34 (§1.2.3),EV-VN-S040-0095,,TEXT_LAYER,FUZZY_83,,,"Результат: единственная в корпусе заверка GPR-аномалий бурением с числом совпадений (4/14) — прямой вход для модели ложных срабатываний оператора наблюдения крепи ствола. Соседний рудник (СКРУ-2); не СКРУ-1. Первоисточник — Жуков и др. 2014, Горный журнал №4 [12]. Связь с гидро-сценарием: «влажная глина/влажный бетон» за крепью — косвенный признак обводнённости закрепного пространства."
GPR-004,gpr_evidence_catalog,SURVEY_INVENTORY,SHAFT_LINING,"Опытно-производственная съёмка зумпфовой части ствола № 3 СКРУ-3 (GPR SIR-3000, 400 МГц, запись по времени; короткие вертикальные профили до 2 м, пр 1–37) + УЗ-томография; выявлены полости за крепью и зоны увеличения/уменьшения мощности бетона; все аномалии заверены бурением, полости ликвидированы",400 МГц; профили до 2 м; шаг между профилями ~1 м,,"СКРУ-3, ствол № 3 (зумпф)",SKRU3,working,,15.10.2015 (экран томографа) / «в 2016 году» (заключение),FACT,MEASURED,FIELD,OTHER_VKM_SITE_ANALOGUE,MODERATE,HIGH,NONE,MEDIUM,OBSERVATION_OPERATOR,VKM-SRC-040,"VKM-SRC-040 p.105 (§3, георадиолокация в стволе) | VKM-SRC-040 p.104 (§3.4 p.104, Рис. 3.14) | VKM-SRC-040 p.106 (Рис. 3.16, профиль 24) | VKM-SRC-040 p.147 (Заключение п.4) | VKM-SRC-040 p.108 (Рис. 3.18, отметка времени на экране)",EV-VN-S040-0239;EV-VN-S040-0224;EV-VN-S040-0242;EV-VN-S040-0378;EV-VN-S040-0449;EV-VN-S040-0247,,TEXT_LAYER,EXACT,,GPR-CF5;GPR-CF6,"Результат: GPR+УЗТ в стволе дают верифицированные бурением аномалии (число заверенных/ложных не опубликовано, в отличие от СКРУ-2). Размер полостей по GPR не определим при записи по времени. Дата съёмки противоречива (GPR-CF5); атрибуция схемы профилей к [56] противоречива (GPR-CF6)."
GPR-005,gpr_evidence_catalog,SURVEY_INVENTORY,IN_MINE_SALT,"Полевые испытания GPR для определения скорости ЭМ волн и максимальной эффективной глубинности в солях: рудник СКРУ-3, пласты КС, КрII, АБ, Вс; профилирование по стенкам межкамерных целиков + просвечивание; 2016 г.; коллектив под руководством А.А. Жукова [53]",4 пласта; 100/200/400 МГц; 2016,,СКРУ-3 (панель 10 блок 9 — КрII; панель 17 блок 16 — Вс/АБ; прочие — не указаны),SKRU3,pillar,,2016,FACT,FIELD_OBSERVATION,FIELD,OTHER_VKM_SITE_ANALOGUE,MODERATE,HIGH,MEDIUM,LOW,PARAMETER_PRIOR,VKM-SRC-040,VKM-SRC-040 p.116 (§4) | VKM-SRC-040 p.119 (§4.2) | VKM-SRC-040 p.128 (§4.3) | VKM-SRC-040 p.126 (§4.2-4.4),EV-VN-S040-0268;EV-VN-S040-0277;EV-VN-S040-0310;EV-VN-S040-0450,,TEXT_LAYER,EXACT,,GPR-CF4,"Результат: единственная in-situ кампания ЭМ-параметров солей ВКМ — СКРУ-3, не СКРУ-1. Координаты участков не опубликованы. Возраст целиков: КС 2011, КрII 2014, АБ/В 2015–2016."
GPR-006,gpr_evidence_catalog,SURVEY_INVENTORY,IN_MINE_SALT,"Опытно-методические работы ВНИИ Галургии по GPR-гипсометрии: в кровлю и почву выработок по всем основным пластам (В, АБ, КрII, КрIII, ПдКС); общий объём порядка 8500 пог. м; рудник(и), панели, даты НЕ указаны",~8500,пог. м,рудник(и) ВКМ — не названы,VKM_REGIONAL,gpr_profile,,до 04.2026 (даты не указаны),FACT,FIELD_OBSERVATION,FIELD,REGIONAL_PRIOR,WEAK,HIGH,MEDIUM,LOW,OBSERVATION_OPERATOR,VKM-SRC-015,VKM-SRC-015 p.6 (§Результаты опытно-методических работ) | VKM-SRC-015 p.6 (§Результаты) | VKM-SRC-015 p.15 (ИНФОРМАЦИЯ ОБ АВТОРАХ),EV-VN-S015-0034;EV-VN-S015-0104;EV-VN-S015-0102,,TEXT_LAYER,NOT_FOUND,,GPR-CF7,"Результат: самый большой объём GPR-профилей на ВКМ, но без атрибуции рудника — нельзя считать данными СКРУ-1 (unknown stays unknown). Опубликованы лишь 3 примера по 50 м и одна схема штрека. Сырые радарограммы — у ВНИИ Галургии/Уралкалия."
GPR-007,gpr_evidence_catalog,SURVEY_INVENTORY,IN_MINE_SALT,Опытно-промышленные испытания GPR-оценки полноты закладки камер: начаты в 2017 г. на рудниках ПАО «Уралкалий» (рудник не назван); первые работы — полнота закладки пласта КрII из выработок пласта АБ «уверенно» определяется,"качественно («уверенно»), без чисел",,рудник Уралкалия — не назван,VKM_REGIONAL,chamber,,2017 (начало),FACT,FIELD_OBSERVATION,FIELD,REGIONAL_PRIOR,WEAK,MEDIUM,MEDIUM,LOW,OBSERVATION_OPERATOR,VKM-SRC-015;VKM-SRC-040,VKM-SRC-040 p.147 (Заключение п.4) | VKM-SRC-040 p.145 (§5.4) | VKM-SRC-015 p.3 (Введение),EV-VN-S040-0381;EV-VN-S040-0380;EV-VN-S040-0374;EV-VN-S015-0012,,TEXT_LAYER,EXACT,,,"Результат: GPR — потенциальный оператор наблюдения степени закладки (ключевой неизвестный фактор долгосрочного оседания), но количественных результатов и точности нет; в SRC-015 утверждение «степень закладки» без ссылки."
GPR-008,gpr_evidence_catalog,SURVEY_INVENTORY,LAB_BLOCK,"Лабораторные измерения скорости ЭМ волн на блоках сильвинита из пластов СКРУ-3 (3 блока высотой 0,216–0,300 м; вдоль и вкрест напластования); GSSI SIR 3000, антенна 1600 МГц; метод эхо между параллельными гранями","3 блока; h 0,216–0,300 м; 1600 МГц",м; МГц,СКРУ-3 (пласт/место/дата отбора не указаны),SKRU3,specimen,,публ. 2017,FACT,LAB_TEST,LAB,OTHER_VKM_SITE_ANALOGUE,MODERATE,HIGH,LOW,NONE,PARAMETER_PRIOR,VKM-SRC-041,VKM-SRC-041 p.2 (§методика; Рис. 1) | VKM-SRC-041 p.3 (§методика) | VKM-SRC-041 p.2 (§методика),EV-VN-S041-0007;EV-VN-S041-0021;EV-VN-S041-0033,,TEXT_LAYER,EXACT,,,"LAB ≠ MASSIF; SKRU-3 ≠ SKRU-1. Пласт (КрII/АБ), влажность и температура при измерении — UNKNOWN."
GPR-009,gpr_evidence_catalog,SURVEY_INVENTORY,LAB_MODEL,"Физическая модель сегмента бетонной крепи ствола 3,5×3×0,8 м (бетон М300 + солеотходы) с заложенными неоднородностями (арматура, канистры, теннисные мячи, полости); GPR SIR-3000, экранированные 400 и 900 МГц; RadExplorer 1.42 и RADAN 7; ~2015 г.","3,5×3×0,8 м; 400/900 МГц",м; МГц,модель (вне рудника),GENERAL_METHOD,specimen,,~2015,FACT,LAB_TEST,LAB,METHOD_ONLY,MODERATE,HIGH,NONE,LOW,CONTEXT_ONLY,VKM-SRC-040,"VKM-SRC-040 p.71 (§2.2.5 p.71) | VKM-SRC-040 p.41 (§2.1, рис. 2.1-2.3, p.41-44) | VKM-SRC-040 p.138 (§5.1 (p138-139))",EV-VN-S040-0162;EV-VN-S040-0112;EV-VN-S040-0350,,TEXT_LAYER,EXACT,,,"«Соль» модели — влажные солеотходы, не массив in situ."
GPR-010,gpr_evidence_catalog,SURVEY_INVENTORY,ANALOGUE_ABROAD,Зарубежный аналог: в калийных рудниках Саскачевана параллельно с микросейсмикой применяется GPR 50–100 МГц для картирования стратиграфии и зон нарушения сплошности; RIM-томография — обводнённые зоны,50–100,МГц,Саскачеван (Канада),OTHER_POTASH_SITE,unstated,,,FACT,LITERATURE_CITED,NOT_APPLICABLE,NON_VKM_ANALOGUE,WEAK,MEDIUM,LOW,LOW,CONTEXT_ONLY,VKM-SRC-023,VKM-SRC-023 p.20 (rendered p.20; §1.2) | VKM-SRC-023 p.19 (rendered p.19; §1.2 (rendered p.19-20)),EV-VN-S023-0057;EV-VN-S023-0056,,DOCX_TEXT,EXACT,,,Вторичная ссылка в студенческой работе (ref [8] Chouteau et al.); не повышать до первичного факта.
