order,stage_id,graph,stage_ru,description,inputs,outputs,actors,time_scale,skru1_evidence,worldspec_event_types,source_ids,vn_ids,status,confidence,locators,scope,scale,notes,quote_vn_id
1,P01,physical,"Формирование соляной толщи (седиментогенез, кунгур–уфимий)",Накопление солей в эвапоритовом бассейне Соликамской впадины; онтогенез ВКМС: седиментогенез → диагенез → катагенез → гипергенез (метагенеза нет),рассолы бассейна; испарение,соляная толща с калийными пластами и прослоями,природный процесс,геологический (пермь),региональное (ВКМКС),GEOLOGICAL,VKM-SRC-011,EV-VN-S011-0021; EV-VN-S011-1707; EV-VN-S011-3943,FACT,HIGH,VKM-SRC-011 p4; VKM-SRC-011 p100; VKM-SRC-011 p181,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S011-1707
2,P02,physical,"Диагенез–катагенез: отжатие флюидов, зоны замещения, эпигенетические изменения",Отжатие поровых рассолов; зоны замещения сильвинита каменной солью; «ушко»-полосы; наследуемые ослабленные плоскости,"погружение, растворы, тектонические движения блоков","неоднородность пластов (зоны замещения, аномальные и выбросоопасные зоны)",природный процесс,пермь–триас и позже,региональное; зоны замещения выявляются только вскрытием,GEOLOGICAL,VKM-SRC-011,EV-VN-S011-2034; EV-VN-S011-1476; EV-VN-S011-1507; EV-VN-S011-2101,FACT,HIGH,VKM-SRC-011 p117; VKM-SRC-011 p72; VKM-SRC-011 p75; VKM-SRC-011 p131,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S011-2034
3,P03,physical,"Тектоническая деформация (складчатость, разломы, надвиги)","Раннемезозойское тангенциальное сжатие от Урала: складки западной вергентности, разломные зоны, влияющие на целостность ВЗТ",уральская тектоника,"складки, разломы (каталог 173 разломов), трещиноватость",природный процесс,ранний мезозой; неотектоника — современная,разлом 98 у блока 201 СКРУ-1 (сопоставление с оседаниями),GEOLOGICAL,VKM-SRC-012; VKM-SRC-011; VKM-SRC-018,EV-VN-S012-0136; EV-VN-S011-0533; EV-VN-S011-2649; EV-VN-S018-0029,FACT,HIGH,VKM-SRC-012 p30; VKM-SRC-011 p27; VKM-SRC-011 p142; VKM-SRC-018 p4,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S012-0136
4,P04,physical,"Гипергенез: соляной карст, соляное зеркало, гипсово-глинистая шляпа",Эпизодическое выщелачивание кровли солей инфильтрационными водами; соляное зеркало −63…+93 м; современная химическая денудация 60–65 мкм/год (до 180 мкм/год),"инфильтрационные воды, дренажная сеть, рельеф структур","карстовые зоны, срезанная кровля соли, природные мульды, рассолы",природный процесс (антропогенное ускорение у старых рассолоподъёмных скважин),геологический → современный (мкм/год),участок выщелачивания пласта В в центре поля СКПРУ-1 (схема),GEOLOGICAL,VKM-SRC-011; VKM-SRC-020; VKM-SRC-037,EV-VN-S011-2033; EV-VN-S020-0253; EV-VN-S037-0309,FACT,HIGH,VKM-SRC-011 p111; VKM-SRC-020 p10; VKM-SRC-037 p37,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S011-2033
5,I01,information,Открытие и ранняя разведка (1925–1939),Открытие месторождения (1925); первые скважины Соликамской разведочной партии Геолкома; отчёты печатались через 1–2 года,поисковые скважины,"первые контуры, гидрогеологические сведения","Геолком, Соликамская ГРП",1925–1939,выбор площадки ствола №1 Первого рудника (СКРУ-1) геологом П.И. Преображенским; закладка 07.11.1927,EXPLORATION_DRILLING; PUBLICATION,VKM-SRC-011,EV-VN-S011-0016; EV-VN-S011-2470; EV-VN-S011-3752; EV-VN-S011-2768,FACT,HIGH,VKM-SRC-011 p4; VKM-SRC-011 p137; VKM-SRC-011 p168; VKM-SRC-011 p152,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S011-2768
6,I02,information,Стадийная разведка скважинами с поверхности (поиски 4×4 км → детальная ~1×1 км),"Поисковая, предварительная и детальная разведка; нефтяные и специальные скважины; разведка продолжалась параллельно с эксплуатацией (поиски до 1987)","бурение, керн, химанализы","литологические карты пластов, структурные карты, подсчёт запасов",геологоразведочные организации,десятилетия (1939–1987+),Соликамский участок (детальная разведка; годы в источнике по участкам),EXPLORATION_DRILLING,VKM-SRC-011; VKM-SRC-014; VKM-SRC-037,EV-VN-S011-0237; EV-VN-S011-2686; EV-VN-S011-2730; EV-VN-S014-0028; EV-VN-S037-0013,FACT,HIGH,VKM-SRC-011 p13; VKM-SRC-011 p147; VKM-SRC-014 p10; VKM-SRC-037 p3,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S011-2730
7,I03,information,Отбор и описание керна; опробование,Описание керна при бурении; избирательное разрушение керна сильвинита/карналлита смещает оценки Н.О.; поправочные коэффициенты,керн,"колонки, пробы, химанализы","геологи, лаборатории",при бурении; анализ — позже,таблицы пик-отметок скважин района целиков (SRC-012) без дат,EXPLORATION_DRILLING,VKM-SRC-011; VKM-SRC-025,EV-VN-S011-3502; EV-VN-S011-2072; EV-VN-S025-0228,FACT,HIGH,VKM-SRC-011 p166; VKM-SRC-011 p128; VKM-SRC-025 p34,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S011-3502
8,I04,information,"Лабораторные испытания (прочность, деформируемость, ползучесть, газоносность)",Образцы из керна/монолитов; испытания от часов до ~40 сут; свод в БД ГИ УрО РАН; LAB ≠ MASSIF,"керн, монолиты","свойства образцов, реологические параметры","ГИ УрО РАН, ПГТУ/ПНИПУ, УФ ВНИИГ, ВНИИ Галургии",часы–месяцы на образец; публикация через годы,"монолиты КрII (СКРУ-1, СКРУ-3); газоносность пластов СКПРУ-1",LAB_TESTING,VKM-SRC-025; VKM-SRC-012; VKM-SRC-037,EV-VN-S025-0163; EV-VN-S025-0904; EV-VN-S012-0427; EV-VN-S025-0841; EV-VN-S037-0178,FACT,HIGH,VKM-SRC-025 p25; VKM-SRC-025 p163; VKM-SRC-012 p75; VKM-SRC-025 p153; VKM-SRC-037 p16,GENERAL_METHOD; SKRU1; VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S025-0904
9,I05,information,Геофизические исследования скважин (ГИС),"АК (Vp), ГК, НК в разведочных скважинах; часть — через колонну; кривые цифровые или растровые",пробуренные скважины,каротажные кривые,каротажные подрядчики,при бурении,6 скважин с АК в районе м/ш целиков,GEOPHYSICAL_SURVEY,VKM-SRC-012,EV-VN-S012-0535; EV-VN-S012-0405,FACT,HIGH,VKM-SRC-012 p70,SOLIKAMSK_GROUP,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S012-0535
10,I06,information,"Наземная и шахтная геофизика, дистанционные исследования (гравиметрия, сейсморазведка МОГТ/ПВРО, электроразведка, АКГИ)",Карты разломов и аномалий; сейсмические профили перед отработкой полей; АКГИ перед освоением новых участков,"геофизические съёмки, снимки","структурные/скоростные разрезы, зоны аномалий, геодинамические активные зоны","ГИ УрО РАН, ЕНИ ПГНИУ, геофизические организации",кампании,нет сейсмических разрезов СКРУ-1 в корпусе,GEOPHYSICAL_SURVEY,VKM-SRC-012; VKM-SRC-011; VKM-SRC-018,EV-VN-S012-0181; EV-VN-S012-0185; EV-VN-S011-0535; EV-VN-S018-0078,FACT,MEDIUM,VKM-SRC-012 p35; VKM-SRC-012 p36; VKM-SRC-011 p30; VKM-SRC-018 p7,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S012-0185
