row_id,category,variable,variable_as_recorded,symbol,material_lithology,unit_seam,value_as_printed,value_point,value_min,value_max,unit_as_printed,multi_value,test_method,n_samples,conditions,scale,scale_prev_release,site_scope,site_as_printed,source_id,pdf_page,printed_page,locator,vn_ids,prev_parameter_ids,prev_evidence_ids,origin,extraction_method,visual_confirmation,quote_check,status,evidence_type,original_or_cited,confidence,transfer_status_SKRU1,status_if_used_for_SKRU1,law_id,notes
MR-MECH-0001,density_unit_weight,unit_weight,unit_weight,γ,сильвинит,,"2,1",2.1,,,г/см3,,unknown,, | depth 1130.0–1130.0,MASSIF,MASSIF,NON_VKM,N/A,EXT-SRC-003,7,,p.7; Апробация способа частичной разгрузки,,PAR-EXT-0036,EV-EXT-0036,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,LITERATURE_CITED,ORIGINAL_OR_UNSTATED,MEDIUM,ENGINEERING_ASSUMPTION_REQUIRED | NON_VKM_ANALOGUE,ANALOGUE,,"limitations(v1): См. запись о ν той же породы/страницы; другой бассейн и глубина, использовать только как инженерное допущение при отсутствии ВКМ/СКРУ-1 данных. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0002,density_unit_weight,unit_weight,unit_weight,gamma,ангидрит,,"2,8",2.8,,,10^4*N/m3,,back_analysis,,"lab tests (uniaxial/triaxial compression, tension, long-term loading) + ANSYS elasto-visco-plastic FEM calibrated to 8 monitoring stations | depth 1100.0–1300.0",CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,OTHER_POTASH_SITE,Гремячинское месторождение,EXT-SRC-013,,36-47 (article),printed 36-47 (article); Табл. Характеристики пород Гремячинского месторождения,,PAR-EXT-0100,EV-EXT-0100,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,MODEL_CALIBRATED,ORIGINAL_OR_UNSTATED,HIGH,NON_TRANSFERABLE | NON_VKM_POTASH_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Гремячинское (Volgograd region) is a different deposit from VKM, at a much greater depth (1100-1300 m vs 150-400+ m at SKRU-1); values are calibrated to this deposit's own field convergence data, not raw lab measurements. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0003,density_unit_weight,unit_weight,unit_weight,gamma,ангидрит,,"2,8",2.8,,,10^4*N/m3,,back_analysis,,"lab tests (uniaxial/triaxial compression, tension, long-term loading) + ANSYS elasto-visco-plastic FEM calibrated to 8 monitoring stations | depth 1100.0–1300.0",CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,OTHER_POTASH_SITE,Гремячинское месторождение,EXT-SRC-013,,36-47 (article),printed 36-47 (article); Табл. Характеристики пород Гремячинского месторождения,,PAR-EXT-0106,EV-EXT-0106,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,MODEL_CALIBRATED,ORIGINAL_OR_UNSTATED,HIGH,NON_TRANSFERABLE | NON_VKM_POTASH_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Гремячинское (Volgograd region) is a different deposit from VKM, at a much greater depth (1100-1300 m vs 150-400+ m at SKRU-1); values are calibrated to this deposit's own field convergence data, not raw lab measurements. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0004,density_unit_weight,unit_weight,unit_weight,gamma,mixed,,"2,4",2.4,,,10^4*N/m3,,back_analysis,,"lab tests (uniaxial/triaxial compression, tension, long-term loading) + ANSYS elasto-visco-plastic FEM calibrated to 8 monitoring stations | depth 1100.0–1300.0",CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,OTHER_POTASH_SITE,Гремячинское месторождение,EXT-SRC-013,,36-47 (article),printed 36-47 (article); Табл. Характеристики пород Гремячинского месторождения,,PAR-EXT-0114,EV-EXT-0114,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,MODEL_CALIBRATED,ORIGINAL_OR_UNSTATED,HIGH,NON_TRANSFERABLE | NON_VKM_POTASH_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Гремячинское (Volgograd region) is a different deposit from VKM, at a much greater depth (1100-1300 m vs 150-400+ m at SKRU-1); values are calibrated to this deposit's own field convergence data, not raw lab measurements. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0005,density_unit_weight,unit_weight,unit_weight,gamma,каменная соль,,"2,2",2.2,,,10^4*N/m3,,back_analysis,,"lab tests (uniaxial/triaxial compression, tension, long-term loading) + ANSYS elasto-visco-plastic FEM calibrated to 8 monitoring stations | depth 1100.0–1300.0",CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,OTHER_POTASH_SITE,Гремячинское месторождение,EXT-SRC-013,,36-47 (article),printed 36-47 (article); Табл. Характеристики пород Гремячинского месторождения,,PAR-EXT-0122,EV-EXT-0122,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,MODEL_CALIBRATED,ORIGINAL_OR_UNSTATED,HIGH,NON_TRANSFERABLE | NON_VKM_POTASH_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Гремячинское (Volgograd region) is a different deposit from VKM, at a much greater depth (1100-1300 m vs 150-400+ m at SKRU-1); values are calibrated to this deposit's own field convergence data, not raw lab measurements. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0006,density_unit_weight,unit_weight,unit_weight,gamma,сильвинит,,"2,2",2.2,,,10^4*N/m3,,back_analysis,,"lab tests (uniaxial/triaxial compression, tension, long-term loading) + ANSYS elasto-visco-plastic FEM calibrated to 8 monitoring stations | depth 1100.0–1300.0",CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,OTHER_POTASH_SITE,Гремячинское месторождение,EXT-SRC-013,,36-47 (article),printed 36-47 (article); Табл. Характеристики пород Гремячинского месторождения,,PAR-EXT-0130,EV-EXT-0130,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,MODEL_CALIBRATED,ORIGINAL_OR_UNSTATED,HIGH,NON_TRANSFERABLE | NON_VKM_POTASH_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Гремячинское (Volgograd region) is a different deposit from VKM, at a much greater depth (1100-1300 m vs 150-400+ m at SKRU-1); values are calibrated to this deposit's own field convergence data, not raw lab measurements. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0007,density_unit_weight,unit_weight,unit_weight,gamma,карналлит,,"2,2",2.2,,,10^4*N/m3,,back_analysis,,"lab tests (uniaxial/triaxial compression, tension, long-term loading) + ANSYS elasto-visco-plastic FEM calibrated to 8 monitoring stations | depth 1100.0–1300.0",CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,OTHER_POTASH_SITE,Гремячинское месторождение,EXT-SRC-013,,36-47 (article),printed 36-47 (article); Табл. Характеристики пород Гремячинского месторождения,,PAR-EXT-0138,EV-EXT-0138,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,MODEL_CALIBRATED,ORIGINAL_OR_UNSTATED,HIGH,NON_TRANSFERABLE | NON_VKM_POTASH_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Гремячинское (Volgograd region) is a different deposit from VKM, at a much greater depth (1100-1300 m vs 150-400+ m at SKRU-1); values are calibrated to this deposit's own field convergence data, not raw lab measurements. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0008,density_unit_weight,density,density,ρ,каменная соль,,2150,2150.0,,,кг/м3,,unknown,,,LAB,LAB,NON_VKM,Оренбургское месторождение,EXT-SRC-015,,27-34 (article),printed 27-34 (article); Табл. Свойства образцов каменной соли Оренбургского месторождения,,PAR-EXT-0165,EV-EXT-0165,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,MEASURED,ORIGINAL_OR_UNSTATED,HIGH,NON_TRANSFERABLE | NON_VKM_ANALOGUE; LAB→MASSIF transfer required,ANALOGUE,MR-RHEO-CL-16,"limitations(v1): Orenburg rock salt (gas-storage-cavern context), not VKM; halite-only, no sylvinite/carnallite; single deposit-wide mean, not broken down by specimen group. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0009,density_unit_weight,density,density,ρ,mixed,NADSOL,2.40,2.4,,,г/см3,,unknown,,forward gravity model (прямая задача); density origin not stated,MASSIF,REGIONAL,VKM_REGIONAL,"ВКМКС (regional) — Камско-Вишерский вал, Соликамская депрессия",EXT-SRC-021,,219-227 (article),printed 219-227 (article),,PAR-EXT-0188,EV-EXT-0188,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,ENGINEERING_ASSUMPTION,DESIGN_VALUE,ORIGINAL_OR_UNSTATED,HIGH,ENGINEERING_ASSUMPTION_REQUIRED | VKM_REGIONAL_PRIOR,ANALOGUE,,"v1 corrections: ['ADV2-006'] || limitations(v1): Regional average across several combined lithological units (not broken down per formation in the accessible text); local to the Kama-Vishera swell/thrust structure, which the authors note is atypical for VKM and 'will substantially complicate mining' if encountered. | single thrust front on the western slope of the Камско-Вишерский вал; mine not named; model density, not a measurement (ADV2-006) || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0010,density_unit_weight,density,density,ρ,mixed,MIXED,2.20-2.22,,2.2,2.22,г/см3,,unknown,,forward gravity model (прямая задача); density origin not stated,MASSIF,REGIONAL,VKM_REGIONAL,"ВКМКС (regional) — Камско-Вишерский вал, Соликамская депрессия",EXT-SRC-021,,219-227 (article),printed 219-227 (article),,PAR-EXT-0189,EV-EXT-0189,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,ENGINEERING_ASSUMPTION,DESIGN_VALUE,ORIGINAL_OR_UNSTATED,HIGH,ENGINEERING_ASSUMPTION_REQUIRED | VKM_REGIONAL_PRIOR,ANALOGUE,,"v1 corrections: ['ADV2-006'] || limitations(v1): Combines potash salt and underlying rock salt into one figure (not broken down by KS_KARN/PDKS/individual seam); regional, not SKRU-1-specific. | single thrust front on the western slope of the Камско-Вишерский вал; mine not named; model density, not a measurement (ADV2-006) || v1 locator_verification=VERIFIED_QUOTE"
