old_row_id,new_row_id,row_kind,vn_ids,finding_id
GEO-0001,MGEO-0001,mining_geometry,EV-VN-S003-0342,DOCS_LEAKAGE-019
GEO-0002,MGEO-0002,mining_geometry,EV-VN-S005-0036,DOCS_LEAKAGE-019
GEO-0003,MGEO-0003,mining_geometry,EV-VN-S009-0028,DOCS_LEAKAGE-019
GEO-0004,MGEO-0004,mining_geometry,EV-VN-S011-0371,DOCS_LEAKAGE-019
GEO-0005,MGEO-0005,mining_geometry,EV-VN-S011-0479,DOCS_LEAKAGE-019
GEO-0006,MGEO-0006,mining_geometry,EV-VN-S011-0597,DOCS_LEAKAGE-019
GEO-0007,MGEO-0007,mining_geometry,EV-VN-S011-0626,DOCS_LEAKAGE-019
GEO-0008,MGEO-0008,mining_geometry,EV-VN-S011-0667,DOCS_LEAKAGE-019
GEO-0009,MGEO-0009,mining_geometry,EV-VN-S011-0953,DOCS_LEAKAGE-019
GEO-0010,MGEO-0010,mining_geometry,EV-VN-S011-0989,DOCS_LEAKAGE-019
GEO-0011,MGEO-0011,mining_geometry,EV-VN-S011-1025,DOCS_LEAKAGE-019
GEO-0012,MGEO-0012,mining_geometry,EV-VN-S011-1030,DOCS_LEAKAGE-019
GEO-0013,MGEO-0013,mining_geometry,EV-VN-S011-1033,DOCS_LEAKAGE-019
GEO-0014,MGEO-0014,mining_geometry,EV-VN-S011-1455,DOCS_LEAKAGE-019
GEO-0015,MGEO-0015,mining_geometry,EV-VN-S011-1524,DOCS_LEAKAGE-019
GEO-0016,MGEO-0016,mining_geometry,EV-VN-S011-1535,DOCS_LEAKAGE-019
GEO-0017,MGEO-0017,mining_geometry,EV-VN-S011-1594,DOCS_LEAKAGE-019
GEO-0018,MGEO-0018,mining_geometry,EV-VN-S011-1602,DOCS_LEAKAGE-019
GEO-0019,MGEO-0019,mining_geometry,EV-VN-S011-1621,DOCS_LEAKAGE-019
GEO-0020,MGEO-0020,mining_geometry,EV-VN-S011-1642,DOCS_LEAKAGE-019
GEO-0021,MGEO-0021,mining_geometry,EV-VN-S011-1649,DOCS_LEAKAGE-019
GEO-0022,MGEO-0022,mining_geometry,EV-VN-S011-2088,DOCS_LEAKAGE-019
GEO-0023,MGEO-0023,mining_geometry,EV-VN-S011-3932,DOCS_LEAKAGE-019
GEO-0024,MGEO-0024,mining_geometry,EV-VN-S012-0076,DOCS_LEAKAGE-019
GEO-0025,MGEO-0025,mining_geometry,EV-VN-S012-0145,DOCS_LEAKAGE-019
GEO-0026,MGEO-0026,mining_geometry,EV-VN-S012-0163,DOCS_LEAKAGE-019
GEO-0027,MGEO-0027,mining_geometry,EV-VN-S012-0211,DOCS_LEAKAGE-019
GEO-0028,MGEO-0028,mining_geometry,EV-VN-S012-0212,DOCS_LEAKAGE-019
GEO-0029,MGEO-0029,mining_geometry,EV-VN-S012-0255,DOCS_LEAKAGE-019
GEO-0030,MGEO-0030,mining_geometry,EV-VN-S012-0264,DOCS_LEAKAGE-019
GEO-0031,MGEO-0031,mining_geometry,EV-VN-S012-0265,DOCS_LEAKAGE-019
GEO-0032,MGEO-0032,mining_geometry,EV-VN-S012-0266,DOCS_LEAKAGE-019
GEO-0033,MGEO-0033,mining_geometry,EV-VN-S012-0267,DOCS_LEAKAGE-019
GEO-0034,MGEO-0034,mining_geometry,EV-VN-S012-0268,DOCS_LEAKAGE-019
GEO-0035,MGEO-0035,mining_geometry,EV-VN-S012-0269,DOCS_LEAKAGE-019
GEO-0036,MGEO-0036,mining_geometry,EV-VN-S012-0270,DOCS_LEAKAGE-019
GEO-0037,MGEO-0037,mining_geometry,EV-VN-S012-0271,DOCS_LEAKAGE-019
GEO-0038,MGEO-0038,mining_geometry,EV-VN-S012-0272,DOCS_LEAKAGE-019
GEO-0039,MGEO-0039,mining_geometry,EV-VN-S012-0273,DOCS_LEAKAGE-019
GEO-0040,MGEO-0040,mining_geometry,EV-VN-S012-0274,DOCS_LEAKAGE-019
GEO-0041,MGEO-0041,mining_geometry,EV-VN-S012-0490,DOCS_LEAKAGE-019
GEO-0042,MGEO-0042,mining_geometry,EV-VN-S012-0498,DOCS_LEAKAGE-019
GEO-0043,MGEO-0043,mining_geometry,EV-VN-S012-0512,DOCS_LEAKAGE-019
GEO-0044,MGEO-0044,mining_geometry,EV-VN-S012-0574,DOCS_LEAKAGE-019
GEO-0045,MGEO-0045,mining_geometry,EV-VN-S012-0587,DOCS_LEAKAGE-019
GEO-0046,MGEO-0046,mining_geometry,EV-VN-S012-0596,DOCS_LEAKAGE-019
GEO-0047,MGEO-0047,mining_geometry,EV-VN-S014-0336,DOCS_LEAKAGE-019
GEO-0048,MGEO-0048,mining_geometry,EV-VN-S014-0338,DOCS_LEAKAGE-019
GEO-0049,MGEO-0049,mining_geometry,EV-VN-S014-0343,DOCS_LEAKAGE-019
GEO-0050,MGEO-0050,mining_geometry,EV-VN-S014-0349,DOCS_LEAKAGE-019
GEO-0051,MGEO-0051,mining_geometry,EV-VN-S014-0350,DOCS_LEAKAGE-019
GEO-0052,MGEO-0052,mining_geometry,EV-VN-S014-0351,DOCS_LEAKAGE-019
GEO-0053,MGEO-0053,mining_geometry,EV-VN-S014-0354,DOCS_LEAKAGE-019
GEO-0054,MGEO-0054,mining_geometry,EV-VN-S014-0355,DOCS_LEAKAGE-019
GEO-0055,MGEO-0055,mining_geometry,EV-VN-S014-0357,DOCS_LEAKAGE-019
GEO-0056,MGEO-0056,mining_geometry,EV-VN-S014-0359,DOCS_LEAKAGE-019
GEO-0057,MGEO-0057,mining_geometry,EV-VN-S014-0362,DOCS_LEAKAGE-019
GEO-0058,MGEO-0058,mining_geometry,EV-VN-S014-0363,DOCS_LEAKAGE-019
GEO-0059,MGEO-0059,mining_geometry,EV-VN-S014-0366,DOCS_LEAKAGE-019
GEO-0060,MGEO-0060,mining_geometry,EV-VN-S014-0368,DOCS_LEAKAGE-019
GEO-0061,MGEO-0061,mining_geometry,EV-VN-S014-0370,DOCS_LEAKAGE-019
GEO-0062,MGEO-0062,mining_geometry,EV-VN-S014-0402,DOCS_LEAKAGE-019
GEO-0063,MGEO-0063,mining_geometry,EV-VN-S014-0406,DOCS_LEAKAGE-019
GEO-0064,MGEO-0064,mining_geometry,EV-VN-S014-0407,DOCS_LEAKAGE-019
GEO-0065,MGEO-0065,mining_geometry,EV-VN-S014-0413,DOCS_LEAKAGE-019
GEO-0066,MGEO-0066,mining_geometry,EV-VN-S014-0427,DOCS_LEAKAGE-019
GEO-0067,MGEO-0067,mining_geometry,EV-VN-S014-0429,DOCS_LEAKAGE-019
GEO-0068,MGEO-0068,mining_geometry,EV-VN-S014-0441,DOCS_LEAKAGE-019
GEO-0069,MGEO-0069,mining_geometry,EV-VN-S014-0445,DOCS_LEAKAGE-019
GEO-0070,MGEO-0070,mining_geometry,EV-VN-S014-0452,DOCS_LEAKAGE-019
GEO-0071,MGEO-0071,mining_geometry,EV-VN-S014-0455,DOCS_LEAKAGE-019
GEO-0072,MGEO-0072,mining_geometry,EV-VN-S014-0540,DOCS_LEAKAGE-019
GEO-0073,MGEO-0073,mining_geometry,EV-VN-S014-0541,DOCS_LEAKAGE-019
GEO-0074,MGEO-0074,mining_geometry,EV-VN-S014-0542,DOCS_LEAKAGE-019
GEO-0075,MGEO-0075,mining_geometry,EV-VN-S014-0543,DOCS_LEAKAGE-019
GEO-0076,MGEO-0076,mining_geometry,EV-VN-S014-0546,DOCS_LEAKAGE-019
GEO-0077,MGEO-0077,mining_geometry,EV-VN-S014-0547,DOCS_LEAKAGE-019
GEO-0078,MGEO-0078,mining_geometry,EV-VN-S014-0554,DOCS_LEAKAGE-019
GEO-0079,MGEO-0079,mining_geometry,EV-VN-S014-0563,DOCS_LEAKAGE-019
GEO-0080,MGEO-0080,mining_geometry,EV-VN-S014-0565,DOCS_LEAKAGE-019
GEO-0081,MGEO-0081,mining_geometry,EV-VN-S014-0568,DOCS_LEAKAGE-019
GEO-0082,MGEO-0082,mining_geometry,EV-VN-S014-0570,DOCS_LEAKAGE-019
