conflict_id,domain,topic,value_a,value_b,vn_ids_a,vn_ids_b,source_ids,locators,resolution_status,assessment,affects_skru1
MC-SP-01,SPATIAL,Отнесение СКРУ-1 к участку детальной разведки,"Соликамский участок (SRC-011 табл. p148; SRC-020 p12 текст; SRC-037 Рис.1.1 — «участок 3», северная часть)","Новосоликамский участок (легенда SRC-020 Рис.1.1: «Новосоликамский (СКПРУ-1,3)»); оба участка — Соликамский и Ново-Соликамский после расширения горного отвода (SRC-014 p8, p81)",EV-VN-S011-2713;EV-VN-S020-0108;EV-VN-S037-0017,EV-VN-S020-0019;EV-VN-S014-0017;EV-VN-S014-0538,VKM-SRC-011;VKM-SRC-020;VKM-SRC-037;VKM-SRC-014,"VKM-SRC-011 pdf p.148 (printed 294-295); Прилож. 2, Таблица (с.294) || VKM-SRC-020 pdf p.12 (printed 12); §1.2.1 || VKM-SRC-037 pdf p.3 (printed 5); Рис. 1.1 (визуальное чтение карты) || VKM-SRC-020 pdf p.6 (printed 6); Рис.1.1 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1",UNRESOLVED_PARTLY_TEMPORAL,"Вероятно временное различие (исходный отвод в Соликамском участке; расширение на Ново-Соликамский) + ошибка легенды SRC-020; не разрешено корпусом. В иерархии: parent=AREA:SOLIKAMSKY, also_within=AREA:NOVO_SOLIKAMSKY, attribution_status=CONFLICTING.",YES
MC-SP-02,SPATIAL,Число и нумерация участков детальной разведки ВКМ; участок БКПРУ-1,SRC-011 карта p147: 12 участков (1 Боровской … 12 Южно-Юрчукский); БКПРУ-1 — Березниковский участок (табл. p148),"SRC-014/SRC-025: 11 участков; SRC-020 Рис.1.1: 13 (вкл. Шубинский, Белопашенский); SRC-037 Рис.1.1: 1–15; SRC-037 Рис.1.1 (визуально, LOW): «БКРУ-1 — участок 5 (Быгельско-Троицкий)»",EV-VN-S011-2703;EV-VN-S011-2715,EV-VN-S014-0014;EV-VN-S025-0019;EV-VN-S020-0017;EV-VN-S037-0015;EV-VN-S037-0018,VKM-SRC-011;VKM-SRC-014;VKM-SRC-025;VKM-SRC-020;VKM-SRC-037,"VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта с.293 || VKM-SRC-011 pdf p.148 (printed 294-295); Прилож. 2, Таблица (с.294) || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-025 pdf p.7 (printed 7); §1.1, рис. 1.2 || VKM-SRC-020 pdf p.6 (printed 6); Рис.1.1 (легенда) || VKM-SRC-037 pdf p.3 (printed 5); Рис. 1.1 (легенда) || VKM-SRC-037 pdf p.3 (printed 5); Рис. 1.1 (визуальное чтение карты)",UNRESOLVED,Разные эпохи/схемы нумерации; номера участков между источниками несопоставимы без легенды. Отнесение БКПРУ-1 к участку 5 в SRC-037 — визуальное чтение LOW.,NO
MC-SP-03,SPATIAL,Положение СКРУ-1 внутри Соликамского участка,«центральная часть Соликамского участка» (SRC-014 p28; SRC-037 p19),"«северная часть Соликамского участка (3)» (SRC-037 Рис.1.1, визуально)",EV-VN-S014-0335;EV-VN-S037-0198,EV-VN-S037-0017,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 pdf p.28 (printed 28); §2.1 || VKM-SRC-037 pdf p.19 (printed 36); §1.3.1, СКПРУ-1 || VKM-SRC-037 pdf p.3 (printed 5); Рис. 1.1 (визуальное чтение карты)",UNRESOLVED,"Может зависеть от того, включён ли в «участок» только горный отвод СКРУ-1+СКРУ-2 (тогда СКРУ-1 северная часть) — не разрешено.",YES
MC-SP-04,SPATIAL,Участок СКРУ-3,Ново-Соликамский участок (SRC-011 табл.; SRC-014 p8),"«Соликамский участок (по тексту)», Тверитинская мульда Соликамского участка (SRC-020 p13)",EV-VN-S011-2723;EV-VN-S014-0017,EV-VN-S020-0114,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020,"VKM-SRC-011 pdf p.148 (printed 294-295); Прилож. 2, Таблица (с.294) || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-020 pdf p.13 (printed 13); §1.2.1",UNRESOLVED,,NO
MC-SP-05,SPATIAL,Размеры шахтного поля СКРУ-2,"7120 м (З–В) × 8500 м (С–Ю), 50,4 км² (SRC-014 p84; после присоединения западной части Ново-Соликамского участка)","6,1 × 7,2 км (SRC-020 p13; SRC-037 p19)",EV-VN-S014-0551,EV-VN-S020-0111;EV-VN-S037-0200,VKM-SRC-014;VKM-SRC-020;VKM-SRC-037,"VKM-SRC-014 pdf p.84 (printed 84); §3.2 || VKM-SRC-020 pdf p.13 (printed 13); §1.2.1 || VKM-SRC-037 pdf p.19 (printed 36); §1.3.1, СКПРУ-2",LIKELY_TEMPORAL,Вероятно до/после расширения отвода; не усредняется.,NO
MC-SP-06,SPATIAL,Размеры шахтного поля/отвода СКРУ-3,"горный отвод ~8,5 км (З–В) × 15,4 км (С–Ю) (SRC-014 p28)","8,0 км (С–Ю) × 8,5 км (З–В) (SRC-014 p92); 8,5 × 8 км (SRC-020 p13; SRC-037 p19)",EV-VN-S014-0341,EV-VN-S014-0571;EV-VN-S020-0114;EV-VN-S037-0202,VKM-SRC-014;VKM-SRC-020;VKM-SRC-037,"VKM-SRC-014 pdf p.28 (printed 28); §2.1 (pp.28-29) || VKM-SRC-014 pdf p.92 (printed 92); §3.3 || VKM-SRC-020 pdf p.13 (printed 13); §1.2.1 || VKM-SRC-037 pdf p.19 (printed 36); §1.3.1, СКПРУ-3",INTERNAL_CONFLICT_SRC014,Внутреннее противоречие SRC-014 (p28 vs p92).,NO
MC-SP-07,SPATIAL,Размеры шахтного поля БКПРУ-4,"11631,2 м (меридиан) × 17375 м (широта) (SRC-014 p102)","10,37 × 17,37 км (SRC-020 p12)",EV-VN-S014-0659,EV-VN-S020-0106,VKM-SRC-014;VKM-SRC-020,VKM-SRC-014 pdf p.102 (printed 102); §3.5 || VKM-SRC-020 pdf p.12 (printed 12); §1.2.1,UNRESOLVED,Меридиональный размер различается.,NO
MC-SP-08,SPATIAL,Глубина ствола №2-бис СКРУ-1,"395,9 м, Ø 7 м, отметка устья +190,15 м (SRC-040 Рис.1.4)","295,6 м при нижней границе бетонной крепи 395,9 м (SRC-037 табл.1.7 — внутреннее противоречие строки)",EV-VN-S040-0058;EV-VN-S040-0056,EV-VN-S037-0192;EV-VN-S037-0193,VKM-SRC-040;VKM-SRC-037,"VKM-SRC-040 pdf p.19 (printed 19); рис. 1.4 || VKM-SRC-037 pdf p.18 (printed 34-35); Табл. 1.7, СКПРУ-1 || VKM-SRC-037 pdf p.18 (printed 35); Табл. 1.7, СКПРУ-1 ствол 2-бис",RESOLVED_BY_VISUAL_CHECK,"Разрешено визуальной проверкой (поток OCR_VISUAL_QA: QA-C-M041, QA-M-0016, QA-M-0092, QA-M-0093; SRC-037 p18 @300 dpi, SRC-040 p19 @130 dpi, текстовый слой SRC-014 p39): глубина ствола 2-бис — 395,9 м (SRC-040 Рис.1.4 по отчёту [55], 2015); «295,6» в SRC-037 табл.1.7 — опечатка: противоречит собственному интервалу бетонной крепи той же строки (266,1–395,9 м), а высота подъёма скипа 402 м (SRC-014 табл.2.1) совместима только со стволом ≈396 м. Напечатанное значение 295,6 сохранено как конфликтное; значения не усредняются (COVERAGE_DUPLICATES-007).",YES
MC-SP-09,SPATIAL,Диаметр ствола №1 СКРУ-1,"диаметр в свету 5 м, глубина 307 м (SRC-037 табл.1.7 p18)","диаметр 6 м (SRC-037 p100, околоствольный двор/камеры загрузки)",EV-VN-S037-0192,EV-VN-S037-0623;EV-VN-S037-0719,VKM-SRC-037,"VKM-SRC-037 pdf p.18 (printed 34-35); Табл. 1.7, СКПРУ-1 || VKM-SRC-037 pdf p.100 (printed 199); §6.8, с. 199, рис. 6.15, а || VKM-SRC-037 pdf p.100 (printed 199); §6.8 (ствол № 1 СКРУ-1)",UNRESOLVED,"Возможно, разные сечения (в свету vs вчерне) — не указано.",YES
MC-SP-10,SPATIAL,Число стволов СКРУ-1,"два центральных (№1, №2) + один фланговый (№2-бис) (SRC-014 p28/p39/p70; SRC-037 p19; SRC-020)","на плане SRC-037 Рис.2.7 подписаны Ств.1, Ств.2, Ств.2-бис и Ств.3",EV-VN-S014-0384;EV-VN-S014-0443;EV-VN-S037-0198,EV-VN-S037-0306;EV-VN-S037-0307;EV-VN-S037-0310,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 pdf p.39 (printed 39); Табл. 2.1 + §2.1 p.28 || VKM-SRC-014 pdf p.70 (printed 70); §2.8, Рис. 2.24 || VKM-SRC-037 pdf p.19 (printed 36); §1.3.1, СКПРУ-1 || VKM-SRC-037 pdf p.37 (printed 72-73); рис. 2.7 а (пласт Красный-II) || VKM-SRC-037 pdf p.37 (printed 72); рис. 2.7 б (пласт АБ) || VKM-SRC-037 pdf p.37 (printed 72-73); рис. 2.7 легенда 7–8",UNRESOLVED,«Ств.3» только на схеме; назначение/существование не подтверждено текстом (узел SKRU1:SHAFT:3 помечен DOUBTFUL).,YES
