entity_id,name,aliases,level,entity_type_as_source,parent_id,parent_level,parent_allowed_by_schema,also_within,site_scope,mine_attribution,attribution_status,location_evidence,dimensions_as_printed,schema_note,stream_overlap,node_basis,superseded_by,borehole_id,n_source_records,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
VKM,Верхнекамское месторождение калийно-магниевых солей (ВКМКС / ВКМС),ВКМ; ВКМКС; ВКМС; Верхнекамское месторождение солей,deposit,deposit,,,YES,,VKM_REGIONAL,-,TEXT_CONFIRMED,"СВ Пермского края, преимущественно левобережье Камы; Соликамская впадина Предуральского краевого прогиба (SRC-014, SRC-023, SRC-040)",,,,SOURCE_STATED,,,17,VKM-SRC-014;VKM-SRC-023;VKM-SRC-040;VKM-SRC-011;VKM-SRC-037;VKM-SRC-020;VKM-SRC-025;VKM-SRC-018,"VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-023 pdf p.25 (printed 25); rendered p.25; §2.1 || VKM-SRC-040 pdf p.10 (printed 10); §1.1, рис. 1.1 || VKM-SRC-011 pdf p.6 (printed 10-11); рис. 1.1, 1.2 || VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта с.293 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-037 pdf p.202 (printed 403); §8.9, с.403 || VKM-SRC-014 pdf p.9 (printed 9); Рис. 1.1 || VKM-SRC-020 pdf p.6 (printed 6); Рис.1.1 (легенда) || VKM-SRC-037 pdf p.3 (printed 5); Рис. 1.1 (легенда) || VKM-SRC-025 pdf p.7 (printed 7); §1.1, рис. 1.2 || VKM-SRC-018 pdf p.5; Рис. 1 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-014 pdf p.11 (printed 11); §1.1 || VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; рис. с.292 || VKM-SRC-025 pdf p.9 (printed 9); Рис. 1.2 (страница повернута) || VKM-SRC-025 pdf p.12 (printed 12); §1.1",EV-VN-S014-0013;EV-VN-S023-0069;EV-VN-S040-0016;EV-VN-S011-0037;EV-VN-S011-2703;EV-VN-S014-0014;EV-VN-S037-1156;EV-VN-S014-0020;EV-VN-S020-0017;EV-VN-S037-0015;EV-VN-S025-0019;EV-VN-S018-0031;EV-VN-S014-0017;EV-VN-S014-0111;EV-VN-S011-2702;EV-VN-S025-0058;EV-VN-S025-0108,EV-GEO-0277;EV-GEO-0278;EV-GEO-0319;EV-GEO-0329,FACT,DESCRIPTIVE;LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE;FIELD,HIGH;MEDIUM,TEXT_LAYER;DOCX_TEXT;VISUAL_READ;OCR_VISUALLY_CONFIRMED,EXACT;FUZZY_61;NOT_FOUND;FUZZY_66;FUZZY_73,
VKM:PART:N,Северная часть ВКМКС,,district,часть месторождения (к северу от Боровицкой системы),VKM,deposit,YES,,VKM_REGIONAL,,TEXT_CONFIRMED,"Боровицкая и Дуринская субширотные системы делят калийную залежь на северную, центральную и южную части (SRC-011 p22)",,SpatialLevel не имеет уровня «часть месторождения»; использован district,,SOURCE_STATED,,,3,VKM-SRC-011;VKM-SRC-025,"VKM-SRC-011 pdf p.22 (printed 42-43); §1.3.2 субширотные системы || VKM-SRC-011 pdf p.175 (printed 348-349 (spread)); English SUMMARY 1.3 Tectonics (1.3.1, 1.3.2) || VKM-SRC-025 pdf p.7 (printed 7); §1.1",EV-VN-S011-0346;EV-VN-S011-3864;EV-VN-S025-0018,EV-GEO-0095,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER;OCR_VISUALLY_CONFIRMED,EXACT;NOT_FOUND;FUZZY_91,
VKM:PART:C,Центральная часть ВКМКС,,district,часть месторождения,VKM,deposit,YES,,VKM_REGIONAL,,TEXT_CONFIRMED,СКРУ-1..3 — центральная часть (SRC-014 p11); «рудники ОАО Сильвинит — центральная часть ВКМКС» (SRC-025 p57),,district использован как контейнер «часть месторождения»,,SOURCE_STATED,,,3,VKM-SRC-011;VKM-SRC-014;VKM-SRC-025,"VKM-SRC-011 pdf p.22 (printed 42-43); §1.3.2 субширотные системы || VKM-SRC-014 pdf p.11 (printed 11); §1.1 || VKM-SRC-025 pdf p.57 (printed 57); Табл. 2.2, 2.3 titles",EV-VN-S011-0346;EV-VN-S014-0111;EV-VN-S025-0339,EV-GEO-0095,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER;VISUAL_READ,EXACT;NOT_FOUND,
VKM:PART:S,Южная часть ВКМКС,,district,часть месторождения,VKM,deposit,YES,,VKM_REGIONAL,,TEXT_CONFIRMED,"БКПРУ-2, БКПРУ-4 — южная часть (SRC-014 p11)",,district использован как контейнер «часть месторождения»,,SOURCE_STATED,,,2,VKM-SRC-011;VKM-SRC-014,VKM-SRC-011 pdf p.22 (printed 42-43); §1.3.2 субширотные системы || VKM-SRC-014 pdf p.11 (printed 11); §1.1,EV-VN-S011-0346;EV-VN-S014-0111,EV-GEO-0095,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
DIST:SOLIKAMSK,Соликамский (калийный) район,,district,район,VKM,deposit,YES,,VKM_REGIONAL,,TEXT_CONFIRMED,окрестности г. Соликамска; Рубцовская и Володинская зоны разломов отнесены к Соликамскому району (SRC-011),,,,SOURCE_STATED,,,4,VKM-SRC-011;VKM-SRC-025,"VKM-SRC-011 pdf p.30 (printed 58-59); текст с.59; рис. 1.51, 1.55а || VKM-SRC-011 pdf p.32 (printed 62-63); текст с.62; рис. 1.55б || VKM-SRC-025 pdf p.163 (printed 163); §6.3, с.163 || VKM-SRC-011 pdf p.168 (printed 334-335); Список литературы (раздел «Приложения»); entry 'Преображенский П.И. Предварительный отчет…'",EV-VN-S011-0547;EV-VN-S011-0567;EV-VN-S025-0880;EV-VN-S011-3750,EV-GEO-0120;EV-GEO-0121,FACT,INTERPRETATION;DESCRIPTIVE;LITERATURE_CITED,VKM_REGIONAL;SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER;VISUAL_READ,EXACT;FUZZY_80,[review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-0547: SKRU1_SKRU2→VKM_REGIONAL; S011-0567: SKRU1_SKRU2→VKM_REGIONAL
DIST:BEREZNIKI,Березниковский район,,district,район,VKM,deposit,YES,,VKM_REGIONAL,,TEXT_CONFIRMED,окрестности г. Березники,,,,SOURCE_STATED,,,2,VKM-SRC-037;VKM-SRC-011,VKM-SRC-037 pdf p.3 (printed 5); Рис. 1.1 (визуальное чтение карты) || VKM-SRC-011 pdf p.32 (printed 62-63); текст с.62; рис. 1.56а,EV-VN-S037-0018;EV-VN-S011-0574,,FACT,DESCRIPTIVE;INTERPRETATION,VKM_REGIONAL;OTHER_VKM_SITE,NOT_APPLICABLE,LOW;HIGH,VISUAL_READ;TEXT_LAYER,NOT_FOUND;EXACT,
AREA:BOROVSKOY,Боровской участок,,district,участок детальной разведки (номер 1 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:C,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,3,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2699;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM;HIGH,TEXT_LAYER;VISUAL_READ,FUZZY_71;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2699: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:POLOVODOVSKY,Половодовский участок,,district,участок детальной разведки (номер 2 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:C,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018;VKM-SRC-025,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-011 pdf p.3 (printed 5); Предисловие || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1 || VKM-SRC-025 pdf p.112 (printed 112); §4.3 p.112,EV-VN-S011-2697;EV-VN-S011-0010;EV-VN-S014-0014;EV-VN-S018-0031;EV-VN-S025-0600,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL;OTHER_VKM_SITE,NOT_APPLICABLE,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ;OCR_VISUALLY_CONFIRMED,FUZZY_71;FUZZY_61;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2697: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:SOLIKAMSKY,Соликамский участок,,district,участок детальной разведки (номер 3 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:C,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-037;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-037 pdf p.3 (printed 5); Рис. 1.1 (визуальное чтение карты) || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2690;EV-VN-S014-0017;EV-VN-S037-0017;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL;SKRU1,NOT_APPLICABLE,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;FUZZY_73;NOT_FOUND;EXACT,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2690: SKRU1_SKRU2→VKM_REGIONAL (ATTRIBUTION-006)"
AREA:NOVO_SOLIKAMSKY,Ново-Соликамский участок,,district,участок детальной разведки (номер 4 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:C,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-020 pdf p.6 (printed 6); Рис.1.1 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2696;EV-VN-S014-0017;EV-VN-S020-0019;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL;SKRU1,NOT_APPLICABLE,HIGH;LOW;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;FUZZY_73;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2696: SKRU3→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
