vn_id,cat_id
EV-VN-S001-0003,MON-0001
EV-VN-S001-0041,MON-0002
EV-VN-S002-0032,MON-0003
EV-VN-S002-0033,MON-0004
EV-VN-S002-0034,MON-0005
EV-VN-S002-0035,MON-0006
EV-VN-S003-0170,MON-0007
EV-VN-S003-0176,MON-0008
EV-VN-S003-0237,MON-0009
EV-VN-S006-0147,MON-0010
EV-VN-S009-0011,MON-0011
EV-VN-S011-2087,MON-0012
EV-VN-S011-2097,MON-0013
EV-VN-S012-0170,MON-0014
EV-VN-S012-0199,MON-0015
EV-VN-S012-0200,MON-0016
EV-VN-S012-0203,MON-0017
EV-VN-S012-0208,MON-0018
EV-VN-S012-0210,MON-0019
EV-VN-S012-0217,MON-0020
EV-VN-S012-0222,MON-0021
EV-VN-S012-0232,MON-0022
EV-VN-S012-0233,MON-0023
EV-VN-S012-0234,MON-0024
EV-VN-S012-0235,MON-0025
EV-VN-S012-0239,MON-0026
EV-VN-S012-0240,MON-0027
EV-VN-S012-0241,MON-0028
EV-VN-S012-0242,MON-0029
EV-VN-S012-0247,MON-0030
EV-VN-S012-0250,MON-0031
EV-VN-S012-0253,MON-0032
EV-VN-S012-0278,MON-0033
EV-VN-S012-0282,MON-0034
EV-VN-S012-0285,MON-0035
EV-VN-S012-0561,MON-0036
EV-VN-S012-0562,MON-0037
EV-VN-S012-0567,MON-0038
EV-VN-S012-0568,MON-0039
EV-VN-S012-0579,MON-0040
EV-VN-S016-0060,MON-0041
EV-VN-S020-0300,MON-0042
EV-VN-S020-0301,MON-0043
EV-VN-S020-0312,MON-0044
EV-VN-S021-0034,MON-0045
EV-VN-S023-0044,MON-0046
EV-VN-S024-0056,MON-0047
EV-VN-S034-0026,MON-0048
EV-VN-S034-0032,MON-0049
EV-VN-S034-0036,MON-0050
EV-VN-S034-0037,MON-0051
EV-VN-S037-0995,MON-0052
EV-VN-S002-0065,MON-0053
EV-VN-S011-2085,MON-0054
EV-VN-S012-0192,MON-0055
EV-VN-S012-0193,MON-0056
EV-VN-S012-0196,MON-0057
EV-VN-S012-0197,MON-0058
EV-VN-S012-0202,MON-0059
EV-VN-S012-0206,MON-0060
EV-VN-S012-0227,MON-0061
EV-VN-S012-0238,MON-0062
EV-VN-S012-0279,MON-0063
EV-VN-S012-0533,MON-0064
EV-VN-S024-0114,MON-0065
EV-VN-S034-0003,MON-0066
EV-VN-S034-0031,MON-0067
EV-VN-S011-0653,MON-0068
EV-VN-S012-0204,MON-0069
EV-VN-S012-0226,MON-0070
EV-VN-S006-0130,MON-0071
EV-VN-S006-0132,MON-0072
EV-VN-S006-0158,MON-0073
EV-VN-S009-0029,MON-0074
EV-VN-S009-0033,MON-0075
EV-VN-S012-0209,MON-0076
EV-VN-S012-0214,MON-0077
EV-VN-S001-0025,MON-0078
EV-VN-S001-0026,MON-0079
EV-VN-S001-0030,MON-0080
EV-VN-S001-0032,MON-0081
EV-VN-S001-0034,MON-0082
EV-VN-S001-0038,MON-0083
EV-VN-S001-0040,MON-0084
EV-VN-S001-0044,MON-0085
EV-VN-S001-0045,MON-0086
EV-VN-S001-0048,MON-0087
EV-VN-S001-0049,MON-0088
EV-VN-S001-0050,MON-0089
EV-VN-S001-0051,MON-0090
EV-VN-S001-0053,MON-0091
EV-VN-S001-0062,MON-0092
EV-VN-S001-0064,MON-0093
EV-VN-S001-0065,MON-0094
EV-VN-S001-0067,MON-0095
EV-VN-S002-0005,MON-0096
EV-VN-S002-0011,MON-0097
EV-VN-S002-0022,MON-0098
EV-VN-S002-0023,MON-0099
EV-VN-S002-0027,MON-0100
EV-VN-S002-0030,MON-0101
EV-VN-S002-0038,MON-0102
EV-VN-S003-0010,MON-0103
EV-VN-S003-0013,MON-0104
EV-VN-S003-0018,MON-0105
EV-VN-S003-0039,MON-0106
EV-VN-S003-0079,MON-0107
EV-VN-S003-0092,MON-0108
EV-VN-S003-0107,MON-0109
EV-VN-S003-0111,MON-0110
EV-VN-S003-0112,MON-0111
EV-VN-S003-0122,MON-0112
EV-VN-S003-0125,MON-0113
EV-VN-S003-0140,MON-0114
EV-VN-S003-0144,MON-0115
EV-VN-S003-0156,MON-0116
EV-VN-S003-0158,MON-0117
EV-VN-S003-0159,MON-0118
EV-VN-S003-0164,MON-0119
EV-VN-S003-0168,MON-0120
EV-VN-S003-0173,MON-0121
EV-VN-S003-0181,MON-0122
EV-VN-S003-0182,MON-0123
EV-VN-S003-0184,MON-0124
EV-VN-S003-0193,MON-0125
EV-VN-S003-0195,MON-0126
EV-VN-S003-0199,MON-0127
EV-VN-S003-0201,MON-0128
EV-VN-S003-0203,MON-0129
EV-VN-S003-0205,MON-0130
EV-VN-S003-0208,MON-0131
EV-VN-S003-0210,MON-0132
EV-VN-S003-0216,MON-0133
EV-VN-S003-0218,MON-0134
EV-VN-S003-0228,MON-0135
EV-VN-S003-0230,MON-0136
EV-VN-S003-0238,MON-0137
EV-VN-S003-0241,MON-0138
EV-VN-S003-0244,MON-0139
EV-VN-S003-0245,MON-0140
EV-VN-S003-0250,MON-0141
EV-VN-S003-0251,MON-0142
EV-VN-S003-0256,MON-0143
EV-VN-S003-0258,MON-0144
EV-VN-S003-0260,MON-0145
EV-VN-S003-0267,MON-0146
EV-VN-S003-0276,MON-0147
EV-VN-S003-0317,MON-0148
EV-VN-S003-0348,MON-0149
EV-VN-S003-0352,MON-0150
EV-VN-S003-0357,MON-0151
EV-VN-S003-0382,MON-0152
EV-VN-S003-0397,MON-0153
EV-VN-S003-0399,MON-0154
