site_group,obs_class,schema_modality,n_catalog_rows,n_datasets,measurement_years_printed,item_kinds,values_in_corpus,source_ids,scope,locators,sites_detail,cat_ids,vn_ids,usable_for_skru1,status_mix,latent_state_link,confidence,status,notes
СКРУ-1,COMPLEX_MONITORING_SYSTEM,other,1,0,,PROPOSAL:1,NO_DATA_PROPOSAL:1,VKM-SRC-023,SKRU1,VKM-SRC-023 p106 [rendered p.106; §4.3 para 6-8],СКРУ-1 — ПРЕДЛОЖЕНИЕ,MON-0459,EV-VN-S023-0473,NO:1,MODEL_CHOICE:1,перечень модальностей; конкретная связь — по каждой модальности,HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1,DERIVED_ANALYSIS,other,9,0,,DERIVED_PRODUCT:9,DERIVED_VALUES:9,VKM-SRC-023,SKRU1,"VKM-SRC-023 p43 [Рис.18 'Участки_признаки' оседания ; VKM-SRC-023 p43 [Рис.18 'Участки_признаки' оседания ; VKM-SRC-023 p43 [Рис.18 'Участки_признаки' оседания ; VKM-SRC-023 p43 [Рис.18 'Участки_признаки' оседания ; VKM-SRC-023 p43 [Рис.18 'Участки_признаки' оседания ; VKM-SRC-023 p43 [Рис.18 'Участки_признаки' оседания ; VKM-SRC-023 p43 [Рис.18 'Участки_признаки' оседания ; VKM-SRC-023 p63 [Рис.27 correlation matrix rows 20-2; VKM-SRC-023 p65 [Рис.29 histogram (image34.png), ren","СКРУ-1 || СКРУ-1, зона блока (зональная статистика интерполированного поля 2022)",MON-0470; MON-0471; MON-0472; MON-0473; MON-0474; MON-0475; MON-0476; MON-0477; MON-0478,EV-VN-S023-0271; EV-VN-S023-0272; EV-VN-S023-0273; EV-VN-S023-0274; EV-VN-S023-0275; EV-VN-S023-0276; EV-VN-S023-0277; EV-VN-S023-0352; EV-VN-S023-0358,NO_AS_OBSERVATION:9,DERIVATION:9,статистика по производному полю (не наблюдение),MEDIUM:8; HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1,DERIVED_ISOLINE_PRODUCT,other,5,0,,DERIVED_PRODUCT:5,DERIVED_VALUES:5,VKM-SRC-002; VKM-SRC-023,SKRU1,"VKM-SRC-002 p14 [слайд 14, карта 'Карта скоростей ос; VKM-SRC-023 p40 [Рис.12 (image14.png), rendered p.40; VKM-SRC-023 p45 [§3.1.3 + Рис.22 (image24.png), rend; VKM-SRC-023 p69 [Рис.30 right panel 'Оседание земной; VKM-SRC-023 p73 [Рис.38 'Оседания земной поверхности","СКРУ-1 (всё поле) || СКРУ-1 (данные предприятия, метод неизвестен) || СКРУ-1 (подпись карты; заголовок слайда — СКРУ-1 и СКРУ-2) || СКРУ-1 восточная (тестовая) часть",MON-0100-B; MON-0466; MON-0467; MON-0468; MON-0469,EV-VN-S002-0027; EV-VN-S023-0204; EV-VN-S023-0292; EV-VN-S023-0375; EV-VN-S023-0380,NO_AS_OBSERVATION:4; DISCOVERY_ONLY:1,INTERPOLATION:5,"интерполированное поле LOS-скорости (изолинии по PS; INTERPOLATION, не наблюдение)",MEDIUM:4; HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1,GAS_VENTILATION,other,3,1,,DATASET:1; SYSTEM_DESCRIPTION:1; LAB_OR_PHYSICAL_MODEL:1,TABLE_VALUES:2; SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-014; VKM-SRC-037,SKRU1,"VKM-SRC-014 p50 [Табл. 2.5]; VKM-SRC-014 p121 [§4.2]; VKM-SRC-037 p16 [Табл. 1.6, рудник СКПРУ-1]","СКРУ-1 || СКРУ-1 — вентиляционная съёмка (табл. 2.5, столбец СКРУ-1); столбцы СКРУ-2 и СКРУ-3 — MON-0433-B, MON-0433-C",MON-0433; MON-0434; MON-0442,EV-VN-S014-0397; EV-VN-S014-0862; EV-VN-S037-0178,METHOD/OPERATOR_PRIOR:2; YES_SKRU1:1,FACT:3,"газовая/вентиляционная обстановка — операционные данные, вне деформационного состояния",HIGH:3,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1,GEOLOGICAL_INTERPRETATION,other,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-037,SKRU1,VKM-SRC-037 p37 [рис. 2.7 легенда 6],СКРУ-1,MON-0488,EV-VN-S037-0309,METHOD/OPERATOR_PRIOR:1,FACT:1,геологическая интерпретация (не мониторинг),MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1,INSAR,insar,4,3,2011–2016,DATASET:3; PROPOSAL:1,FIGURE_READ:2; FIGURE_VALUES_DIGITIZED_APPROX:1; NO_DATA_PROPOSAL:1,VKM-SRC-001; VKM-SRC-002; VKM-SRC-023,SKRU1,"VKM-SRC-001 p12 [Рис.3]; VKM-SRC-002 p14 [слайд 14, карта 'Карта скоростей ос; VKM-SRC-002 p14 [слайд 14, врезка-график 'Оседания, ; VKM-SRC-023 p105 [rendered p.105; §4.3 para 3-5; Рис",СКРУ-1 (надпись на карте рис.3); период карты не напечатан || СКРУ-1 (подпись карты; заголовок слайда — СКРУ-1 и СКРУ-2) || СКРУ-1 (точка на карте не указана) || СКРУ-1 — ПРЕДЛОЖЕНИЕ (не существующая система),MON-0083; MON-0100; MON-0101; MON-0225,EV-VN-S001-0038; EV-VN-S002-0027; EV-VN-S002-0030; EV-VN-S023-0471,DISCOVERY_ONLY:2; YES_SKRU1:1; NO:1,FACT:3; MODEL_CHOICE:1,u_LOS = u·ê_LOS относительно опорной точки и первой сцены (пиксель/PS); «субвертикальное» = u_LOS/cosθ при допущении u_h≈0,HIGH:2; MEDIUM:1; LOW:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1,IN_SITU_TEST,other,1,1,,DATASET:1,TABLE_VALUES:1,VKM-SRC-025,SKRU1,"VKM-SRC-025 p175 [§7.4, табл. 7.5]",СКРУ-1 (подземные измерительные скважины; место не указано),MON-0421,EV-VN-S025-0997,YES_SKRU1:1,FACT:1,локальное напряжение/хрупкость массива в точке испытания,HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1,LEVELLING,levelling,2,2,1989–2010,DATASET:2,TEXT_VALUES:1; FIGURE_VALUES_DIGITIZED_APPROX:1,VKM-SRC-011,SKRU1,"VKM-SRC-011 p130 [стр. 259; Рис. 4.6, 4.7б]; VKM-SRC-011 p131 [Рис. 4.7б]","СКРУ-1, блок 201, профильная линия 12 (явная атрибуция)",MON-0012; MON-0013,EV-VN-S011-2087; EV-VN-S011-2097,YES_SKRU1:2,FACT:2,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",HIGH:1; MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1,MODEL_OUTPUT_NOT_OBSERVATION,other,1,0,,MODEL_OUTPUT:1,MODEL_OUTPUT_ONLY:1,VKM-SRC-023,SKRU1,"VKM-SRC-023 p48 [Рис.24в (image26.png), rendered p.4",СКРУ-1,MON-0365,EV-VN-S023-0303,NO:1,DERIVATION:1,нет (расчётный прогноз; нельзя использовать как наблюдение),MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1+2+3 вместе (район трёх рудников / объединённая выборка),BOREHOLE_LOGGING,borehole_logging,3,0,,SYSTEM_DESCRIPTION:2; DESIGN_SPEC:1,SPEC_OR_DESCRIPTION_ONLY:3,VKM-SRC-012,SOLIKAMSK_GROUP,"VKM-SRC-012 p70 [§3.3]; VKM-SRC-012 p70 [§3.3]; VKM-SRC-012 p73 [§3.3, Рис. 3.10]",СКРУ-1/СКРУ-2/СКРУ-3 вместе (район трёх рудников или объединённая выборка),MON-0334; MON-0335; MON-0336,EV-VN-S012-0405; EV-VN-S012-0406; EV-VN-S012-0423,METHOD/OPERATOR_PRIOR:3,FACT:2; MODEL_CHOICE:1,"профили Vp/Vs, γ, НК, кавернометрия по скважине — исходное (доработочное) состояние свойств и геометрия слоёв",HIGH:3,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
