id,source_id,locator,line,method,interval_start,interval_end,x_label_as_printed,value_mm,digitization_status,digitization_uncertainty_mm,status,scope,evidence_note,position_index,reading_origin,raster_x_px,raster_y_px,legacy_point_id
OBS-MUS-P15-1-LEVELLING-001,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0,,unresolved_occlusion,,UNKNOWN,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,1,independent_detailed_reread,128,,SUP01-P1-LEVELING-2011_2016-001
OBS-MUS-P15-1-LEVELLING-002,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0.2,,unresolved_occlusion,,UNKNOWN,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,2,independent_detailed_reread,183,,SUP01-P1-LEVELING-2011_2016-002
OBS-MUS-P15-1-LEVELLING-003,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0.3,,unresolved_occlusion,,UNKNOWN,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,3,independent_detailed_reread,238,,SUP01-P1-LEVELING-2011_2016-003
OBS-MUS-P15-1-LEVELLING-004,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0.4,-96.7,partially_occluded_approximation,20.3,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,4,independent_detailed_reread,294,172,SUP01-P1-LEVELING-2011_2016-004
OBS-MUS-P15-1-LEVELLING-005,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0.5,-101.5,digitized_marker_or_visible_curve,14.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,5,independent_detailed_reread,350,176,SUP01-P1-LEVELING-2011_2016-005
OBS-MUS-P15-1-LEVELLING-006,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0.6,-142.1,digitized_marker_or_visible_curve,14.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,6,independent_detailed_reread,405,210,SUP01-P1-LEVELING-2011_2016-006
OBS-MUS-P15-1-LEVELLING-007,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0.7,-170.7,partially_occluded_approximation,20.3,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,7,independent_detailed_reread,460,234,SUP01-P1-LEVELING-2011_2016-007
OBS-MUS-P15-1-LEVELLING-008,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0.8,-203.0,partially_occluded_approximation,20.3,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,8,independent_detailed_reread,516,261,SUP01-P1-LEVELING-2011_2016-008
OBS-MUS-P15-1-LEVELLING-009,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,0.9,-216.1,digitized_marker_or_visible_curve,14.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,9,independent_detailed_reread,571,272,SUP01-P1-LEVELING-2011_2016-009
OBS-MUS-P15-1-LEVELLING-010,VKM-SRC-002,PDF p.15,1,levelling,2011,2016,1,-241.2,digitized_marker_or_visible_curve,14.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,10,independent_detailed_reread,627,293,SUP01-P1-LEVELING-2011_2016-010
