row_id,citing_source,citing_locator,citation_vn_ids,intext_usage_vn_ids,cited_work_id,cited_work_key,work_group_id,cited_work_full,cited_year,cited_year_variants,cited_type,relation,local_copy_source_id,local_copy_match,external_capture_id,external_capture_match,is_primary,is_primary_basis,external_lookup_needed,lineage_ids,lookup_priority,dependent_claims,dependent_claims_n,dependency_evidence,dependent_kinds,cited_for,intext_cited_for,n_citing_sources,status,scope,scale,confidence,quote_check,notes
CG-00001,VKM-SRC-005,pdf p.6 | ref 5,EV-VN-S005-0051,,CW-0001,fadeev|1987|метод конечных элементов геомеханике,WG-0001,"Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – М.: Недра, 1987. – 221 с.",1987,1987,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] dependent records rely on it; not in corpus,LIN-17,P3,EV-VN-S005-0008,1,quote:1,subsidence_method:1,метод начальных напряжений / МКЭ в геомеханике,,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00002,VKM-SRC-012,pdf p.125 | ref 72,EV-VN-S012-0694,,CW-0001,fadeev|1987|метод конечных элементов геомеханике,WG-0001,"Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – М.: Недра, 1987. – 221 с.",1987,1987,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] cited by >=3 corpus sources (hub work); not in corpus,LIN-17,P3,,0,,,not cited in text body pp.1-117 (bracket search of text layer),,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00003,VKM-SRC-031,pdf p.5 | ref 9,EV-VN-S031-0039,,CW-0001,fadeev|1987|метод конечных элементов геомеханике,WG-0001,"Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – М.: Недра, 1987. – 221 с.",1987,1987,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] cited by >=3 corpus sources (hub work); not in corpus,LIN-17,P3,,0,,,метод начальных напряжений (упругопластика),,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00004,VKM-SRC-032,pdf p.6 | ref 5,EV-VN-S032-0034,,CW-0001,fadeev|1987|метод конечных элементов геомеханике,WG-0001,"Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – М.: Недра, 1987. – 221 с.",1987,1987,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] dependent records rely on it; not in corpus,LIN-17,P3,EV-VN-S032-0009,1,quote:1,claim:1,МКЭ,,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00005,VKM-SRC-035,pdf p.5 | ref 4,EV-VN-S035-0027,,CW-0001,fadeev|1987|метод конечных элементов геомеханике,WG-0001,"Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – М.: Недра, 1987. – 221 с.",1987,1987,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] cited by >=3 corpus sources (hub work); not in corpus,LIN-17,P3,,0,,,initial-stress method for elastoplastic problem,,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,NOT_FOUND,some quote_check NOT_FOUND (text layer mismatch; bibliographic line read visually/OCR)
CG-00006,VKM-SRC-039,pdf p.5 | ref 9,EV-VN-S039-0037,,CW-0001,fadeev|1987|метод конечных элементов геомеханике,WG-0001,"Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – М.: Недра, 1987. – 221 с.",1987,1987,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] dependent records rely on it; not in corpus,LIN-17,P3,EV-VN-S039-0008,1,quote:1,claim:1,"[8, 9]",,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00007,VKM-SRC-005,pdf p.6 | ref 6,EV-VN-S005-0052,,CW-0002,bariah|2005|одном подходе реологическому анализу геомеханических,WG-0002,"Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу геомеханических процессов // Физико-технические проблемы разработки полезных ископаемых. – 2005. – № 6. – С. 32-41. – DOI: 10.1007/s10913-006-0015-x.",2005,2005,article,cites,,,EXT-SRC-009,EXT-SRC-009(year match; DISCOVERY_ONLY; 10.1007/s10913-006-0015-x; score 1.00),UNKNOWN,primacy not determinable from bibliographic entry,Y — [P1] Барях–Самоделкина 2005 (ФТПРПИ №6 = J. Min. Sci. 41(6)) — оригинал «метода переменных модулей» E^p=E^0/[1+Ψ(t)] для выработанного пласта; воспроизводится 6 источниками ГИ УрО РАН. В предыдущем релизе только DISCOVERY_ONLY (EXT-SRC-009): формула не сверена с оригиналом.,LIN-18,P1,EV-VN-S005-0008,1,quote:1,subsidence_method:1,промышленные пласты как материал с переменными модулями,,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,RU/EN translation pair merged (same paper in ФТПРПИ/J.Min.Sci or bilingual journal)
CG-00008,VKM-SRC-012,pdf p.118 | ref 6,EV-VN-S012-0623,,CW-0002,bariah|2005|одном подходе реологическому анализу геомеханических,WG-0002,"Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу геомеханических процессов // Физико-технические проблемы разработки полезных ископаемых. – 2005. – № 6. – С. 32-41. – DOI: 10.1007/s10913-006-0015-x.",2005,2005,article,cites,,,EXT-SRC-009,EXT-SRC-009(year match; DISCOVERY_ONLY; 10.1007/s10913-006-0015-x; score 1.00),UNKNOWN,primacy not determinable from bibliographic entry,Y — [P1] Барях–Самоделкина 2005 (ФТПРПИ №6 = J. Min. Sci. 41(6)) — оригинал «метода переменных модулей» E^p=E^0/[1+Ψ(t)] для выработанного пласта; воспроизводится 6 источниками ГИ УрО РАН. В предыдущем релизе только DISCOVERY_ONLY (EXT-SRC-009): формула не сверена с оригиналом.,LIN-18,P1,,0,,,cited in text on pp. 17 (§1.2 модели соляных пород (реология)) — p.17: rheological analysis of geomechanical processes,,6,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,RU/EN translation pair merged (same paper in ФТПРПИ/J.Min.Sci or bilingual journal)
CG-00009,VKM-SRC-031,pdf p.5 | ref 10,EV-VN-S031-0040,,CW-0002,bariah|2005|одном подходе реологическому анализу геомеханических,WG-0002,"Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу геомеханических процессов // Физико-технические проблемы разработки полезных ископаемых. – 2005. – № 6. – С. 32-41. – DOI: 10.1007/s10913-006-0015-x.",2005,2005,article,cites;reproduces_data,,,EXT-SRC-009,EXT-SRC-009(year match; DISCOVERY_ONLY; 10.1007/s10913-006-0015-x; score 1.00),UNKNOWN,primacy not determinable from bibliographic entry,Y — [P1] Барях–Самоделкина 2005 (ФТПРПИ №6 = J. Min. Sci. 41(6)) — оригинал «метода переменных модулей» E^p=E^0/[1+Ψ(t)] для выработанного пласта; воспроизводится 6 источниками ГИ УрО РАН. В предыдущем релизе только DISCOVERY_ONLY (EXT-SRC-009): формула не сверена с оригиналом.,LIN-18,P1,EV-VN-S031-0011;EV-VN-S031-0012,2,quote:2,claim:1;rheology_law:1,выработанный пласт как материал с переменным модулем деформации,,6,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,RU/EN translation pair merged (same paper in ФТПРПИ/J.Min.Sci or bilingual journal)
CG-00010,VKM-SRC-035,pdf p.5 | ref 1,EV-VN-S035-0024,,CW-0002,bariah|2005|одном подходе реологическому анализу геомеханических,WG-0002,"Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу геомеханических процессов // Физико-технические проблемы разработки полезных ископаемых. – 2005. – № 6. – С. 32-41. – DOI: 10.1007/s10913-006-0015-x.",2005,2005,article,cites;reproduces_figure;same_author_series,,,EXT-SRC-009,EXT-SRC-009(year match; DISCOVERY_ONLY; 10.1007/s10913-006-0015-x; score 1.00),UNKNOWN,primacy not determinable from bibliographic entry,Y — [P1] Барях–Самоделкина 2005 (ФТПРПИ №6 = J. Min. Sci. 41(6)) — оригинал «метода переменных модулей» E^p=E^0/[1+Ψ(t)] для выработанного пласта; воспроизводится 6 источниками ГИ УрО РАН. В предыдущем релизе только DISCOVERY_ONLY (EXT-SRC-009): формула не сверена с оригиналом.,LIN-18,P1,EV-VN-S035-0006,1,quote:1,subsidence_method:1,goaf as isotropic material with variable moduli giving prescribed ηmax per seam,,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,NOT_FOUND,RU/EN translation pair merged (same paper in ФТПРПИ/J.Min.Sci or bilingual journal) ; some quote_check NOT_FOUND (text layer mismatch; bibliographic line read visually/OCR)
