vn_id,page_host_source,pdf_page,locator,citation,year,status,scope,confidence,notes
EV-VN-S021-0004,VKM-SRC-021,1,БИБЛИОГРАФИЧЕСКИЙ СПИСОК предыдущей статьи [1],"Барях А.А., Бельтюков Н.Л., Самоделкина Н.А., Токсаров В.Н. Обоснование возможности повторной отработки запасов калийных руд // Физико-технические проблемы разработки полезных ископаемых. – 2020. – № 3. – С. 85-97. DOI: 10.15372/FTPRPI20200309.",2020,FACT,GENERAL_METHOD,MEDIUM,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S021-0005,VKM-SRC-021,1,БИБЛИОГРАФИЧЕСКИЙ СПИСОК предыдущей статьи [2],"Методические указания по определению несущей способности целиков / сост.: Ф.П. Бублик; ВНИМИ. – Л., 1974. – 90 с.",1974,FACT,GENERAL_METHOD,MEDIUM,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S021-0006,VKM-SRC-021,1,БИБЛИОГРАФИЧЕСКИЙ СПИСОК предыдущей статьи [3],"Указания (мероприятия) по защите рудников ПАО «Уралкалий» от затопления и охране объектов на земной поверхности от вредного влияния подземных разработок на Верхнекамском месторождении солей. Ч. 1. Основные положения: утв. ПАО «Уралкалий». – Пермь, Березники, 2022 г. – 118 с.",2022,FACT,GENERAL_METHOD,MEDIUM,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S021-0007,VKM-SRC-021,1,БИБЛИОГРАФИЧЕСКИЙ СПИСОК предыдущей статьи [4],"Борзаковский Б.А., Папулов Л.М. Закладочные работы на Верхнекамский калийных рудниках: справ. – М.: Недра, 1994. – 234 с.",1994,FACT,GENERAL_METHOD,MEDIUM,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0002,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Заславский Ю.З., Зорин А.Н., Черняк И.Л. Расчеты параметров крепи выработок глубоких шахт. – Киев: Техника, 1972. – 156 с.",1972,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0003,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Свидзинский С.А., Музалевский М.М., Ковальский Ф.И. Гремячинское месторождение сильвинитов // Новые данные по геологии соленосных бассейнов Советского Союза. – М., 1986. – С. 204-219.",1986,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0004,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),Кутырло В.О. Особенности строения калийной залежи Гремячинского месторождения // Лiтасфера. – 2009. – № 1 (30). – С. 86-94.,2009,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0005,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Андреев Г.Н., Иванкин А.В. Особенности строения отложений кунгура в пределах Гремячинского месторождения калийных солей по материалам высокоразрешающей сейсморазведки // Технологии сейсморазведки. – 2008. – № 3. – С. 89-93.",2008,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0006,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Баклашов И.В. Геомеханика: учебник для вузов. Т. 1. Основы геомеханики. – М.: МГГУ, 2004. – 208 с.",2004,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0007,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Певзнер М.Е., Иофис М.А., Попов В.Н. Геомеханика: Учебник для вузов. – 2-е изд., стер. – М.: Изд-во МГГУ, 2008. – 438 с.: ил.",2008,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0008,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Бельтюков Н.Л. Разработка скважинного метода измерения напряжений в массиве горных пород на основе эффекта Кайзера: дис. …к.т.н.; 25.00.20: защищена 11.04.19 / Бельтюков Николай Леонидович. – Пермь, 2019. – 159 c.",2019,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0009,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Асанов В.А., Токсаров В.Н., Евсеев А.В., Бельтюков Н.Л. Опыт изучения акустоэмиссионных эффектов в соляных породах с использованием скважинного гидродомкрата Гудмана // Горный информационно-аналитический бюллетень (научно-технический журнал). – 2010. – № 10. – С. 144-148.",2010,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0010,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Барях А.А., Константинова С.А., Асанов В.А. Деформирование соляных пород / ГИ УрО РАН; [отв. ред. Н.С. Булычев]. – Екатеринбург, 1996. – 204 с.: ил.",1996,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S030-0011,VKM-SRC-030,1,p.1 БИБЛИОГРАФИЧЕСКИЙ СПИСОК (preceding article),"Фадеев А.Б. Метод конечных элементов в геомеханике. – М.: Недра, 1987. – 221 с.",1987,FACT,UNSTATED,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0040,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 7","Немчин Н.П., Терентьев П.Ю. Полуэмпирические формулы определения модуля деформации и модуля спада массива горных пород // Горный информационно-аналитический бюллетень (научно-технический журнал). – 2016. – № 11. – С. 305-313.",2016,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0041,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 8","Torbica S., Lapčević V. A model for estimation of stress-dependent deformation modulus of rock mass // International Journal of Mining and Geo-Engineering. – 2019. – V. 53, № 1. – P. 63-67.",2019,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0042,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 9","Ильницкая Е.И., Тедер Р.И., Ватолин Е.С., Кунтыш М.Ф. Свойства горных пород и методы их определения / под ред. М.М. Протодьяконова. – М.: Недра, 1969. – 392 с.: ил.",1969,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0043,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 10","Meyer T.O., McVey J.R. NX borehole jack modulus determinations in homogeneous, isotropic, elastic materials // US Bur Mines Rep Invest. – 1974. – № 7855.",1974,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0044,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 11","Heuze F.E. Scale effects in the determination of rock mass strength and deformability // Rock Mechanics Felsmechanik Mecanique des Roches. – 1980. – V. 12, № 3-4. – P. 167-192.",1980,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0045,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 12","Паньков И.Л., Асанов В.А. Изучение механизма масштабного эффекта при сжатии квазипластичных соляных пород // Фундаментальные и прикладные вопросы горных наук. – 2015. – № 2. – С. 273-278.",2015,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0046,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 13","Goodman, R.E., Van, T.K., Heuze, F.E. Measurement of Rock Deformability in Boreholes // Proceedings of the 10th U.S. Symposium on Rock Mechanics American Institute of Mechanical Engineers. – Austin, 1970. – P. 523-555.",1970,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0047,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 14",ASTM D4971-08 Standard Test Method for Determining In Situ Modulus of Deformation of Rock Using Diametrically Loaded 76-mm (3-in.) Borehole Jack. – 2008. – 7 p.,2008,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0048,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 15","Heuze, F.E. Suggested Method for Estimating the In-Situ Modulus of Deformation of Rock Using the NX-Borehole Jack // Geotechnical Testing Journal. – 1984. – V. 7, № 4. – P. 205-210.",1984,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
EV-VN-S039-0049,VKM-SRC-039,1,"верх с. 57: список литературы предшествующей статьи, п. 16","Park S., Kim J.-S., Kwon S. Investigation of the development of an excavation damaged zone and its influence on the mechanical behaviors of a blasted tunnel // Geosystem Engineering. – 2018. – V. 21. № 3. – P. 165-181.",2018,FACT,GENERAL_METHOD,HIGH,bibliography of a DIFFERENT (preceding) article printed on the same PDF page; NOT a citation by the host source; excluded from graph
