legacy_source_id,legacy_manifest,legacy_file_name,legacy_authority_class,legacy_site_scope,vkm_src_id,sha256,size_bytes,register_source_class,register_evidence_scope,match_method,note
SRC01,configs/source_manifest.csv@d54025d,ВКР_Филатова_М_С.docx,published_reconstruction_basis,СКРУ-1 / ВКМ,VKM-SRC-023,45978d5fc446fa35d0b3e271c44a5790bc5b4101321b20f8078ff83dc8ae2931,17826165,thesis_secondary,SKRU1,sha256_exact+size,
SRC02,configs/source_manifest.csv@d54025d,НК 26 Бобровицкий Григорий.pdf,other_site_methodological_analogue,Гремячинское месторождение,VKM-SRC-024,b83204aabdbb5902a8936a3b4d7393220ae4de0384b34b4db22b218df352ea59,5766049,thesis,OTHER_POTASH_SITE,sha256_exact+size,
SRC03,configs/source_manifest.csv@d54025d,03-GR-24-2.pdf,other_site_methodological_analogue,Березники,VKM-SRC-004,e134fc6d506d1e7ffcdabf4bd6da9e9a27554ce14139105310440490c7c86fda,2233477,journal_article,VKM_Berezniki,sha256_exact+size,
SRC04,configs/source_manifest.csv@d54025d,Babayants-Disser.pdf,methodological_source,Несколько природных и техногенных объектов,VKM-SRC-003,a80ae607e33ddf25f49073400fa138aeba67a86dd5abac7d131732c9491eff21,9870619,dissertation,VKM_Berezniki,sha256_exact+size,
SRC05,configs/source_manifest.csv@d54025d,01006516068.pdf,methodological_source,Объекты интенсивного недропользования,VKM-SRC-001,faf80647870baa85d11569ecec7a70989990dd607ab307e9141f30a9d1d77e4d,4385416,dissertation_abstract,VKM_regional,sha256_exact+size,
SRC06,configs/source_manifest.csv@d54025d,106_Губанова__Глебова.pdf,other_site_methodological_analogue,Тюбегатан,VKM-SRC-005,2a4ff431d272cce17c873b65db589f41933332905ace3fd1abb550fb5c346350,1879377,journal_article,other_potash_deposit,sha256_exact+size,
SRC07,configs/source_manifest.csv@d54025d,Гусев_АП_Спутниковый_мониторинг_геодинамики.pdf,textbook,Общая методика,VKM-SRC-006,c6fb2be70b04f8d868929b44de746729615eeb97375a9b442816cb022b200770,3719355,textbook,METHOD_GENERAL,sha256_exact+size,
SRC08,configs/source_manifest.csv@d54025d,Shirshova (1).pdf,other_site_methodological_analogue,Санкт-Петербург,VKM-SRC-007,887d802ec7b7a0a8788b2527ac1240432cb353b655ed00dc51fd8d8269aa21bf,902713,journal_article,METHOD_GENERAL,sha256_exact+size,
SRC09,configs/source_manifest.csv@d54025d,sputnikovaya_radarnaya_interferometriya_informatsionno_vychislitelnye.pdf,methodological_source,Кузбасс,VKM-SRC-008,fd03e70d87017a58b5f32533efb80861aeb0c3910f7c828ac18c6485037a4d0b,7209923,journal_article,METHOD_GENERAL,sha256_exact+size,
SRC10,configs/source_manifest.csv@d54025d,02f4a17c7c7ba99cfc068395238c5ff9.pdf,other_site_methodological_analogue,Старобинское месторождение,VKM-SRC-009,d5fb9946ec69d9cb9e5f4e1b5227570c8effa879b1549fe9d5e0ef65a0747f67,6312669,journal_article,OTHER_POTASH_SITE,sha256_exact+size,
SRC11,configs/source_manifest.csv@d54025d,88q34t4oapf2ibwjcw2ie0oz2bjbtmc4.pdf,other_site_methodological_analogue,Кузбасс,VKM-SRC-010,c3a47a5df74dc38d648cdc3d962472e45cca9b8d1c4770687f244d2ad8fbdd74,3832123,journal_article,METHOD_GENERAL,sha256_exact+size,legacy manifest itself records a corrected site attribution; use the register scope
SUP01,configs/supplementary_source_manifest.csv@d54025d,geokniga-02obrabotka.pdf,published_profile_evidence,В том числе СКРУ-1/СКРУ-2,VKM-SRC-002,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,3576355,presentation,VKM_Solikamsk,sha256_exact+size,source of evidence/monitoring/musikhin_* (PDF p.15); register: discovery-only
