cited_work_id,cited_work_full,cited_year,citing_sources,n_citing,n_citing_with_dependents,dependent_claims_by_source,dependent_claims,relations,local_copy,curated_in,status,scope,confidence,notes
CW-0002,"Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу геомеханических процессов // Физико-технические проблемы разработки полезных ископаемых. – 2005. – № 6. – С. 32-41. – DOI: 10.1007/s10913-006-0015-x.",2005,VKM-SRC-005;VKM-SRC-012;VKM-SRC-031;VKM-SRC-035;VKM-SRC-038;VKM-SRC-039,6,5,VKM-SRC-005=1 | VKM-SRC-031=2 | VKM-SRC-035=1 | VKM-SRC-038=1 | VKM-SRC-039=1,EV-VN-S005-0008;EV-VN-S031-0011;EV-VN-S031-0012;EV-VN-S035-0006;EV-VN-S038-0018;EV-VN-S039-0007,cites;reproduces_data;reproduces_figure;reproduces_formula;same_author_series,,LIN-18,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0006,"Кудряшов, А.И. Верхнекамское месторождение солей / А.И.Кудряшов. –2-е изд., перераб. – М.: Эпсилон Плюс, 2013. – 368 с.",2013,VKM-SRC-012;VKM-SRC-015;VKM-SRC-016;VKM-SRC-023;VKM-SRC-040,5,5,VKM-SRC-012=1 | VKM-SRC-015=1 | VKM-SRC-016=1 | VKM-SRC-023=44 | VKM-SRC-040=24,EV-VN-S012-0131;EV-VN-S015-0016;EV-VN-S016-0015;EV-VN-S023-0069;EV-VN-S023-0070;EV-VN-S023-0071;EV-VN-S023-0072;EV-VN-S023-0075;EV-VN-S023-0082;EV-VN-S023-0083;EV-VN-S023-0084;EV-VN-S023-0086;EV-VN-S023-0087;EV-VN-S023-0088;EV-VN-S023-0089;EV-VN-S023-0090;EV-VN-S023-0091;EV-VN-S023-0092;EV-VN-S023-0093;EV-VN-S023-0094;EV-VN-S023-0095;EV-VN-S023-0096;EV-VN-S023-0097;EV-VN-S023-0098;EV-VN-S023-0099;EV-VN-S023-0100;EV-VN-S023-0101;EV-VN-S023-0102;EV-VN-S023-0103;EV-VN-S023-0104;EV-VN-S023-0105;EV-VN-S023-0106;EV-VN-S023-0107;EV-VN-S023-0108;EV-VN-S023-0109;EV-VN-S023-0110;EV-VN-S023-0111;EV-VN-S023-0112;EV-VN-S023-0113;EV-VN-S023-0114;EV-VN-S023-0115;EV-VN-S023-0116;EV-VN-S023-0117;EV-VN-S023-0118;EV-VN-S023-0119;EV-VN-S023-0124;EV-VN-S023-0141;EV-VN-S040-0018;EV-VN-S040-0019;EV-VN-S040-0020;EV-VN-S040-0021;EV-VN-S040-0022;EV-VN-S040-0023;EV-VN-S040-0024;EV-VN-S040-0025;EV-VN-S040-0026;EV-VN-S040-0027;EV-VN-S040-0028;EV-VN-S040-0029;EV-VN-S040-0030;EV-VN-S040-0031;EV-VN-S040-0032;EV-VN-S040-0038;EV-VN-S040-0040;EV-VN-S040-0045;EV-VN-S040-0046;EV-VN-S040-0047;EV-VN-S040-0048;EV-VN-S040-0049;EV-VN-S040-0050;EV-VN-S040-0122,cites;reproduces_data;reproduces_figure,VKM-SRC-011,LIN-22,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0004,"Барях, А. А. Физико-механические свойства соляных пород Верхнекамского калийного месторождения: учеб. пособие / А. А. Барях, В. А. Асанов, И. Л. Паньков. – Пермь : Изд-во Перм. гос. техн. ун-та, 2008. – 199 с.",2008,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-027;VKM-SRC-029,5,4,VKM-SRC-011=1 | VKM-SRC-012=2 | VKM-SRC-014=1 | VKM-SRC-029=3,EV-VN-S011-2075;EV-VN-S012-0069;EV-VN-S012-0165;EV-VN-S014-1274;EV-VN-S029-0155;EV-VN-S029-0156;EV-VN-S029-0158,cites;reproduces_data;reproduces_figure;reproduces_formula;same_author_series,VKM-SRC-025,LIN-20,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0005,"Джиноридзе Н.М. Петротектонические основы безопасной эксплуатации Верхнекамского месторождения калийно-магниевых солей / Н.М. Джиноридзе. – СПб. − Соликамск: Изд-во ОГУП «Соликамская типография», 2000. – 391 с.",2000,VKM-SRC-011;VKM-SRC-012;VKM-SRC-016;VKM-SRC-025;VKM-SRC-040,5,4,VKM-SRC-011=39 | VKM-SRC-012=1 | VKM-SRC-016=1 | VKM-SRC-025=1,EV-VN-S011-0387;EV-VN-S011-0422;EV-VN-S011-0423;EV-VN-S011-0424;EV-VN-S011-0425;EV-VN-S011-0426;EV-VN-S011-0427;EV-VN-S011-0428;EV-VN-S011-0429;EV-VN-S011-0430;EV-VN-S011-0431;EV-VN-S011-0432;EV-VN-S011-0433;EV-VN-S011-0434;EV-VN-S011-0435;EV-VN-S011-0436;EV-VN-S011-0437;EV-VN-S011-0438;EV-VN-S011-0439;EV-VN-S011-0440;EV-VN-S011-0441;EV-VN-S011-0442;EV-VN-S011-0443;EV-VN-S011-0445;EV-VN-S011-0458;EV-VN-S011-0463;EV-VN-S011-0475;EV-VN-S011-0490;EV-VN-S011-1506;EV-VN-S011-1554;EV-VN-S011-1764;EV-VN-S011-2622;EV-VN-S011-2623;EV-VN-S011-2624;EV-VN-S011-2625;EV-VN-S011-2626;EV-VN-S011-2627;EV-VN-S011-2628;EV-VN-S011-2629;EV-VN-S012-0135;EV-VN-S016-0015;EV-VN-S025-0064,cites;reproduces_data;reproduces_figure,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0007,"Указания по защите рудников от затопления и охране подрабатываемых объектов на Верхнекамском месторождении калийно-магниевых солей: утв. ПАО «Уралкалий», ЗАО «Верхнекамская калийная компания», ООО «ЕвроХим-Усольский Калийный комбинат». – введ. в действие 30.03.2017 в ред. 2014 г. – Пермь; Березники, 2014. – 130 с.",2014,VKM-SRC-012;VKM-SRC-019;VKM-SRC-026;VKM-SRC-031;VKM-SRC-032,5,4,VKM-SRC-019=8 | VKM-SRC-026=5 | VKM-SRC-031=1 | VKM-SRC-032=5,EV-VN-S019-0009;EV-VN-S019-0010;EV-VN-S019-0013;EV-VN-S019-0023;EV-VN-S019-0030;EV-VN-S019-0032;EV-VN-S019-0033;EV-VN-S019-0045;EV-VN-S026-0003;EV-VN-S026-0044;EV-VN-S026-0049;EV-VN-S026-0064;EV-VN-S026-0180;EV-VN-S031-0002;EV-VN-S032-0003;EV-VN-S032-0020;EV-VN-S032-0021;EV-VN-S032-0036;EV-VN-S032-0037,cites;reproduces_data;reproduces_formula,,LIN-23,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0008,"Кудряшов А.И. Верхнекамское месторождение солей / А.И. Кудряшов. – Пермь: Изд-во ОГУП «Соликамская типография», 2001. – 427 с.",2001,VKM-SRC-011;VKM-SRC-025;VKM-SRC-027;VKM-SRC-040,4,4,VKM-SRC-011=2 | VKM-SRC-025=3 | VKM-SRC-027=1 | VKM-SRC-040=24,EV-VN-S011-1769;EV-VN-S011-1770;EV-VN-S025-0022;EV-VN-S025-0064;EV-VN-S025-0596;EV-VN-S027-0009;EV-VN-S040-0018;EV-VN-S040-0019;EV-VN-S040-0020;EV-VN-S040-0021;EV-VN-S040-0022;EV-VN-S040-0023;EV-VN-S040-0024;EV-VN-S040-0025;EV-VN-S040-0026;EV-VN-S040-0027;EV-VN-S040-0028;EV-VN-S040-0029;EV-VN-S040-0030;EV-VN-S040-0031;EV-VN-S040-0032;EV-VN-S040-0038;EV-VN-S040-0040;EV-VN-S040-0045;EV-VN-S040-0046;EV-VN-S040-0047;EV-VN-S040-0048;EV-VN-S040-0049;EV-VN-S040-0050;EV-VN-S040-0122,cites;reproduces_data;reproduces_figure;same_author_series,VKM-SRC-011,LIN-22,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0010,"Методическое руководство по ведению горных работ на рудниках ОАО «Сильвинит» / ОАО «Галургия». – Новосибирск: Наука, 2011. – 487 с.",2011,VKM-SRC-014;VKM-SRC-019;VKM-SRC-026;VKM-SRC-027,4,4,VKM-SRC-014=1 | VKM-SRC-019=1 | VKM-SRC-026=2 | VKM-SRC-027=3,EV-VN-S014-1273;EV-VN-S019-0022;EV-VN-S026-0003;EV-VN-S026-0016;EV-VN-S027-0009;EV-VN-S027-0014;EV-VN-S027-0058,cites;reproduces_data;reproduces_formula,,LIN-20,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0001,"Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – М.: Недра, 1987. – 221 с.",1987,VKM-SRC-005;VKM-SRC-012;VKM-SRC-031;VKM-SRC-032;VKM-SRC-035;VKM-SRC-039,6,3,VKM-SRC-005=1 | VKM-SRC-032=1 | VKM-SRC-039=1,EV-VN-S005-0008;EV-VN-S032-0009;EV-VN-S039-0008,cites,,LIN-17,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0003,"Зенкевич О. Метод конечных элементов в технике. – М.: Мир, 1975. – 541 с.: ил.",1975,VKM-SRC-005;VKM-SRC-031;VKM-SRC-035;VKM-SRC-038;VKM-SRC-039,5,3,VKM-SRC-005=1 | VKM-SRC-038=1 | VKM-SRC-039=1,EV-VN-S005-0008;EV-VN-S038-0027;EV-VN-S039-0008,cites,,LIN-17,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0009,"Разрывная тектоника Верхнекамского месторождения солей / А.И. Кудряшов, В.Е. Васюков, Г.С. Фон-дер-лаасс идр.; Под науч.ред. А.И. Кудряшова – Пермь: ГИ УрО РАН, 2004. – 194 с.: ил. 65. – Библиогр.: с. 158-167. – ISBN 5-89095-096-07",2004,VKM-SRC-011;VKM-SRC-012;VKM-SRC-018;VKM-SRC-023,4,3,VKM-SRC-012=2 | VKM-SRC-018=1 | VKM-SRC-023=1,EV-VN-S012-0133;EV-VN-S012-0137;EV-VN-S018-0004;EV-VN-S023-0128,cites;reproduces_data;reproduces_figure;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
